Gene = stwl
index = 1900
Annotated 5SS: [325]
Annotated 3SS: [3101]
SMsplice 5SS: [325]
SMsplice 3SS: [3101]
top_k =  500
Partition function (log Z): -10.119553093347896

Sorted 5' Splice Sites (High to Low Probability):
Position 325: 0.889127217189081
Position 3382: 0.35235976640889644
Position 1194: 0.1911468239174595
Position 2193: 0.06989527398198327
Position 1767: 0.04639893452960064
Position 332: 0.045613715080443866
Position 5200: 0.033096111491528364
Position 2600: 0.028736073959017127
Position 3015: 0.027785173165420247
Position 4449: 0.025460628353833087
Position 3870: 0.021407650018476262
Position 6105: 0.020662978511083754
Position 1527: 0.0125620706352401
Position 1523: 0.010945581002016131
Position 1722: 0.009748916891233758
Position 629: 0.008146777016142122
Position 588: 0.008123986553987014
Position 215: 0.007269862726708869
Position 465: 0.007240355493330945
Position 1669: 0.006820265335958845
Position 3417: 0.005732908429863674
Position 1511: 0.004734603096173705
Position 6607: 0.004697309000796353
Position 4323: 0.003955199681805826
Position 3710: 0.0032917254433085935
Position 2221: 0.0027570689322624874
Position 1003: 0.002544679900866273
Position 280: 0.002512236016468257
Position 2466: 0.0024751096565250987
Position 3413: 0.002393719313816468
Position 974: 0.002326857810963407
Position 1952: 0.0023226781854867548
Position 195: 0.0019029520940096354
Position 4533: 0.0017838823897727452
Position 916: 0.001704080645748973
Position 1684: 0.0015748177522262527
Position 1996: 0.0013202996793765243
Position 408: 0.0010596747878800841
Position 1798: 0.0009606454624305619
Position 992: 0.0009456904496417453
Position 573: 0.0009083966379156508
Position 1492: 0.0008160231866265592
Position 4058: 0.0007978042798459741
Position 925: 0.0007391713463167693
Position 1372: 0.0006825302130946372
Position 440: 0.0004532918603873759
Position 68: 0.000330637968316937
Position 2462: 0.0003244559271232279
Position 1007: 0.00031570397734771537
Position 33: 0.0002521007640596652
Position 98: 0.0001749192450290036
Position 1937: 0.00016013269990826666
Position 645: 0.0001212238577635336
Position 981: 0.00011716588919165563
Position 528: 8.159986321572301e-05
Position 653: 7.010841673173008e-05
Position 950: 6.980003316132192e-05
Position 37: 6.661574015321117e-05
Position 1692: 6.227273561437116e-05
Position 336: 5.935456533986368e-05
Position 1279: 5.090817213048029e-05
Position 445: 3.503236036228461e-05
Position 1420: 2.699459222220005e-05
Position 364: 1.7119867746620405e-05
Position 300: 1.4570216715645732e-05
Position 92: 1.4468980700025047e-05
Position 83: 1.2145272082391278e-05
Position 81: 1.1118965249544291e-05
Position 43: 1.038434330488985e-05
Position 102: 1.0117732299278291e-05
Position 75: 9.476850987390176e-06
Position 1313: 9.227315699908777e-06
Position 72: 6.4449106911965945e-06
Position 50: 5.694574815633435e-06
Position 166: 5.122781020052434e-06
Position 312: 4.844273689380812e-07
Position 219: 4.227474981053958e-07
Position 247: 3.578852679718447e-07
Position 21: 3.3838296980121785e-07
Position 70: 2.9940310392521925e-07
Position 320: 1.9227840732637372e-07
Position 206: 1.6546565034020087e-07
Position 559: 1.4310819133210917e-07
Position 716: 1.3162054190217968e-07
Position 443: 8.925410772448601e-08
Position 660: 8.812356421196587e-08
Position 601: 8.689242723066521e-08
Position 390: 8.371312562408965e-08
Position 657: 6.660216775221973e-08
Position 512: 2.9399622801348917e-08
Position 329: 2.5709890307465106e-08
Position 451: 2.5461450095814054e-08
Position 519: 2.3390716894828498e-08
Position 531: 2.2149797881235484e-08
Position 367: 4.534347191271393e-09
Position 412: 5.096499457000841e-10
Position 359: 8.948739967283076e-11
Position 378: 5.235374060679499e-11
Position 415: 1.996829046602727e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 3101: 0.741017039881984
Position 6286: 0.17522866201432113
Position 6520: 0.17487093289078776
Position 4934: 0.11752895929988717
Position 1631: 0.11370866583183575
Position 5911: 0.09974301089476979
Position 945: 0.06910824431108775
Position 869: 0.06473588616789999
Position 764: 0.04075709746155101
Position 1824: 0.035118822134306865
Position 4291: 0.03187575651489764
Position 6838: 0.031090776347228427
Position 6539: 0.020016083505909568
Position 2030: 0.013109335609836143
Position 4532: 0.011966763522135536
Position 3771: 0.011945749393310568
Position 2074: 0.009728419270681675
Position 767: 0.009218279856806587
Position 1391: 0.009034540882822118
Position 3568: 0.008981294749378064
Position 5019: 0.007972232045921325
Position 4602: 0.007699123865400767
Position 2528: 0.006511780341078409
