Gene = Fibp
index = 1166
Annotated 5SS: [ 218  351  737  908 1097 1248 1375 1622]
Annotated 3SS: [ 271  417  799  963 1146 1305 1435 1685]
SMsplice 5SS: [ 218  351  737  908 1097 1375 1622]
SMsplice 3SS: [ 271  417  799  963 1146 1435 1685]
top_k =  500
Partition function (log Z): 19.39398770475333

Sorted 5' Splice Sites (High to Low Probability):
Position 1375: 0.9990931679795668
Position 1622: 0.9920982603895115
Position 351: 0.9771288947264539
Position 908: 0.9752240908334884
Position 1097: 0.9674365351717908
Position 218: 0.8087010271838803
Position 737: 0.7367398550915449
Position 741: 0.23689933652345846
Position 1248: 0.02806301935416097
Position 713: 0.0124982769684713
Position 498: 0.009990826532707879
Position 1084: 0.009338559127815636
Position 1768: 0.00845862579250613
Position 1797: 0.0036998108213040296
Position 1626: 0.003659532849769904
Position 767: 0.001902981579378396
Position 186: 0.0016029575946758642
Position 1752: 0.0015235302919347257
Position 198: 0.0012049780057359427
Position 1726: 0.00042700390523216187
Position 252: 0.000322777596570658
Position 1566: 0.0003210381525262673
Position 1558: 0.0002491722003789753
Position 772: 0.0002480814451400353
Position 139: 0.00023815244997585014
Position 732: 0.00014453849613656506
Position 617: 0.00014186017916755455
Position 1041: 0.00010629998800988005
Position 1516: 8.91685883666004e-05
Position 294: 8.55634731008612e-05
Position 87: 7.659230792851418e-05
Position 967: 5.329575969752538e-05
Position 25: 4.839834484239145e-05
Position 141: 4.046325786004718e-05
Position 857: 3.9827964130839364e-05
Position 1807: 3.807198143526479e-05
Position 699: 3.707921657254153e-05
Position 355: 2.61167795293568e-05
Position 816: 2.4903244849805265e-05
Position 125: 2.2490678109955083e-05
Position 451: 2.1203622012992664e-05
Position 123: 1.2443083392538324e-05
Position 1540: 8.94768143525349e-06
Position 1287: 7.127432091272638e-06
Position 717: 7.041784947204e-06
Position 48: 6.236669934653675e-06
Position 1209: 6.092113627923086e-06
Position 1649: 5.362072308842803e-06
Position 1021: 4.409250681323406e-06
Position 1811: 3.5154474669417264e-06
Position 639: 2.9620118392656135e-06
Position 598: 2.6661704061125245e-06
Position 636: 2.3275430942684163e-06
Position 457: 2.2182640400265295e-06
Position 925: 1.4857768914349846e-06
Position 1217: 1.3993309398337394e-06
Position 387: 1.3754879189932035e-06
Position 1161: 1.1417739780464647e-06
Position 1048: 8.341073398280008e-07
Position 1634: 7.413514875957365e-07
Position 278: 6.203602024145346e-07
Position 1188: 5.595664489270548e-07
Position 284: 5.122615421631794e-07
Position 431: 4.998216683876483e-07
Position 1703: 3.4811758213106245e-07
Position 380: 2.3347412914130564e-07
Position 837: 1.682961024041231e-07
Position 429: 1.3046975935297271e-07
Position 1599: 7.097584208696296e-08
Position 1817: 6.20918454170607e-08
Position 1506: 5.851359092071285e-08
Position 999: 4.707069379940224e-08
Position 1310: 2.2889309032243616e-08
