Gene = Bet1
index = 48
Annotated 5SS: [262]
Annotated 3SS: [318]
SMsplice 5SS: [214]
SMsplice 3SS: [318]
top_k =  500
Partition function (log Z): -4.909865323479425

Sorted 5' Splice Sites (High to Low Probability):
Position 214: 0.9238058931979745
Position 262: 0.06726443677041179
Position 716: 0.0050698791268470565
Position 170: 0.004851566358814946
Position 605: 0.004389778215869814
Position 185: 0.0023407329448052
Position 700: 0.0017784387772064422
Position 706: 0.0009958875837789713
Position 271: 0.0009154088094944304
Position 643: 0.0005847608472259471
Position 518: 0.0005778645916629823
Position 627: 0.00037379044096603483
Position 232: 0.00035248259170207887
Position 864: 0.00023583008988632389
Position 630: 0.00023079831333746632
Position 945: 0.0001964289106503809
Position 602: 0.00019262262007524735
Position 817: 0.00015037049137549578
Position 769: 0.00013514867620498366
Position 146: 0.00012012618967380776
Position 240: 0.00010046192569307718
Position 668: 8.174142486038997e-05
Position 712: 7.67227584156721e-05
Position 226: 5.798058803563162e-05
Position 709: 3.884535957657622e-05
Position 673: 3.811627606936098e-05
Position 97: 3.770127267150663e-05
Position 652: 3.475023224997374e-05
Position 83: 2.269410478040816e-05
Position 791: 2.1832248810138874e-05
Position 463: 2.1481390666610054e-05
Position 354: 1.6522277202596735e-05
Position 201: 1.4569361685377368e-05
Position 747: 1.1149662308657787e-05
Position 238: 1.0870894944746461e-05
Position 139: 8.314138109019081e-06
Position 905: 6.91609388993518e-06
Position 759: 4.886285788582926e-06
Position 835: 4.60774944253078e-06
Position 671: 4.49826444861833e-06
Position 35: 3.7450356084705176e-06
Position 573: 3.7357015232971385e-06
Position 157: 2.937697588944252e-06
Position 779: 2.020762826948547e-06
Position 88: 1.2479098771063012e-06
Position 951: 1.0531611576406315e-06
Position 490: 3.335798898357508e-07
Position 109: 2.6159144488286244e-07
Position 752: 8.873630028929222e-10
Position 772: 7.852644081372502e-10
Position 376: 6.184684726902297e-10
Position 297: 1.1583766241870788e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 318: 0.9958262371065887
Position 757: 0.004933829949525156
Position 897: 0.0030459671909937834
Position 883: 0.002346478935290789
Position 851: 0.0021626083020673975
Position 996: 0.0017270067602695954
Position 382: 0.0009002307005903152
Position 768: 0.0008537854485533582
Position 404: 0.0005980699773459931
Position 835: 0.0005177333862757983
Position 509: 0.0004989091487440463
Position 354: 0.0004443515900444804
Position 762: 0.0003311428099490199
Position 817: 0.00021854117331346958
Position 928: 0.0001720293462453854
Position 874: 0.00016401011750273508
Position 394: 0.00013461232137068353
Position 529: 0.00012590860035296736
Position 700: 3.870452616215581e-05
Position 918: 3.778670455059702e-05
Position 855: 1.9542994686475995e-05
Position 905: 1.537267509991289e-05
Position 169: 1.4845926736387474e-05
Position 198: 1.4623959431050678e-05
Position 709: 1.020736673921058e-05
Position 859: 8.988419149504184e-06
Position 912: 8.078589482080246e-06
Position 622: 6.81168407786019e-06
Position 100: 3.246323617586645e-06
Position 144: 3.2416601475626194e-06
Position 157: 3.1435381503953846e-06
Position 535: 3.069088305955371e-06
Position 939: 1.4418394111758498e-06
Position 921: 6.172945200675797e-07
Position 138: 5.954303259466947e-07
Position 97: 3.000252990398109e-07
Position 83: 1.254819451138158e-07
Position 109: 1.7292809824704904e-08
Position 183: 9.573415700301541e-09
Position 436: 6.279451384024139e-09
Position 451: 6.024645600788786e-09
Position 180: 3.970240215321077e-09
Position 517: 2.8541037173725757e-09
Position 351: 1.1220910259820256e-09
Position 490: 8.071504136322379e-10
Position 472: 6.977634447779562e-10
Position 257: 3.2668273597871786e-10
Position 475: 1.9759613314017543e-10
Position 102: 8.259839962932421e-11
Position 218: 7.548464282546121e-11
Position 175: 6.481489951827834e-12
Position 460: 5.213080568496314e-13
Position 448: 3.7290266158381773e-13
Position 469: 1.9437790103915632e-13
Position 266: 7.540223805007465e-17
