Gene = Lrr47
index = 1252
Annotated 5SS: [664]
Annotated 3SS: [724]
SMsplice 5SS: [647]
SMsplice 3SS: [724]
top_k =  500
Partition function (log Z): -8.177911869928602

Sorted 5' Splice Sites (High to Low Probability):
Position 647: 0.5120407334042372
Position 664: 0.44664164476919976
Position 277: 0.0978463560686006
Position 309: 0.05640155725493741
Position 499: 0.021205240322100798
Position 508: 0.0066083625362794015
Position 1657: 0.004634395940621288
Position 1387: 0.004536136611640331
Position 1174: 0.0020782010249658298
Position 338: 0.0018196632110449441
Position 640: 0.0017613508147096724
Position 1105: 0.0017589214568267044
Position 235: 0.00149154615086299
Position 890: 0.001179609474696136
Position 828: 0.0011533141199950808
Position 8: 0.000638301697534704
Position 1713: 0.00029206558010602717
Position 1743: 0.0002790332247658464
Position 978: 0.00024221853163871755
Position 1166: 0.00022560201196839935
Position 1661: 0.0001918162661761107
Position 35: 0.00018950804140117526
Position 908: 0.0001628824624449814
Position 372: 0.0001536243967381607
Position 313: 0.00013036146727811915
Position 54: 0.00011371265953878857
Position 528: 0.00010363032825601648
Position 786: 0.0001026520966044935
Position 1411: 9.932400256467091e-05
Position 589: 9.367585258472271e-05
Position 298: 9.202836696094552e-05
Position 1344: 7.986504369195548e-05
Position 1547: 6.522516716505471e-05
Position 1451: 5.407562194849569e-05
Position 939: 4.5952916096801055e-05
Position 1055: 4.5025414547696046e-05
Position 40: 4.12947485710974e-05
Position 1057: 3.598481218140388e-05
Position 989: 3.5165913922986856e-05
Position 802: 3.359496347969725e-05
Position 118: 3.3534459630295116e-05
Position 1859: 3.299249036014273e-05
Position 115: 3.08055199976211e-05
Position 1553: 3.00580822544907e-05
Position 1453: 2.6968587854434825e-05
Position 295: 2.3184712325375805e-05
Position 1377: 1.9706230997433757e-05
Position 1144: 1.687103194162534e-05
Position 853: 1.6790007895815637e-05
Position 245: 1.6307308202568343e-05
Position 152: 1.586386274443005e-05
Position 680: 1.2919665523253487e-05
Position 72: 7.842253803028108e-06
Position 157: 6.833899967250459e-06
Position 1801: 4.800659381364254e-06
Position 109: 3.4664381128985602e-06
Position 102: 2.5510177980296527e-06
Position 65: 1.2454392329831325e-06
Position 1048: 2.6710435153516564e-07
Position 832: 7.843214943971461e-08
Position 991: 7.133233201072281e-08
Position 1606: 1.3794967908555362e-08
Position 1298: 1.2340692286108516e-08
Position 901: 1.1710690923644758e-08
Position 701: 3.901432865402588e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 724: 0.9262409113903081
Position 348: 0.07978717308860288
Position 387: 0.06416824995946566
Position 692: 0.03854597183235086
Position 1220: 0.020459854000066127
Position 1712: 0.009735255478683506
Position 581: 0.0068720511315238375
Position 372: 0.006006321320211927
Position 996: 0.0030478050540278085
Position 1447: 0.001523512654890168
Position 405: 0.001114948418575294
Position 736: 0.0010840546927078105
Position 793: 0.00086007847494368
Position 1885: 0.0007827878068803663
Position 483: 0.0007748998646006852
Position 1780: 0.0005441644562739596
Position 486: 0.00039952301261337816
Position 1464: 0.00039068060883748414
Position 1801: 0.0003281701556785767
Position 706: 0.00028988414341539774
Position 1657: 0.00028542434530404447
Position 96: 0.0001650420485545016
Position 1471: 0.00015585602210855268
Position 585: 0.00014941617840435442
Position 135: 0.00014275441595558704
Position 114: 0.0001344515638143147
Position 1911: 0.00012885616797462114
Position 309: 8.155731471535225e-05
Position 1386: 7.602512155530168e-05
Position 414: 7.344122982093277e-05
Position 1242: 7.20630566202392e-05
Position 1721: 6.831928485919405e-05
Position 394: 6.365177438310341e-05
Position 355: 5.944095259451071e-05
Position 1661: 5.342266161328998e-05
Position 1664: 3.8391595899733006e-05
Position 1088: 2.8279652605726164e-05
Position 1888: 2.8008461138632335e-05
Position 1075: 2.7292496306649006e-05
Position 109: 2.466133873163207e-05
Position 1341: 2.4543860344794954e-05
Position 540: 2.1628066167169857e-05
Position 1685: 1.901802231924985e-05
Position 1688: 1.8875329410513123e-05
Position 1753: 1.7650700445986798e-05
Position 1163: 1.7635198385504614e-05
Position 327: 1.1852300263044201e-05
Position 432: 1.1594335778134807e-05
Position 633: 9.884113573394505e-06
Position 245: 9.617227650212049e-06
Position 492: 9.576175189357015e-06
Position 515: 8.020806823686182e-06
Position 50: 2.843622987405152e-06
Position 186: 2.8348282898377088e-06
Position 222: 2.25470159846268e-06
Position 449: 1.774542099536476e-06
Position 498: 1.2136604987237723e-06
Position 589: 1.0871430139278399e-06
Position 276: 6.26745816919306e-07
Position 219: 4.6175850718576995e-07
Position 519: 4.592165152765722e-07
Position 191: 3.867602520662544e-07
Position 258: 1.9230145569091806e-07
Position 282: 1.5719541806891495e-07
Position 225: 6.047648325260992e-09
Position 197: 3.6341668238824487e-09
