Gene = Atg18b
index = 36
Annotated 5SS: [ 313 6656 7350]
Annotated 3SS: [5924 6803 7405]
SMsplice 5SS: [ 313 6656 7350]
SMsplice 3SS: [5924 6803 7405]
top_k =  500
Partition function (log Z): -5.314957427778892

Sorted 5' Splice Sites (High to Low Probability):
Position 7350: 0.9547073478687892
Position 6656: 0.9503251955788417
Position 313: 0.42536708383003385
Position 474: 0.36636721436919484
Position 889: 0.09749450538376521
Position 7952: 0.05481530392890817
Position 7709: 0.05218417533439739
Position 412: 0.047240427116142375
Position 7713: 0.0432116567747627
Position 7534: 0.036382164781772176
Position 5387: 0.023559676122181405
Position 7326: 0.01761269886041562
Position 7770: 0.016769047716998744
Position 3247: 0.015382380729246336
Position 225: 0.015276241166245562
Position 7517: 0.014802957391101783
Position 1545: 0.01358072768814382
Position 2606: 0.011524274137314385
Position 470: 0.011134112675955748
Position 6660: 0.010676540043821788
Position 8018: 0.009674237011119241
Position 458: 0.008907126604302467
Position 6735: 0.008049631427728889
Position 1445: 0.006612361865930417
Position 915: 0.005895301461342962
Position 1842: 0.005655405953514483
Position 6739: 0.005067358720356706
Position 7662: 0.00483294243896084
Position 3978: 0.003458992785522196
Position 3422: 0.0033348972628052483
Position 511: 0.003192447972968202
Position 509: 0.0031117514271501623
Position 4651: 0.0028974402584156563
Position 7830: 0.002746504226475886
Position 6637: 0.0024425593083797093
Position 7729: 0.0021597811437059434
Position 1079: 0.0021503579020031157
Position 7157: 0.001983566160839409
Position 7075: 0.0018026391356325791
Position 223: 0.001541463498708985
Position 7695: 0.001373481686176311
Position 505: 0.0012897820237311797
Position 507: 0.001260100168751398
Position 445: 0.0011962649023505645
Position 109: 0.0010201850929923565
Position 2891: 0.0009444836644872344
Position 466: 0.0009425680689614066
Position 2638: 0.0009265466752649358
Position 480: 0.0008485664296766738
Position 1073: 0.0008459520127732081
Position 927: 0.0008115723360560471
Position 462: 0.0008091515529163058
Position 7511: 0.0007795340947752011
Position 7573: 0.0007444221354888826
Position 7975: 0.0006982768886738915
Position 2764: 0.0006718972601436654
Position 7192: 0.0006341056005840271
Position 7717: 0.0005958438203045017
Position 4025: 0.0005163055360168826
Position 7834: 0.00047099256701850826
Position 6696: 0.00044182716601906676
Position 7608: 0.0003151377712221461
Position 8146: 0.00029698664901677625
Position 6950: 0.0002957522972057829
Position 7345: 0.0002523384558751938
Position 6058: 0.0002289606672606914
Position 1201: 0.0001702631257131154
Position 1238: 0.00014233142359059374
Position 217: 0.00011844343885036245
Position 6156: 0.0001027368284201552
Position 1592: 7.673665934428836e-05
Position 6275: 5.207745717107517e-05
Position 7870: 4.4480203156372355e-05
Position 6128: 4.3682995671817265e-05
Position 977: 4.3210940699474955e-05
Position 8125: 4.147881992976306e-05
Position 1939: 3.639524336759019e-05
Position 7906: 3.204480285129746e-05
Position 14: 2.2017561213457633e-05
Position 624: 2.1733257299638857e-05
Position 317: 1.818688296209503e-05
Position 631: 1.6644699181730587e-05
Position 158: 1.568625545156714e-05
Position 515: 1.4754760892321546e-05
Position 832: 1.1827717923365043e-05
Position 684: 1.1082785721622944e-05
Position 1142: 1.0926064586133364e-05
Position 1186: 1.0886389448601183e-05
Position 2016: 8.997682143756854e-06
Position 765: 7.69242743332118e-06
Position 3: 6.650042650502461e-06
Position 661: 4.288614452984455e-06
Position 6941: 4.049041329497918e-06
Position 141: 3.9326451782289806e-06
Position 10: 3.808392606189802e-06
Position 810: 2.8379039162181065e-06
Position 7113: 2.5060819721124287e-06
Position 7123: 1.5362030258590558e-06
Position 1095: 1.0276057386718824e-06
Position 1282: 6.301148677236322e-07
Position 85: 6.212072389314507e-07
Position 7: 5.245969831859016e-07
Position 156: 8.859335814087645e-08
Position 95: 8.53927770904712e-08
Position 355: 8.15101411805595e-08
Position 12: 7.704567970352349e-08
Position 371: 5.149933599886457e-08
Position 5: 4.3099984014829036e-08
Position 329: 3.6587564099187713e-08
Position 27: 2.74254985918335e-08
Position 52: 3.530003704178733e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 6803: 0.9730918803268636
Position 7405: 0.9529770236916629
Position 5924: 0.8831304123535094
Position 7825: 0.12588440987597663
Position 5975: 0.08919675313064186
Position 8065: 0.04736349257580232
Position 8017: 0.04210821050382055
Position 7797: 0.028690769099839784
Position 2685: 0.027273707652736453
Position 6812: 0.015017631445712366
Position 1291: 0.010977752046486464
Position 4878: 0.008369141636344918
Position 7587: 0.007153040173562168
Position 1742: 0.0056925097348771055
Position 7759: 0.0055726754039078326
Position 5979: 0.005106887554777317
Position 7231: 0.004465952015594423
Position 5027: 0.0037687036674398703
Position 2138: 0.003324800941459539
Position 4512: 0.003028892724433749
Position 7392: 0.0026462474170332886
Position 4829: 0.0024628111762968257
Position 740: 0.0022369625143723233
Position 7416: 0.0019607681435175007
Position 4091: 0.0019026993770650952
Position 304: 0.001862022253788277
Position 7252: 0.001653953807763508
Position 4716: 0.0014861065938170078
Position 4537: 0.0014637377135740127
Position 272: 0.0013884457787750291
Position 6985: 0.0012960043248149268
Position 8240: 0.0010491444763343002
Position 658: 0.0010038521646818538
Position 5773: 0.0009903784812037054
Position 4637: 0.0008873698256299163
Position 7455: 0.0008723793426470746
Position 7774: 0.0008695720946354187
Position 1911: 0.0008238357864131774
Position 4572: 0.0007678893074379977
Position 2094: 0.0007595967766260488
Position 1022: 0.0007191517522874962
Position 7873: 0.0006818804103556225
Position 7033: 0.0006741694459069731
Position 3800: 0.0006306441400931596
Position 7425: 0.0006089399390813862
Position 1987: 0.0005845587673915722
Position 7036: 0.0005669974624149006
Position 1407: 0.0005656822992823428
Position 635: 0.0005635077238421762
Position 603: 0.0005320858994612435
Position 661: 0.0004997350579803923
Position 543: 0.0004816334627504826
Position 1348: 0.0004796874157506019
Position 386: 0.00046294928693019454
Position 1262: 0.000438442887452468
Position 1324: 0.00042627341055176437
Position 558: 0.00033796269152130785
Position 6838: 0.00030860978803895316
Position 354: 0.0002943883197183522
Position 5576: 0.000272494806166362
Position 7573: 0.0002703913567738227
