Gene = dib
index = 1670
Annotated 5SS: [ 598 1340 1597]
Annotated 3SS: [ 737 1398 1682]
SMsplice 5SS: [ 598 1340 1597 1818]
SMsplice 3SS: [ 737 1398 1682 1939]
top_k =  500
Partition function (log Z): 0.19616937428966152

Sorted 5' Splice Sites (High to Low Probability):
Position 1340: 0.9824533779684385
Position 1597: 0.9315392987033245
Position 598: 0.8687607269424845
Position 1818: 0.6396185840505999
Position 641: 0.06523988337718743
Position 971: 0.04257933868668803
Position 1046: 0.04128707718091836
Position 1804: 0.03344609974004626
Position 622: 0.02754405762544388
Position 148: 0.019369251161851557
Position 1013: 0.012755985453106316
Position 2037: 0.01038886681139491
Position 1346: 0.009750120626492767
Position 1812: 0.009522015590059937
Position 221: 0.005786354804067117
Position 676: 0.004291937087233923
Position 447: 0.003963747580696279
Position 2078: 0.0037426274763626725
Position 986: 0.0030724099126766286
Position 1043: 0.0026280486509375834
Position 1493: 0.0018135802164211414
Position 1629: 0.001693574263529726
Position 981: 0.0010256611225685404
Position 942: 0.0007572871797624891
Position 959: 0.0006320289793550074
Position 1863: 0.0006113344890686154
Position 602: 0.0005738564891805667
Position 1876: 0.000503529344808392
Position 1344: 0.00046998319294333177
Position 1038: 0.00044551554444559804
Position 475: 0.0003253803067975019
Position 284: 0.00032147824809544684
Position 550: 0.00029517419589665484
Position 498: 0.0002668757016952107
Position 1792: 0.0002648336013229875
Position 1317: 0.00023319848980951256
Position 1529: 0.00023061614659451935
Position 281: 0.00017502015141142776
Position 1423: 0.00015383457024139893
Position 553: 0.0001417071607376545
Position 243: 0.00014140534678045834
Position 418: 0.0001305980263158199
Position 1822: 0.00012669527884487372
Position 433: 0.00011950966196794718
Position 1328: 0.00011580845598704203
Position 477: 0.00010401897324939502
Position 1283: 9.624677337803461e-05
Position 1093: 8.794456857000302e-05
Position 2134: 8.719416795724534e-05
Position 428: 7.986392429317553e-05
Position 107: 7.638487565816076e-05
Position 35: 6.959406746662851e-05
Position 1139: 6.907527692072345e-05
Position 1277: 5.671506337897944e-05
Position 1496: 4.80580289151683e-05
Position 1921: 4.7528081965859714e-05
Position 507: 4.5780249670827577e-05
