Gene = hid
index = 1727
Annotated 5SS: [  850 12595 13582]
Annotated 3SS: [12086 13268 15549]
SMsplice 5SS: [  850 12595 13582]
SMsplice 3SS: [12086 13268 15549]
top_k =  500
Partition function (log Z): -3.7985528135639934

Sorted 5' Splice Sites (High to Low Probability):
Position 850: 0.9895748011316797
Position 12595: 0.9690423984655115
Position 13582: 0.9668633472300345
Position 15884: 0.11695203517645358
Position 4574: 0.11515789089090724
Position 1036: 0.06546841675804117
Position 4469: 0.05553110660220962
Position 3427: 0.051490587961901584
Position 17033: 0.04627582135951909
Position 1653: 0.035056320612723166
Position 1133: 0.03223546058432545
Position 2727: 0.028386889975299562
Position 28: 0.023043676497003108
Position 2226: 0.021185545457260424
Position 14713: 0.02044650514233153
Position 1504: 0.020144470031316523
Position 10405: 0.018275443550379203
Position 14654: 0.01772434081235529
Position 14060: 0.01648848574333669
Position 15388: 0.015265598397204387
Position 16284: 0.015072291982787336
Position 15646: 0.010269315138442814
Position 15206: 0.009836988120775941
Position 8756: 0.007612716906210581
Position 1458: 0.006539494015051449
Position 5357: 0.0062260695006930294
Position 818: 0.005802093132541205
Position 1175: 0.005455289990904199
Position 14782: 0.005126339534778341
Position 13645: 0.004854934809199313
Position 1127: 0.004724884464578951
Position 8712: 0.004064165104286155
Position 14666: 0.0033002285544893655
Position 14926: 0.0032138729599054242
Position 15844: 0.0031982556797720647
Position 322: 0.0027736889304789437
Position 13631: 0.002747566813896335
Position 14002: 0.0027365866024843893
Position 9136: 0.002455460994833973
Position 15941: 0.002295179251803135
Position 1032: 0.0021899145276569054
Position 13919: 0.002149044578401659
Position 4019: 0.0021158319235265177
Position 4462: 0.0019222334272487097
Position 4090: 0.0017010556956316989
Position 2902: 0.0014231697806767255
Position 14066: 0.001160112289639718
Position 15664: 0.001054032219082004
Position 15204: 0.0010301205956982792
Position 13904: 0.0010106375319922202
Position 3778: 0.0009127509549509663
Position 15108: 0.000773705774564059
Position 17279: 0.000771874308134076
Position 2463: 0.000729986591078761
Position 369: 0.0007279906638323995
Position 14072: 0.0006271322021819693
Position 14099: 0.0004621092873053039
Position 900: 0.00038045961733552676
Position 12212: 0.00031973986328645576
Position 256: 0.00030849563421648493
Position 15896: 0.0002950294355235204
Position 13543: 0.00027429647106082315
Position 14869: 0.00023034756244935518
Position 14484: 0.00016892752376418621
Position 1810: 0.00016868529750496604
Position 13672: 0.00015302279943681918
Position 1146: 0.00013060279061710746
Position 2656: 0.0001297116682584497
Position 194: 0.00012366908649569906
Position 13487: 0.0001176514662216498
Position 14125: 0.00010077066168945622
Position 13966: 8.675241546202352e-05
Position 3385: 7.554288447591791e-05
Position 70: 6.341649668367762e-05
Position 59: 6.325229161338525e-05
Position 1481: 5.1492134377238396e-05
Position 259: 4.9250214539320985e-05
Position 150: 4.3827005685528626e-05
Position 15707: 4.1976524030204733e-05
Position 1704: 3.3895630799666014e-05
Position 847: 3.090874389644324e-05
Position 157: 2.918326595573095e-05
Position 35: 2.5677578085915344e-05
Position 254: 2.292257202692218e-05
Position 1893: 1.991017349687979e-05
Position 904: 1.6734517644037273e-05
Position 77: 1.661707425726229e-05
Position 977: 1.282415014692497e-05
Position 13714: 1.220246954740312e-05
Position 15710: 8.457533129314714e-06
Position 5: 8.378991592942138e-06
Position 162: 8.372059588736464e-06
Position 822: 8.236488670247785e-06
Position 830: 5.6594311243982895e-06
Position 898: 5.418767312071266e-06
Position 854: 3.817203415511462e-06
Position 1292: 2.6989231902109724e-06
Position 798: 2.6133711546707713e-06
Position 164: 1.1147042390105345e-06
Position 1400: 9.059583185444404e-07
Position 1003: 5.687046985168998e-07
Position 1212: 4.799843495657255e-07
Position 566: 4.0593686743405707e-07
Position 456: 3.8330320759818397e-07
Position 176: 3.075986305791159e-07
Position 386: 1.7166075523982047e-07
Position 561: 1.4420656586627214e-07
Position 776: 1.0301897924931542e-07
Position 37: 9.891540000465104e-08
Position 701: 6.888780501945548e-08
Position 752: 5.620365409895653e-08
Position 1384: 4.847984727586507e-08
Position 389: 3.017086359194815e-08
Position 571: 2.6950705480516387e-08
Position 960: 1.9364851925563884e-08
Position 445: 9.400694218287017e-09
Position 635: 6.088416779593241e-09
Position 525: 4.0861154861239427e-13

Sorted 3' Splice Sites (High to Low Probability):
