Gene = Spn
index = 1514
Annotated 5SS: [  235 13316 19582 29694 39983 40597 41084 41500 41761 41998 42415 43130
 44531 44929 45654]
Annotated 3SS: [12888 18073 28573 39961 40094 40653 41146 41560 41819 42360 42528 43716
 44791 45384 45718]
SMsplice 5SS: [  235 13316 19582 29694 40597 41084 41500 41761 41998 43130 44531 44929
 45654]
SMsplice 3SS: [12888 18073 28573 40094 40653 41146 41560 41819 42528 44328 44791 44988
 47528]
top_k =  500
Partition function (log Z): 8.869969153496758

Sorted 5' Splice Sites (High to Low Probability):
Position 29694: 1.0000000000000038
Position 41084: 0.9996367696445387
Position 41500: 0.9966737510804567
Position 43130: 0.9806952255711137
Position 40597: 0.9684258614089131
Position 13316: 0.9472055253753384
Position 41998: 0.9148635010398373
Position 44929: 0.9064795439348746
Position 19582: 0.8917390685535084
Position 41761: 0.8174640854729528
Position 44531: 0.7854879298915579
Position 45654: 0.7790520020495226
Position 235: 0.414245521913684
Position 13930: 0.3801921053412644
Position 30424: 0.28121670488656414
Position 15426: 0.27814652772095205
Position 42415: 0.20186828441868332
Position 86: 0.18761033514383654
Position 21671: 0.15827796612801587
Position 356: 0.12088213346780911
Position 47085: 0.11321112949836948
Position 17777: 0.10480458801135933
Position 585: 0.08960606315466949
Position 21439: 0.08477912224248947
Position 45982: 0.056173060216790575
Position 634: 0.04996233919805301
Position 45159: 0.049168225892735014
Position 5495: 0.042889257876353205
Position 48348: 0.04003103521117442
Position 957: 0.03536354662447727
Position 70: 0.03324823281252334
Position 18681: 0.03190449953899708
Position 496: 0.028588147508268883
Position 483: 0.028007214321778873
Position 22069: 0.02634696518904523
Position 5403: 0.025986349834123762
Position 18293: 0.02367600934812324
Position 45303: 0.02348328319361079
Position 42144: 0.021183784971280428
Position 41968: 0.01842524695519933
Position 5475: 0.017171041128205247
Position 46630: 0.01648775529925479
Position 15422: 0.015517319623144498
Position 44557: 0.015116985368215652
Position 14800: 0.014175303067330315
Position 45608: 0.010281790881887099
Position 48235: 0.009205444841724208
Position 42659: 0.008364994562384544
Position 44586: 0.008252375997152155
Position 46595: 0.008138266514385293
Position 14839: 0.007883466908124012
Position 13934: 0.007286140988082814
