Gene = mu2
index = 1806
Annotated 5SS: [ 137  396  937 1828 2039 2212 2366 3599 3696 3861 4223]
Annotated 3SS: [ 194  455  990 1883 2093 2269 2422 3653 3752 3919 4278]
SMsplice 5SS: [ 137  396  937 1828 2039 2212 2366 3599 3696 3861 4223]
SMsplice 3SS: [ 194  455  990 1883 2093 2269 2422 3653 3752 3919 4278]
top_k =  500
Partition function (log Z): 30.154744918441725

Sorted 5' Splice Sites (High to Low Probability):
Position 2366: 0.9992411052881954
Position 3599: 0.9901527957889005
Position 3696: 0.9898968249988799
Position 3861: 0.9875011244139006
Position 396: 0.9806372759071326
Position 2039: 0.9772299737732943
Position 1828: 0.972494015979724
Position 137: 0.9604531108958697
Position 2212: 0.9596489194777762
Position 937: 0.9504454875894179
Position 4164: 0.0684407857366921
Position 2813: 0.045180234882874044
Position 1542: 0.038624287037176575
Position 3328: 0.037845761310085914
Position 910: 0.034653525509226964
Position 1967: 0.018579600655673385
Position 754: 0.015182934790131103
Position 336: 0.01461605939078254
Position 4125: 0.01350068164896673
Position 2216: 0.012870224418684493
Position 4107: 0.009696738466888748
Position 4496: 0.00863230502003579
Position 1770: 0.008403628871476655
Position 3226: 0.003672298849102843
Position 4346: 0.003526527704918264
Position 4407: 0.003524841318587777
Position 3277: 0.002667452347905973
Position 4141: 0.002545361125390876
Position 3865: 0.002442591358749404
Position 729: 0.0022351094899101054
Position 858: 0.002152753549664969
Position 1287: 0.001778626736290805
Position 1227: 0.0016544633905450769
Position 1333: 0.0014865222989377022
Position 4198: 0.0014074668106334018
Position 4003: 0.0011058257761539434
Position 609: 0.0010341262705903182
Position 2954: 0.0010222534488449116
Position 35: 0.0010208284813376855
Position 1275: 0.0009716838110120619
Position 1396: 0.0008689631493557237
Position 1137: 0.0007995755890534482
Position 738: 0.0007831000457448475
Position 1223: 0.0007529692512957332
Position 2005: 0.0006677142712128986
Position 374: 0.0006528269900356095
Position 3993: 0.0005603258877859983
Position 4092: 0.000525266006802707
Position 1133: 0.0004831400869508996
Position 3803: 0.0004268537798124248
Position 3964: 0.00041962391019366126
Position 3951: 0.00040394894444180797
Position 1066: 0.000303330323334113
Position 2944: 0.00028295650873157803
Position 3558: 0.00027745915972609756
Position 2124: 0.0002740784527736574
Position 2530: 0.0002523845751010146
Position 2626: 0.00024374024664227634
Position 2623: 0.00023712771888018784
Position 2579: 0.00022334206436678059
Position 941: 0.00020314619147551561
Position 4051: 0.0001752325463669094
Position 3167: 0.00017214738682793962
Position 3379: 0.00016655325709685845
Position 4265: 0.00015114956858994767
Position 741: 0.00012588166300166005
Position 357: 0.0001251879063231592
Position 3850: 0.00012404745607451904
Position 716: 0.00011213517588634842
Position 1388: 0.00010904020821589735
Position 611: 0.00010549670339653471
Position 1812: 0.00010408141181878699
Position 806: 9.693749137386054e-05
Position 1034: 9.608934160792078e-05
Position 2761: 9.124530146886852e-05
Position 2552: 8.779397393068183e-05
Position 2935: 8.166677128845989e-05
Position 1462: 8.077997155048624e-05
Position 2611: 7.153968623241754e-05
Position 1818: 7.107151564704432e-05
Position 564: 6.492091794842174e-05
Position 1911: 6.339927694666132e-05
Position 714: 4.5614743202151555e-05
Position 3574: 4.47959931551228e-05
Position 4502: 4.4309281370623475e-05
Position 3603: 4.399058262968348e-05
Position 2533: 4.317802317441394e-05
Position 2318: 4.314866932300988e-05
Position 642: 3.8628746977966864e-05
Position 3669: 3.0113641857315942e-05
Position 466: 2.9300108835911238e-05
Position 261: 2.6664990506359737e-05
Position 2519: 2.4662580204607305e-05
Position 2009: 2.354535992187005e-05
Position 1755: 2.0340646598493235e-05
Position 4305: 1.9596204163655034e-05
Position 2007: 1.8389935629578055e-05
Position 3763: 1.8301200790368835e-05
Position 1448: 1.7651530390562353e-05
Position 4514: 1.73925973745995e-05
Position 4387: 1.685210407182776e-05
Position 3463: 1.6027078372278144e-05
Position 54: 1.335468661701124e-05
Position 1096: 1.2707951382480386e-05
Position 2666: 1.2057501378708682e-05
Position 644: 8.371675348421319e-06
Position 238: 8.07463802752182e-06
Position 3305: 7.480752396138328e-06
Position 3887: 7.37815091733691e-06
Position 1057: 7.24665319082091e-06
Position 528: 7.1108474897115834e-06
Position 2170: 6.24202187568572e-06
Position 2347: 5.956113273810939e-06
Position 1752: 5.863402527445119e-06
Position 2181: 5.853043876798079e-06
Position 3767: 5.591670370668794e-06
Position 297: 3.865373903943545e-06
Position 3704: 2.6385589378426416e-06
Position 243: 2.333458538660751e-06
Position 2146: 2.1815935304870736e-06
Position 1971: 1.760098265943271e-06
Position 456: 1.5534757587950285e-06
Position 3137: 1.1468897462494032e-06
Position 300: 1.0587650188398519e-06
Position 3310: 8.035022186875194e-07
Position 1984: 7.954665167195258e-07
Position 2949: 7.352907339494356e-07
Position 2079: 5.42863664923923e-07
Position 1265: 3.769330572422722e-07
Position 2967: 3.739701987972541e-07
Position 3922: 3.3303662411369067e-07
Position 2433: 3.0456084338058123e-07
Position 2276: 2.960810028345757e-07
Position 2119: 2.871816963933785e-07
Position 3396: 2.707374827541621e-07
Position 2128: 2.1834193626505677e-07
Position 3925: 2.1365677375198128e-07
Position 276: 1.9233790582969104e-07
Position 974: 1.8135267327675523e-07
Position 3842: 1.3195662651872397e-07
Position 240: 8.750859453388156e-08
Position 4350: 6.588578517121927e-08
Position 870: 5.983582715815832e-08
Position 2140: 5.933132823719591e-08
Position 1021: 4.5468054624866526e-08
Position 43: 3.943577280077784e-08
Position 3: 1.4466771626358846e-08
Position 3825: 1.2765176701069737e-08
Position 3817: 1.1995573667731906e-08
Position 324: 7.134816015682271e-09
Position 4024: 6.864010512092227e-09
Position 194: 3.4776559669761295e-10
