Gene = RapGAP1
index = 1409
Annotated 5SS: [  744 42706 79168 79715]
Annotated 3SS: [42506 77454 79225 79799]
SMsplice 5SS: [  744 42706 78679 79168 79715]
SMsplice 3SS: [42506 77454 78739 79225 79799]
top_k =  500
Partition function (log Z): -17.324813046677214

Sorted 5' Splice Sites (High to Low Probability):
Position 744: 1.000000000000007
Position 42706: 1.000000000000007
Position 43624: 8.515072165534547e-09
Position 43030: 3.8216348317207275e-18
Position 43032: 1.0995242594895656e-18
Position 10407: 1.1634993462956827e-27
Position 26759: 1.1527239871308542e-27
Position 14162: 8.034552388539285e-28
Position 175: 5.332035035690721e-28
Position 23613: 4.221051582798156e-28
Position 5506: 4.122256149733508e-28
Position 10411: 4.122069735623123e-28
Position 13052: 3.652654635256825e-28
Position 17782: 3.086765718502198e-28
Position 273: 2.581986142358071e-28
Position 109: 8.039723184552333e-29
Position 264: 6.331145097445384e-29
Position 364: 5.268997149556005e-29
Position 23531: 2.623241842918027e-29
Position 346: 2.3613761354305803e-29
Position 1696: 1.9600560486062624e-29
Position 147: 1.9345343177571922e-29
Position 353: 1.6250621801509503e-29
Position 13494: 9.941697208889421e-30
Position 384: 8.290013805485245e-30
Position 154: 4.8652977318605564e-30
Position 402: 4.261879389383213e-30
Position 368: 4.043249625903987e-30
Position 214: 3.978407492967195e-30
Position 186: 1.9159405863327918e-30
Position 201: 8.249367810282831e-31
Position 173: 5.415752077750615e-31
Position 145: 3.931341057586641e-31
Position 6: 3.210409599033999e-31
Position 497: 7.189369304549402e-32
Position 590: 6.162553598891103e-32
Position 540: 5.752636806857335e-32
Position 572: 4.962751718266709e-32
Position 554: 1.435535144190826e-32
Position 466: 1.3501885099749656e-32
Position 600: 5.273611823124149e-33
Position 509: 2.89853516767809e-33
Position 1344: 2.0690419506414042e-33
Position 442: 1.8427375176766564e-33
Position 476: 1.823163907346108e-33
Position 905: 1.55450081526458e-33
Position 14418: 1.1286848943374912e-33
Position 14171: 9.780570437531389e-34
Position 14175: 8.418833603268912e-34
Position 1364: 6.83016543164892e-34
Position 425: 5.7234291491364675e-34
Position 14179: 4.2518266188351065e-34
Position 14441: 3.7748686365198217e-34
Position 1127: 2.2624288920691383e-34
Position 748: 7.955086299231014e-35
Position 7142: 9.195466363295426e-39
Position 4713: 7.756245252968882e-39
Position 6658: 6.452967361317413e-39
Position 2736: 8.34748522184887e-40
Position 1753: 6.44460913230352e-40
Position 1904: 4.663070974208847e-40
Position 4564: 3.1568988505605444e-40
Position 2026: 2.744974230729944e-40
Position 973: 3.93553911539372e-41
Position 1297: 3.212774313201659e-41
Position 1497: 1.8142793184947656e-41
Position 2020: 1.8130417781359642e-41
Position 1385: 1.785403645409952e-41
Position 1914: 1.637881064968931e-41
Position 1337: 1.24011512860895e-41
Position 3726: 7.659739977255755e-42
Position 943: 4.335982258834682e-43
Position 1112: 3.94664457622152e-43
Position 1131: 1.8962636884507287e-43
Position 883: 1.3578106408487094e-43
Position 1098: 1.2312166837810254e-43
Position 1258: 8.771402481908917e-44
Position 862: 8.347981189484226e-44
Position 1084: 8.25094891066899e-44
Position 1288: 5.794072044294793e-44
Position 1431: 4.353055221916115e-44
Position 770: 3.355657915887703e-44
Position 1348: 3.25969966457835e-44
Position 1416: 2.782700861534372e-44
Position 1004: 1.8798494006865328e-44
Position 1538: 1.4943161148304537e-44
Position 1281: 1.457050529281602e-44
Position 1233: 1.2386447064647694e-44
Position 1397: 1.1993669156870897e-44
Position 1096: 1.1192383429307446e-44
Position 1273: 9.880361596904426e-45
Position 1064: 7.36586675507145e-45
Position 1195: 6.065994300638569e-45
Position 1173: 3.872504594076069e-45
Position 1395: 3.850495169085862e-45
Position 1146: 1.688475262948906e-45
Position 887: 8.116385623888608e-46
Position 865: 4.270471251135256e-47
Position 668: 4.0026079799178453e-47
Position 835: 2.753494929163536e-48
Position 832: 1.961722205701192e-48
Position 605: 9.084965625706823e-52
Position 137: 3.013720654583788e-53

Sorted 3' Splice Sites (High to Low Probability):
Position 42506: 1.000000000000007
Position 77454: 0.9999999665685669
Position 62981: 3.343143405021671e-08
Position 42908: 3.272155223762762e-09
Position 42750: 1.5331292391955075e-09
Position 42874: 9.218880873297631e-10
Position 43385: 8.396112803246604e-10
Position 43106: 8.110156967509617e-10
Position 43109: 5.263465693910773e-10
Position 42928: 3.572134684409126e-10
Position 42893: 2.537126180940633e-10
Position 48311: 1.413515880631663e-16
Position 46195: 6.041133185358367e-17
Position 45727: 5.442308191582889e-18
Position 43805: 5.35803592106388e-18
Position 43775: 5.3331017474085966e-18
Position 44161: 4.518758994881022e-18
Position 44212: 1.4454355283137614e-18
Position 43725: 3.727749682553963e-19
Position 42799: 2.0538446347805998e-19
Position 42783: 1.1708313496114032e-19
Position 29717: 1.561563616160534e-26
Position 26711: 1.310688491467949e-26
Position 26833: 1.1527239871308377e-27
Position 27503: 8.274983191117498e-28
Position 9384: 5.98960845544287e-28
Position 23319: 5.570013370113515e-28
Position 14006: 4.160894042971474e-28
Position 4856: 3.717774817003964e-28
Position 466: 3.5399107109769687e-28
Position 12889: 3.304312108821165e-28
Position 10001: 2.9576190607507747e-28
Position 434: 2.2354682024827146e-28
Position 10170: 1.9674499692208306e-28
Position 405: 1.9539894716954408e-28
Position 17703: 1.8725632641865186e-28
Position 9718: 1.7129844368686415e-28
Position 402: 1.5299245044467277e-28
Position 10058: 1.5235276133047364e-28
Position 13575: 1.2565363775147113e-28
Position 13345: 9.247282613952405e-29
Position 13114: 8.661061282112367e-29
Position 23941: 8.301558931748507e-29
Position 10142: 7.220919237343952e-29
Position 14011: 7.154994567286042e-29
Position 17619: 6.823376813200549e-29
Position 368: 6.255468655619351e-29
Position 9060: 5.702708380433619e-29
Position 17707: 5.32377447043904e-29
Position 411: 4.6950007664839133e-29
Position 13687: 2.1023946307405539e-29
Position 12216: 1.902153931890548e-29
Position 344: 1.6449847257239523e-29
Position 12113: 1.5812733873895397e-29
Position 1575: 1.418592935074445e-29
Position 9160: 1.4047119077972942e-29
Position 9038: 9.684680034910713e-30
Position 23691: 9.514845051618681e-30
Position 382: 8.67171723854935e-30
Position 8572: 7.619302634278268e-30
Position 5153: 7.118451391158804e-30
Position 214: 7.054324063299222e-30
Position 4368: 6.382430199226789e-30
Position 4648: 6.165128966246221e-30
Position 4154: 4.387525476458911e-30
Position 3860: 4.217793966948769e-30
Position 4286: 4.0089128068266215e-30
Position 847: 3.1722977687733546e-30
Position 476: 2.9448215720152807e-30
Position 384: 2.366854771221182e-30
Position 3630: 2.1788731170196567e-30
Position 5146: 2.05697939916662e-30
Position 5106: 1.997743457109539e-30
Position 4563: 1.9342945606181696e-30
Position 554: 1.2435327289101784e-30
Position 346: 1.0790066306305536e-30
Position 173: 7.3133453158899795e-31
Position 646: 7.171948215504758e-31
Position 1192: 6.694839158357461e-31
Position 1049: 5.0895908979308e-31
Position 1522: 4.656583307155376e-31
Position 1167: 3.2889951878005766e-31
Position 816: 2.6933254418810975e-31
Position 19722: 2.20854326458949e-31
Position 18592: 5.337270608839178e-32
Position 18244: 4.984553233608534e-32
Position 14231: 3.782706040555547e-32
