Gene = UQCR-C2
index = 1580
Annotated 5SS: [321 599 959]
Annotated 3SS: [ 464  654 1060]
SMsplice 5SS: [321 599 959]
SMsplice 3SS: [ 464  654 1060]
top_k =  500
Partition function (log Z): 4.582469075324973

Sorted 5' Splice Sites (High to Low Probability):
Position 599: 0.9980818384255044
Position 959: 0.9883339180344882
Position 321: 0.7893090547032467
Position 387: 0.052237297852009625
Position 773: 0.04045871723003675
Position 10: 0.030143951976372672
Position 197: 0.003282744427121685
Position 347: 0.0022768947111145754
Position 1303: 0.0017962283928320561
Position 382: 0.0015030197953659263
Position 780: 0.0008967815982228224
Position 224: 0.0008478048051141035
Position 325: 0.0008190735964856569
Position 926: 0.0005288929944360775
Position 401: 0.0004425523220094417
Position 995: 0.00030895659586383287
Position 904: 0.0002917395586805352
Position 1901: 0.00025898372215570195
Position 119: 0.00023535150571231061
Position 380: 0.00023334625001232388
Position 283: 0.00018635756139150469
Position 33: 0.00018104010352654884
Position 824: 0.0001807984578474277
Position 425: 0.00014859397436539144
Position 546: 0.00013964777768405955
Position 168: 0.00012760853296093393
Position 947: 9.982722170878308e-05
Position 112: 8.936242504467417e-05
Position 418: 7.667522303181136e-05
Position 1607: 6.940159481222383e-05
Position 591: 6.860920219233669e-05
Position 1826: 6.086848631360014e-05
Position 543: 6.0135593477223744e-05
Position 929: 5.636381587055682e-05
Position 582: 5.528266296754768e-05
Position 525: 5.207420192879143e-05
Position 1545: 3.3757293818920476e-05
Position 1217: 2.509529225687935e-05
Position 1308: 2.157307339202988e-05
Position 158: 1.6414251042012772e-05
Position 259: 1.496221928044117e-05
Position 812: 1.4142488904067199e-05
Position 908: 1.2636824041392789e-05
Position 603: 1.1435402567559869e-05
Position 1211: 1.0475254182534877e-05
Position 51: 9.592358259509402e-06
Position 1704: 8.460460914465872e-06
Position 1520: 5.686158553980878e-06
Position 88: 4.997769803529938e-06
Position 1499: 4.481121856651618e-06
Position 1751: 4.422000356934892e-06
Position 1633: 3.7690200978363995e-06
Position 1707: 3.6476037946093526e-06
Position 1138: 3.0799803693944514e-06
Position 1341: 2.914786829067168e-06
Position 1200: 1.933546894559344e-06
Position 1631: 1.8241175353732876e-06
Position 1621: 1.6838180519766972e-06
Position 102: 1.6404061410119672e-06
Position 1725: 1.5196141523850132e-06
Position 519: 1.2650604158660199e-06
Position 573: 1.1470281863474573e-06
Position 299: 8.636837838414246e-07
Position 1874: 7.026832527813277e-07
Position 1554: 6.707476756766458e-07
Position 632: 4.6748688269308035e-07
Position 1915: 4.6502366489623844e-07
Position 121: 3.8562662585205525e-07
Position 615: 9.522346162397703e-08
Position 708: 5.5761284664586e-08
Position 506: 1.32224252004492e-09
Position 513: 1.2985864486234224e-09
Position 490: 1.2052131321720174e-09
Position 1549: 6.574204816324283e-10
Position 1079: 6.373782629597077e-10
Position 1696: 5.879113980945025e-10
Position 495: 3.9500706744081914e-10
Position 1355: 3.287258341759482e-10
Position 1346: 1.099390333079478e-10
Position 454: 1.0687360713222577e-10
Position 1208: 9.163065022923373e-11
Position 673: 8.74358199830725e-11
Position 1349: 1.9430060266400156e-11
Position 1150: 1.7498974297464362e-11
Position 1175: 5.883114974542931e-12
Position 1335: 4.161178316055908e-12
Position 1264: 4.069490760593273e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 654: 0.9984942676487583
Position 1060: 0.9966444432593772
Position 464: 0.8521343714297527
Position 65: 0.020898715173177866
Position 836: 0.019767821743641334
Position 871: 0.006935410803234581
Position 839: 0.005450159343745162
Position 1138: 0.0024301506355497945
Position 108: 0.0020166891479563424
Position 102: 0.0014519245150828195
Position 401: 0.0014211410009094343
Position 429: 0.0008435604350975045
Position 1366: 0.0008363764033933143
Position 1804: 0.0005503620490964493
Position 239: 0.0004675437161368929
Position 369: 0.0004461006130519986
Position 688: 0.0004325094307979333
Position 292: 0.00043086768209692677
Position 432: 0.0003612374466258935
Position 1960: 0.00032758154902087295
Position 1798: 0.00030775956414171
Position 471: 0.0002727651077855936
Position 524: 0.00019956660406455137
Position 262: 0.000175917295953514
Position 1420: 0.00016448482673251392
Position 1390: 9.761155542480146e-05
Position 1087: 8.563253607439635e-05
Position 375: 7.995838677672155e-05
Position 1264: 7.161901947366469e-05
Position 772: 6.145048413908298e-05
Position 656: 5.7117957500819485e-05
Position 1732: 4.221575919008321e-05
Position 347: 3.6133483554924205e-05
Position 250: 2.3662848818747815e-05
Position 158: 1.955556024539972e-05
Position 1579: 1.8817889433621158e-05
Position 151: 1.4919984081980474e-05
Position 719: 1.4763138598140979e-05
Position 769: 1.4396710362948557e-05
Position 883: 1.1712344209809617e-05
