Gene = RPA2
index = 1402
Annotated 5SS: [114 234 884]
Annotated 3SS: [171 296 972]
SMsplice 5SS: [234 884]
SMsplice 3SS: [296 972]
top_k =  500
Partition function (log Z): 0.9456513875195085

Sorted 5' Splice Sites (High to Low Probability):
Position 884: 0.9989269926748297
Position 234: 0.5227080895201885
Position 114: 0.46885370550575667
Position 238: 0.28385618619291436
Position 510: 0.10176174838515356
Position 534: 0.027245442383699664
Position 1048: 0.015113548026274294
Position 516: 0.008846393123937094
Position 528: 0.0066590842131274055
Position 242: 0.004553928142422668
Position 562: 0.0024096468491602834
Position 118: 0.0016422936286563908
Position 368: 0.0013227164047894986
Position 253: 0.0006235258893803651
Position 1062: 0.00046458840425608406
Position 551: 0.000324692820491296
Position 615: 0.00023894097340131028
Position 281: 0.00022433522943582094
Position 384: 0.00011732771085688721
Position 396: 0.00011040701016360009
Position 1088: 9.264467301417427e-05
Position 888: 7.007390506508508e-05
Position 52: 6.749251319027315e-05
Position 679: 6.40621150290975e-05
Position 694: 5.739139251056158e-05
Position 405: 5.51105440104653e-05
Position 19: 5.281137299406042e-05
Position 1060: 2.374643210301495e-05
Position 315: 1.7015462661407997e-05
Position 353: 1.0692336082197886e-05
Position 382: 1.0320543859527032e-05
Position 258: 9.17906657191595e-06
Position 35: 8.921829420172919e-06
Position 878: 6.601053102886948e-06
Position 891: 5.291376174312729e-06
Position 27: 4.269756995798249e-06
Position 312: 3.603278482839399e-06
Position 759: 2.589609637480085e-06
Position 127: 1.7153025632930228e-06
Position 789: 5.302828771901248e-07
Position 763: 4.745501732145425e-07
Position 303: 1.2771791167919355e-07
Position 636: 8.162445130455514e-08
Position 356: 2.2774434672939895e-08
Position 327: 3.515295268885946e-09
Position 171: 2.0584632086771616e-09
Position 165: 1.1345857234475729e-09
Position 813: 5.47356500365628e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 972: 0.999134731385319
Position 296: 0.5253363284971895
Position 171: 0.446752349602152
Position 655: 0.36550348402409694
Position 303: 0.03438187882788673
Position 587: 0.026815822848197817
Position 368: 0.01282035597486813
Position 1142: 0.01016903602726034
Position 1108: 0.0059114951195399935
Position 323: 0.005369740153427044
Position 746: 0.0048092947167302546
Position 717: 0.0022258102537663443
Position 614: 0.0019832676062873545
Position 726: 0.001264560978025306
Position 339: 0.0009851936975443704
Position 396: 0.0008345016025609261
Position 161: 0.0006233227092613518
Position 320: 0.00037217211787849764
Position 425: 0.00028461067772576654
Position 177: 0.0002548249344758518
Position 671: 0.00020590813047816506
Position 1017: 0.00016551794960674923
Position 533: 0.0001221113975734918
Position 763: 0.00011743215862314364
Position 123: 3.0183598750724835e-05
Position 510: 2.2642062262134184e-05
Position 92: 2.1280339597290955e-05
Position 558: 2.0841921064351196e-05
Position 210: 9.195552054392496e-06
Position 1028: 8.638908939298584e-06
Position 65: 5.281317833088237e-06
Position 130: 2.910933474697233e-06
Position 1000: 1.7263206208349125e-06
Position 97: 7.854248276593317e-07
Position 118: 5.771182781461978e-07
Position 135: 2.3290844309924516e-07
Position 231: 1.1839482626892019e-07
Position 443: 6.329959942641414e-08
Position 227: 5.3905721473877526e-08
Position 457: 2.996202784070042e-08
Position 145: 1.8704516136139075e-08
Position 137: 1.322473790800363e-08
Position 217: 8.119699089787022e-09
Position 451: 7.71872689921903e-09
Position 341: 7.3082604822944855e-09
Position 234: 1.388555576976278e-09
Position 258: 2.5299788144849038e-11
Position 238: 8.695305021627397e-12
Position 253: 5.956345584051722e-13
Position 242: 2.880986995594534e-14
Position 246: 1.0554488162323415e-16
