Gene = fon
index = 1705
Annotated 5SS: [ 119  426  536 2325]
Annotated 3SS: [ 412  499  841 2442]
SMsplice 5SS: [ 426 2325]
SMsplice 3SS: [ 841 2442]
top_k =  500
Partition function (log Z): -7.554207791036539

Sorted 5' Splice Sites (High to Low Probability):
Position 2325: 0.8476739723986081
Position 426: 0.48104015766920744
Position 536: 0.3466649392936077
Position 119: 0.07238860434243775
Position 1308: 0.0628191577827688
Position 1945: 0.051827143733881496
Position 614: 0.049714226311856756
Position 2879: 0.036658597031915305
Position 373: 0.025633311509302942
Position 1075: 0.02171570200838977
Position 1021: 0.018387628624265972
Position 951: 0.017677790396609196
Position 2592: 0.017041896931781965
Position 1424: 0.016772441661602557
Position 109: 0.015433911639054122
Position 273: 0.013747176254542305
Position 216: 0.011403245782657938
Position 308: 0.01137389986611027
Position 1356: 0.010827841872637786
Position 1557: 0.0104243647330951
Position 339: 0.008715636544691851
Position 2694: 0.005202023112624877
Position 469: 0.004408600710615516
Position 996: 0.004019004574556978
Position 904: 0.003274956323366856
Position 240: 0.002933255891864132
Position 1042: 0.0028563378164002126
Position 1000: 0.002716560257697821
Position 149: 0.0026791473460780345
Position 213: 0.0025867761084732463
Position 1482: 0.0025424312106032796
Position 2763: 0.0019737848673826493
Position 2672: 0.001735678685700938
Position 913: 0.0016163447929789026
Position 1371: 0.0013430755710146676
Position 2539: 0.0013192027863868235
Position 2688: 0.001229605960139059
Position 1234: 0.001134246802457802
Position 167: 0.0010154305630556855
Position 2599: 0.0009262244461700931
Position 1908: 0.0008873576955846812
Position 2651: 0.0007665212097058939
Position 104: 0.0007017138094228283
Position 331: 0.0006641887137497427
Position 1605: 0.0006584863420176839
Position 2888: 0.0006212430641185212
Position 769: 0.0005721711209476308
Position 2121: 0.0005617274588243728
Position 2613: 0.000514209983054163
Position 34: 0.000428620987536698
Position 2731: 0.00029935064469318196
Position 690: 0.0002010055214051019
Position 1063: 0.000188008681592463
Position 2053: 0.00018790809857681162
Position 733: 0.00017196677607748015
Position 2582: 0.0001550588474253621
Position 747: 0.00015472604738441713
Position 7: 0.00013509499634036114
Position 442: 0.0001345540928602192
Position 556: 0.00012229719543217275
Position 211: 4.270930980292181e-05
Position 122: 4.087997817034662e-05
Position 170: 2.53267544277771e-05
Position 130: 2.472975693540313e-05
Position 1410: 2.0185468332654535e-05
Position 27: 1.5504801943482367e-05
Position 377: 1.1786627916852984e-05
Position 265: 9.703218120363341e-06
Position 1045: 7.873810776381897e-06
Position 1534: 5.986805003588686e-06
Position 1442: 5.365271352398426e-06
Position 113: 4.775962218853784e-06
Position 44: 4.5785919862123275e-06
Position 106: 4.3310686427115774e-06
Position 736: 3.5677473385257425e-06
Position 499: 2.7269474264782636e-06
Position 517: 1.4908811819025145e-06
Position 540: 9.480419512758901e-07
Position 25: 5.276822467134167e-07
Position 653: 1.8207218145156225e-07
Position 523: 1.0635875625228216e-08
Position 473: 5.423245574440835e-09
Position 547: 1.7563043608050756e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 2442: 0.9274199296016178
Position 841: 0.6856619430656782
Position 1481: 0.08115302722167018
Position 3005: 0.07576924518194823
Position 850: 0.07086661725579872
Position 499: 0.06983440832817478
Position 412: 0.05868976557461457
Position 1450: 0.04444056921485174
Position 2011: 0.029753434020149024
Position 644: 0.02865859704023621
Position 1631: 0.022586239701564557
Position 338: 0.02229987649879458
Position 2029: 0.021184134789579687
Position 792: 0.009256321931795585
Position 1907: 0.00893228316876039
Position 780: 0.00550764305776671
Position 1547: 0.005099697119017611
Position 1790: 0.00484009520728604
Position 2735: 0.004686035680524483
Position 2797: 0.003390682259212212
Position 2647: 0.003038642950148677
Position 1696: 0.0028395916337167065
Position 1237: 0.0021033481095718305
Position 1604: 0.0019344137725263665
Position 1798: 0.001656009687327804
Position 1145: 0.0013681291861107221
Position 1265: 0.0011919242156976156
Position 1291: 0.0011915465788141912
Position 1169: 0.0011626641991976652
Position 1217: 0.0010738501613737762
Position 425: 0.0008065057661140858
Position 523: 0.0006379725975637465
Position 273: 0.0006231875299363582
Position 1020: 0.0005480638286361196
Position 3020: 0.0003345451927124997
Position 211: 0.0003139732345691702
Position 3037: 0.00024073882484959745
Position 442: 0.0001899416535241461
Position 308: 0.00016404874754576292
Position 2475: 0.00013799177513992676
Position 540: 7.25655318645398e-05
Position 240: 4.964021291657658e-05
Position 1193: 3.064815079774626e-05
Position 583: 3.061304965152527e-05
Position 658: 2.885366316915841e-05
Position 149: 6.218236500493611e-06
Position 180: 3.923576427161121e-06
Position 167: 1.0873921000827768e-06
Position 154: 7.846736288087341e-07
Position 864: 7.67902303149688e-07
Position 875: 6.954151302422431e-07
Position 690: 1.44716299484569e-07
Position 78: 7.234549021231852e-08
Position 685: 5.450602676221192e-08
Position 281: 2.7497582419945275e-08
Position 49: 7.324821193803305e-09
Position 122: 2.4495676171647764e-09
Position 51: 1.6908048851572837e-10
Position 508: 2.865895638483026e-13
Position 118: 2.2146158933303156e-13
