Gene = Cp18
index = 1089
Annotated 5SS: [59]
Annotated 3SS: [232]
SMsplice 5SS: [59]
SMsplice 3SS: [232]
top_k =  500
Partition function (log Z): -2.1803004309973706

Sorted 5' Splice Sites (High to Low Probability):
Position 59: 0.9174010076625495
Position 109: 0.08214990815116516
Position 332: 0.0016330186948128537
Position 464: 0.00035644493075445265
Position 575: 0.00019639904691415668
Position 52: 0.00016876036234489682
Position 81: 0.00014079488412064564
Position 375: 0.00011965870418956218
Position 411: 0.0001140886180674122
Position 70: 0.00010658006416915855
Position 378: 0.0001061161496825558
Position 456: 6.984632391783224e-05
Position 311: 6.956728734858216e-05
Position 315: 5.185693742511889e-05
Position 425: 3.623258511061735e-05
Position 300: 3.512828873421561e-05
Position 421: 3.350539999197647e-05
Position 303: 2.8626481909526055e-05
Position 104: 2.657254474088947e-05
Position 755: 2.086027783361853e-05
Position 498: 1.1423076215703296e-05
Position 291: 6.7439336531150295e-06
Position 659: 5.81516393327582e-06
Position 4: 4.441889235967993e-06
Position 350: 3.3004503210557772e-06
Position 747: 2.903301715625224e-06
Position 483: 2.6854113563506037e-06
Position 509: 1.9994982550113737e-06
Position 475: 1.2380605703490868e-06
Position 362: 9.253843954560182e-07
Position 288: 6.664414764658413e-07
Position 737: 6.043624293926706e-07
Position 439: 5.805354903262625e-07
Position 437: 2.7404506947970134e-07
Position 282: 1.516797598323951e-07
Position 640: 1.3393967858846297e-07
Position 431: 6.400815465385818e-08
Position 629: 1.1489964698422061e-08
Position 260: 1.789456365223249e-12
Position 191: 4.603619062014509e-13
Position 232: 1.9028756149098446e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 232: 0.9985224321634029
Position 624: 0.0013887450353152059
Position 453: 0.0012178875168652203
Position 191: 0.0012064498906456007
Position 520: 0.0001940843032846226
Position 509: 8.933248780735864e-05
Position 331: 8.751261372971025e-05
Position 475: 5.8925065806969116e-05
Position 818: 3.6109874136735634e-05
Position 401: 2.6273259207232878e-05
Position 355: 2.3264890269388103e-05
Position 538: 2.2107429899120415e-05
Position 558: 1.617511979807375e-05
Position 109: 5.140034640637016e-06
Position 311: 2.8684462452410875e-06
Position 604: 2.607460153424607e-06
Position 782: 2.263850555081383e-06
Position 337: 2.154331590313387e-06
Position 651: 1.4247494757858214e-06
Position 583: 1.281419354623283e-06
Position 637: 5.738657997470619e-07
Position 805: 4.939217055773854e-07
Position 712: 1.9741122353203072e-07
Position 640: 1.9114384832093537e-07
Position 789: 1.8517661953787282e-07
Position 709: 7.628060055048866e-08
Position 586: 7.368357759168936e-08
Position 755: 4.750504633579988e-08
Position 690: 3.528023866464629e-08
Position 677: 2.185883613307161e-08
Position 63: 2.1339871666329648e-14
Position 104: 1.4580216654457048e-14
Position 70: 1.1599384554168016e-14
Position 52: 4.923931823841823e-17
Position 421: 1.2060179082420117e-17
