Gene = A16
index = 1
Annotated 5SS: [1082 1515]
Annotated 3SS: [1385 1582]
SMsplice 5SS: [1082 1515]
SMsplice 3SS: [1385 1582]
top_k =  500
Partition function (log Z): 4.414324748339091

Sorted 5' Splice Sites (High to Low Probability):
Position 1515: 0.9955130388446841
Position 1082: 0.9915358270555688
Position 5: 0.12139082634346685
Position 662: 0.025588556425519045
Position 1328: 0.013096855519417736
Position 1227: 0.012019127665844192
Position 789: 0.008941104352941782
Position 1289: 0.0035690340597986474
Position 1315: 0.0028141585678232986
Position 1651: 0.001386311509450386
Position 199: 0.0012379146557632559
Position 461: 0.0009842692124032663
Position 1120: 0.0006730449430970359
Position 1115: 0.0006660567089197727
Position 381: 0.0006553089390369266
Position 306: 0.00037289678338961316
Position 1086: 0.0003569141446550485
Position 1331: 0.00033453405914766994
Position 564: 0.000324674978765394
Position 1176: 0.00031013408245839883
Position 553: 0.00024361877860885293
Position 1501: 0.00019752244498617985
Position 838: 0.0001920578488966138
Position 521: 0.00011207196392353873
Position 1127: 0.00010912423444484633
Position 168: 0.00010126321838299742
Position 1642: 9.023588608409193e-05
Position 1200: 8.253858980847451e-05
Position 27: 6.660612953805325e-05
Position 145: 4.858133580186474e-05
Position 364: 4.811128547057871e-05
Position 393: 4.70465591267942e-05
Position 1180: 2.6246896547563605e-05
Position 986: 2.5759363493636292e-05
Position 793: 2.4254779720061285e-05
Position 653: 2.2694919706826593e-05
Position 209: 2.171834601273341e-05
Position 643: 1.7017587487017696e-05
Position 1658: 1.605693446012867e-05
Position 245: 1.3891710113221593e-05
Position 1519: 1.2409540274866262e-05
Position 647: 9.418899993564175e-06
Position 1636: 8.097990966285807e-06
Position 1351: 6.377433928075014e-06
Position 680: 4.594521074222731e-06
Position 201: 4.136867177914201e-06
Position 997: 3.747722864265787e-06
Position 902: 3.256108042993207e-06
Position 768: 2.3203051732057914e-06
Position 203: 1.8113306030607889e-06
Position 22: 1.71397029837452e-06
Position 974: 1.2149674523546128e-06
Position 1157: 1.165255759025617e-06
Position 911: 1.1253176978286932e-06
Position 1355: 4.975208042089383e-07
Position 1457: 3.5563562533864296e-07
Position 1608: 1.1079141817579128e-07
Position 1557: 7.107145990388192e-08
Position 1553: 6.14497792704597e-08
Position 1442: 2.243954137208361e-08
Position 361: 1.4888386657639958e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 1582: 0.9956102280249831
Position 1385: 0.994805033851587
Position 81: 0.0686892416549479
Position 61: 0.03286661796965291
Position 756: 0.01767961466664441
Position 1157: 0.01737840598214474
Position 78: 0.016510517249265572
Position 1200: 0.014137955850091128
Position 907: 0.0103815103443414
Position 1354: 0.004686512757657805
Position 629: 0.002808511412313513
Position 1704: 0.0015049316130229017
Position 478: 0.0010006264399163348
Position 919: 0.0009547006786653045
Position 564: 0.0006783312988293389
Position 820: 0.0005870819170168763
Position 199: 0.0004415647892898987
Position 985: 0.0003557621869627293
Position 781: 0.00034253311178327443
Position 1217: 0.00026432613619748006
Position 823: 0.00023621929232787
Position 937: 0.00019502543114470285
Position 886: 0.00015659632978567482
Position 974: 0.00014934644516485386
Position 1020: 0.0001408418887225007
Position 168: 0.00010552925413301094
Position 527: 7.237901603038476e-05
Position 567: 6.314001666666746e-05
Position 853: 6.11814796823891e-05
Position 1606: 5.866381724569475e-05
Position 1602: 4.742071032491863e-05
Position 1331: 4.671011675661741e-05
Position 270: 2.7407474698349656e-05
Position 407: 2.2582295053356813e-05
Position 97: 2.218196574458116e-05
Position 267: 2.030189068316558e-05
Position 951: 1.8632781743301732e-05
Position 793: 1.738231174346364e-05
Position 826: 1.4824379277531828e-05
Position 718: 1.3854717154898116e-05
Position 598: 1.3267921200547945e-05
Position 145: 1.2347792691263905e-05
