Gene = fwe
index = 1710
Annotated 5SS: [ 137  475 2992 3165]
Annotated 3SS: [ 353 2783 3056 5561]
SMsplice 5SS: [ 475 2992 3165]
SMsplice 3SS: [2783 3056 5561]
top_k =  500
Partition function (log Z): 1.373217233987595

Sorted 5' Splice Sites (High to Low Probability):
Position 2992: 0.986879211953315
Position 3165: 0.9587967938371622
Position 475: 0.9138521311453605
Position 5482: 0.06546193484596133
Position 4076: 0.05062294009608135
Position 705: 0.03816103576756696
Position 5347: 0.03721825034316994
Position 2518: 0.03525058973462166
Position 694: 0.033919373518235714
Position 796: 0.03391902986964001
Position 2151: 0.02845894845173138
Position 5234: 0.027141787812746593
Position 84: 0.02294275087043532
Position 3874: 0.019473005637575428
Position 3963: 0.019135732344416647
Position 137: 0.018331630590167604
Position 3671: 0.016438894966342113
Position 5218: 0.01641687794328263
Position 4307: 0.01497311007044478
Position 5339: 0.010503414832145059
Position 894: 0.010441514048464872
Position 248: 0.009085308095707033
Position 3976: 0.008938701082484865
Position 3362: 0.008884587554165897
Position 428: 0.007842733303383614
Position 2996: 0.007693560636049307
Position 3581: 0.007396784878811017
Position 3403: 0.007097359926003923
Position 5758: 0.006614749173192462
Position 4924: 0.005337782033277984
Position 1110: 0.005221929817583478
Position 843: 0.0041604512044515
Position 3169: 0.003999440385605495
Position 2509: 0.0038946594213814267
Position 221: 0.0033685417215655387
Position 37: 0.0032223929042930785
Position 482: 0.0029623141483544366
Position 2948: 0.002919300760198594
Position 2219: 0.002351847073541863
Position 3816: 0.002169783941125304
Position 2612: 0.0021654724854767897
Position 75: 0.0020335018594446258
Position 2498: 0.0020062073484878877
Position 2927: 0.0019269352581985238
Position 1284: 0.001901975871908822
Position 2652: 0.0018708694718912308
Position 1903: 0.0018218604504205399
Position 1049: 0.0017073669763249142
Position 4376: 0.0016488902017789988
Position 4334: 0.0015813735423425982
Position 4185: 0.0015120012891277949
Position 5099: 0.00148763021953015
Position 1898: 0.0014401485300581315
Position 425: 0.0014271016273966145
Position 838: 0.0012727938773042387
Position 202: 0.0012490455267889333
Position 3893: 0.0011733750071993589
Position 68: 0.0011039925689969832
Position 915: 0.001090212140315727
Position 715: 0.0010744490188346163
