Gene = pelo
index = 1835
Annotated 5SS: [ 284 1065 1313 5937]
Annotated 3SS: [ 342 1119 5829 7334]
SMsplice 5SS: [ 284 1065 1313 5937 7271]
SMsplice 3SS: [ 342 1119 5829 6638 7334]
top_k =  500
Partition function (log Z): 8.859435919230028

Sorted 5' Splice Sites (High to Low Probability):
Position 284: 0.9990448085032828
Position 1313: 0.9973716311061517
Position 1065: 0.9929201423877099
Position 5937: 0.9486649484090631
Position 7271: 0.26600038825392247
Position 7125: 0.21204659270966753
Position 8005: 0.10276605314744293
Position 7011: 0.09777139544464869
Position 7081: 0.07081550722113762
Position 1550: 0.0702174791746072
Position 639: 0.0699194942419742
Position 910: 0.05579291309829611
Position 4283: 0.045595771919909135
Position 6009: 0.032962679137720885
Position 482: 0.029480070552721203
Position 7209: 0.026348878498059353
Position 5729: 0.02607083560736679
Position 5298: 0.023801872798265632
Position 2722: 0.020160098266105833
Position 7250: 0.01474377704868714
Position 5710: 0.0142739316847692
Position 7224: 0.01330831112343513
Position 4210: 0.010650229585122736
Position 6070: 0.008938811724787374
Position 912: 0.008645288391671929
Position 2993: 0.00852988375678748
Position 6769: 0.007675464722953419
Position 6498: 0.006869603615382612
Position 5988: 0.006629529308699635
Position 4785: 0.005759346531041442
Position 440: 0.00560805388877066
Position 2813: 0.003946087231013198
Position 6406: 0.0034765801589524297
Position 6792: 0.0032535436568100085
Position 7230: 0.0030444628654506764
Position 6980: 0.002600823438278205
Position 7153: 0.002591125809449936
Position 577: 0.0025294561673540527
Position 3826: 0.001891634059797744
Position 3409: 0.0015934393744069374
Position 6557: 0.0015519755465220582
Position 6545: 0.0015250256084958463
Position 3170: 0.0014039258043153043
Position 4696: 0.0012964664827642375
Position 3963: 0.000916270986876394
Position 1216: 0.0008571941156411523
Position 628: 0.0007372509244982219
Position 3422: 0.0005122427267514316
Position 6862: 0.0004909995572768502
Position 5941: 0.00046947607401856464
Position 2999: 0.00045169021672727326
Position 866: 0.0004443906811493652
Position 6734: 0.00042933812580964463
Position 7233: 0.0004175722367633348
Position 7039: 0.0003800870204509044
Position 6789: 0.00037551043376381644
Position 2964: 0.0003677500295869471
Position 8009: 0.0003597949538506459
Position 6944: 0.0003499794011423649
Position 1970: 0.00034013169439756525
Position 1456: 0.00031431694609926586
Position 7548: 0.0003128984807768518
Position 183: 0.00029122424372942204
Position 288: 0.00026528656527939284
Position 2846: 0.00025056644699541293
Position 3285: 0.0002205598267612845
Position 765: 0.00015315325659924966
Position 1018: 0.00012449641976148364
Position 7943: 0.00012106897258246467
Position 7808: 9.893038097797793e-05
Position 1028: 9.266011950385012e-05
Position 6807: 8.901357381998869e-05
Position 7826: 8.86782071678959e-05
Position 2195: 8.86384700253968e-05
Position 7712: 8.846692646988401e-05
Position 6835: 8.579152452172168e-05
Position 902: 7.555329606718203e-05
Position 151: 7.427181537167368e-05
Position 776: 7.40374198367505e-05
Position 506: 6.858231677710443e-05
Position 905: 6.618259648241972e-05
Position 3427: 5.3577876162557917e-05
Position 416: 4.945228858435019e-05
Position 7962: 4.85176148866551e-05
Position 64: 4.3967281347401276e-05
Position 2100: 3.841211003221439e-05
Position 6741: 3.761405217485722e-05
Position 794: 3.4260829266045725e-05
Position 6710: 3.398346598726887e-05
Position 853: 3.0177390705457898e-05
Position 890: 2.5360111237172808e-05
Position 914: 2.3769909451229347e-05
Position 145: 2.2576240458022494e-05
Position 2505: 2.2326387691296773e-05
Position 7717: 1.8778885269943918e-05
Position 117: 1.8766819746918196e-05
Position 700: 1.6126700471351053e-05
Position 6163: 8.875473279284499e-06
Position 1524: 7.470747344302119e-06
Position 1803: 6.754930111542e-06
Position 1338: 6.754342356886167e-06
Position 7436: 6.579029458039605e-06
Position 2378: 6.266183685893086e-06
Position 1694: 6.1602294618017946e-06
Position 3273: 5.252148016167905e-06
Position 537: 5.138257380488674e-06
Position 7860: 5.0950846006230315e-06
Position 2416: 4.554022379563751e-06
Position 6021: 4.5187155676340455e-06
Position 1477: 4.325025274963746e-06
Position 6031: 4.322590793681561e-06
Position 1592: 4.2311546248467805e-06
Position 1632: 3.89639972161771e-06
Position 916: 3.5453345123387763e-06
Position 3121: 3.5081459557701756e-06
Position 1795: 3.47104435723391e-06
Position 1652: 3.0781199923212863e-06
Position 2172: 2.831664649482196e-06
Position 710: 2.2640379948310734e-06
Position 938: 2.168927081571568e-06
Position 83: 1.5864540333506327e-06
Position 1327: 1.2046841180288765e-06
Position 539: 1.1463362052721647e-06
Position 722: 8.757130586412855e-07
Position 66: 7.453032091312178e-07
Position 264: 7.258581627539006e-07
Position 1317: 7.137110701859956e-07
Position 2840: 5.728161878735127e-07
Position 977: 4.852326432705922e-07
Position 925: 4.784888384739461e-07
Position 1658: 2.556757944246581e-07
Position 1360: 1.702553558555034e-07
Position 367: 3.939993081106313e-08
Position 356: 2.1730343175324157e-08
Position 347: 2.031199400477894e-08
Position 1601: 1.855610158413172e-08
Position 581: 1.4439449525288756e-08
Position 303: 6.389945691755327e-09
Position 194: 3.980978200116312e-09
