Gene = Sfp78E
index = 1495
Annotated 5SS: [378]
Annotated 3SS: [439]
SMsplice 5SS: [362]
SMsplice 3SS: [439]
top_k =  500
Partition function (log Z): -6.429571135138948

Sorted 5' Splice Sites (High to Low Probability):
Position 362: 0.6449235322952994
Position 24: 0.31959112436751264
Position 266: 0.25960042252254095
Position 378: 0.16764401914056978
Position 272: 0.08903992108545712
Position 711: 0.02472930453199716
Position 604: 0.017564428827117513
Position 763: 0.016160488654987194
Position 41: 0.013204974750092939
Position 192: 0.01267179897339715
Position 496: 0.007915263147147796
Position 376: 0.005981226416315047
Position 227: 0.005436425168142327
Position 683: 0.005272000447751282
Position 263: 0.0028597225301279566
Position 491: 0.002026024387922191
Position 699: 0.0015583248830141375
Position 779: 0.0012608047029015346
Position 57: 0.0006274345996386418
Position 86: 0.000396350343242145
Position 55: 0.00036087209117334154
Position 460: 0.00015371031756586574
Position 31: 0.00012186446694085582
Position 664: 8.494456440520967e-05
Position 165: 4.904441687298295e-05
Position 88: 4.319457306606207e-05
Position 301: 4.009952956845571e-05
Position 151: 2.253658029034587e-05
Position 855: 2.1482322015831113e-05
Position 872: 1.8414830159313068e-05
Position 505: 1.7941345990436642e-05
Position 77: 1.0914995148267555e-05
Position 399: 8.78756958324534e-06
Position 443: 5.670728962994288e-06
Position 477: 5.440005920725163e-06
Position 96: 4.032209456516497e-06
Position 289: 2.4965712066018973e-06
Position 230: 2.471273062906935e-06
Position 101: 2.308003509695973e-06
Position 280: 1.648485790735714e-06
Position 465: 7.691919676794539e-07
Position 549: 3.89167024739597e-07
Position 402: 4.547503985371709e-08
Position 578: 5.524389889536793e-09
Position 576: 4.564252115627301e-09
Position 720: 4.0852264651438923e-10
Position 418: 3.310128181475011e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 439: 0.8891016467821776
Position 316: 0.25462843650826755
Position 83: 0.13975909889094446
Position 77: 0.08801185133468076
Position 320: 0.06598367765164975
Position 843: 0.056076982786846294
Position 125: 0.050687816138923966
Position 146: 0.011424859480708698
Position 660: 0.011294933452804546
Position 230: 0.0071933831488775885
Position 165: 0.006938027200835259
Position 762: 0.005222196767465915
Position 601: 0.004488438623127613
Position 528: 0.0033238791430604993
Position 883: 0.0009512845203157688
Position 495: 0.0006154990029104616
Position 901: 0.0005448251634622998
Position 923: 0.0004909688976351699
Position 171: 0.0004718013350581969
Position 698: 0.00043555847136421183
Position 143: 0.0003049835727761773
Position 570: 0.00028014586138838855
Position 872: 0.0002585533098322693
Position 860: 0.0002357162015037287
Position 664: 0.00019224473014015921
Position 612: 0.00012100559198198052
Position 675: 0.00011127001937738992
Position 326: 8.578427762449845e-05
Position 187: 6.368916759986775e-05
Position 939: 5.622381506994032e-05
Position 504: 4.1528736439025314e-05
Position 270: 1.7564002563357858e-05
Position 356: 1.2471913464930556e-05
Position 289: 6.855062461474622e-06
Position 173: 4.457082210730279e-06
Position 191: 3.613199217831619e-06
Position 477: 1.018495826117857e-06
Position 367: 3.909694118617426e-07
Position 197: 8.068483233376931e-12
