Gene = Ggamma30A
index = 1187
Annotated 5SS: [  252   644 16045]
Annotated 3SS: [  329 15902 34492]
SMsplice 5SS: [  644 35124]
SMsplice 3SS: [34492 45680]
top_k =  500
Partition function (log Z): -28.69584172146328

Sorted 5' Splice Sites (High to Low Probability):
Position 644: 0.8343500360852414
Position 16045: 0.5870298898760921
Position 134: 0.08703303568191156
Position 560: 0.07861692823267141
Position 17090: 6.887647119855016e-10
Position 16933: 1.1523109719111817e-10
Position 16690: 4.681099408902696e-11
Position 11483: 4.1847480187543784e-13
Position 554: 3.350852579409279e-13
Position 10199: 2.448228931045602e-13
Position 2170: 1.367570872874468e-13
Position 10671: 9.211474350279404e-14
Position 89: 4.7053499568392786e-14
Position 150: 2.1592711097237952e-14
Position 252: 2.1168621975061597e-14
Position 280: 1.558885755550683e-14
Position 969: 4.716321212501724e-15
Position 454: 4.369157041859078e-15
Position 977: 2.24715272738587e-15
Position 410: 2.02701456280167e-15
Position 752: 1.25657905113666e-15
Position 274: 9.808854733113204e-16
Position 1220: 9.757666083573594e-16
Position 144: 9.310549722932994e-16
Position 138: 9.250732702640263e-16
Position 1225: 9.012212707551549e-16
Position 954: 7.776300442879757e-16
Position 3268: 7.1673487225022615e-16
Position 3023: 5.605214646439485e-16
Position 2859: 5.583784166221747e-16
Position 756: 5.075633361242375e-16
Position 220: 4.4187623828513184e-16
Position 735: 4.2620236857865435e-16
Position 893: 2.663695784651886e-16
Position 851: 2.5003286596803835e-16
Position 2871: 2.208657494501204e-16
Position 503: 1.906256473170863e-16
Position 1462: 1.8666218600965712e-16
Position 3080: 1.8083384284800105e-16
Position 414: 1.72167568117108e-16
Position 1420: 1.574057076579406e-16
Position 3237: 1.457074414306113e-16
Position 329: 1.405989465571844e-16
Position 3640: 1.278077808889456e-16
Position 1468: 1.0030039213298743e-16
Position 766: 8.976238768357345e-17
Position 12: 5.211002923462782e-17
Position 809: 4.979027331805868e-17
Position 228: 4.517727904163259e-17
Position 574: 4.5177063337465036e-17
Position 952: 4.3549303533068325e-17
Position 1200: 3.476080616872439e-17
Position 1766: 3.3130343660300575e-17
Position 244: 3.1092586842178875e-17
Position 4163: 2.990163444823591e-17
Position 3801: 2.572791832227557e-17
Position 205: 2.3979163203790832e-17
Position 3791: 2.3861912222859798e-17
Position 823: 2.2036448511724596e-17
Position 256: 1.7771133102689506e-17
Position 873: 1.7283865445751926e-17
Position 179: 1.6211337363007406e-17
Position 578: 1.3299294118577657e-17
Position 741: 1.1536524191208646e-17
Position 258: 1.0601384140446948e-17
Position 2725: 8.922193924823787e-18
Position 3976: 7.814858642584502e-18
Position 3862: 5.57335161183441e-18
Position 1587: 4.838926678868113e-19
Position 5: 4.105841845060971e-19
Position 1266: 4.070378482173886e-19
Position 1578: 3.658544192595857e-19
Position 1257: 3.377363410938409e-19
Position 22: 2.9444026506440523e-19
Position 1400: 2.648057055465234e-19
Position 1454: 1.453208967433489e-19
Position 1122: 9.312178323158928e-20
