Gene = r2d2
index = 1853
Annotated 5SS: [106 501]
Annotated 3SS: [198 573]
SMsplice 5SS: [501]
SMsplice 3SS: [573]
top_k =  500
Partition function (log Z): -4.2651090547036725

Sorted 5' Splice Sites (High to Low Probability):
Position 501: 0.7744735380929779
Position 106: 0.325636971001894
Position 454: 0.22166661639860308
Position 774: 0.016658382088549462
Position 97: 0.009528247033957766
Position 1197: 0.00857349583833661
Position 1622: 0.007389256221938124
Position 89: 0.005098276164017321
Position 1368: 0.004795214047140746
Position 672: 0.004188112675006958
Position 20: 0.003047372530999769
Position 1871: 0.003032821183943804
Position 1405: 0.002482917231710148
Position 462: 0.0018711482356814828
Position 717: 0.0012034502771161328
Position 122: 0.0011110947795116833
Position 239: 0.0009717005332078487
Position 840: 0.0005544113703682961
Position 367: 0.00044059335169860056
Position 1485: 0.00039251482282122853
Position 951: 0.0003919009979273167
Position 152: 0.00037606097397629464
Position 271: 0.00035951059263052935
Position 320: 0.00033961087756525685
Position 1355: 0.000335601119675133
Position 1583: 0.0002558581021906206
Position 1250: 0.00025133493766064637
Position 303: 0.00020344689746489806
Position 1686: 0.00019023220155006966
Position 4: 0.000184400275637411
Position 207: 0.00012190726265713093
Position 1702: 0.0001157086970097862
Position 467: 0.00010876716215156057
Position 1592: 9.681664651226967e-05
Position 458: 8.495571562948017e-05
Position 374: 8.350853465877918e-05
Position 36: 7.383807714168256e-05
Position 248: 6.942890924446577e-05
Position 228: 5.14999084008434e-05
Position 1691: 4.037632164326428e-05
Position 854: 3.726334141742334e-05
Position 676: 3.188657889645461e-05
Position 1481: 2.7815298831669866e-05
Position 975: 2.5576114386834298e-05
Position 9: 1.3379901071135331e-05
Position 11: 1.0117894990129838e-05
Position 777: 9.854004687178423e-06
Position 201: 8.953652554349371e-06
Position 116: 7.898546347215854e-06
Position 1596: 5.308498974817384e-06
Position 328: 4.719503111601505e-06
Position 741: 2.1177099078393776e-06
Position 335: 1.8576518801970005e-06
Position 1269: 1.8529319143896468e-06
Position 877: 1.2522062835532452e-06
Position 1065: 1.0563963438700413e-06
Position 1296: 9.305277722796593e-07
Position 730: 5.819728476245283e-07
Position 313: 5.31730759667173e-07
Position 429: 4.562446470882671e-07
Position 391: 2.1287612249183463e-07
Position 1514: 1.4171503619708095e-07
Position 396: 6.18740946744871e-08
Position 622: 2.2240194788295816e-08
Position 1046: 2.125248904543064e-08
Position 1282: 1.2800776367750279e-08
Position 1231: 1.1237600585172501e-08
Position 586: 6.717022434229255e-11
Position 1293: 3.580293162483891e-12
Position 540: 3.8223443631188557e-13
Position 577: 3.598542703029304e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 573: 0.9970346700568558
Position 198: 0.3061648041540817
Position 271: 0.020231284773684338
Position 1484: 0.01251544655633594
Position 324: 0.00838230972177157
Position 1430: 0.007644938390741295
Position 174: 0.007295834585723897
Position 840: 0.007226020104279441
Position 1267: 0.007192498464350097
Position 1936: 0.00406882616363618
Position 1513: 0.003250513486121905
Position 1773: 0.0028471920375883583
Position 1691: 0.0027886020061448323
Position 429: 0.0016566893494710912
Position 1807: 0.0013648001011921627
Position 388: 0.0007843271533244649
Position 1927: 0.0007185514522844035
Position 1393: 0.0006778183902551412
Position 1746: 0.0006616336949965265
Position 89: 0.0006069491977306513
Position 279: 0.0005732243583084929
Position 367: 0.00046448221464795696
Position 1522: 0.0003434609243609342
Position 1559: 0.00033458640774970694
Position 1904: 0.00031450069847704557
Position 916: 0.0002650153233185834
Position 409: 0.0002442408550823475
Position 212: 0.00023185228001586125
Position 1021: 0.00019379924525274997
Position 1214: 0.00018447347519485774
Position 1161: 0.0001493565412676237
Position 371: 0.0001377096926433139
Position 1136: 0.0001118773140988288
Position 391: 8.661743580108238e-05
Position 1112: 7.770632588770222e-05
Position 1555: 7.298432587221535e-05
Position 773: 3.307467206110976e-05
Position 610: 2.8874359393111596e-05
Position 777: 2.3739932574744263e-05
Position 1231: 1.776027078629084e-05
Position 782: 1.3351104282693867e-05
Position 725: 1.1230611754566583e-05
Position 64: 1.0076217347054206e-05
Position 446: 5.94682783156603e-06
Position 1575: 6.213643849235356e-07
Position 102: 1.877629844490989e-07
Position 97: 1.294127889273623e-07
Position 662: 6.175323663794942e-08
Position 105: 4.2331410310366956e-08
Position 485: 3.1660379004341406e-08
Position 584: 2.744897454081719e-08
Position 467: 2.346678641464024e-08
Position 722: 1.6410391805583825e-08
