Gene = Cpr65Au
index = 1098
Annotated 5SS: [162]
Annotated 3SS: [503]
SMsplice 5SS: [162]
SMsplice 3SS: [503]
top_k =  500
Partition function (log Z): -4.507761182138832

Sorted 5' Splice Sites (High to Low Probability):
Position 162: 0.47466472907031937
Position 166: 0.41013368981190035
Position 397: 0.29492845138696505
Position 425: 0.1004613961321232
Position 364: 0.016252307079923336
Position 205: 0.011406017286594268
Position 418: 0.005103568468796505
Position 95: 0.002730101405946839
Position 415: 0.0010733690164250402
Position 704: 0.00034235172711870733
Position 778: 0.00017601255746711413
Position 427: 0.0001712760956679761
Position 753: 0.00012504929595669173
Position 278: 0.00011848242878397353
Position 442: 0.00010362298715063026
Position 249: 9.996982014212036e-05
Position 71: 8.732519015809388e-05
Position 672: 8.35693311909581e-05
Position 290: 6.439537566507076e-05
Position 606: 5.7853007544668405e-05
Position 542: 4.643068549883277e-05
Position 52: 3.456536338493525e-05
Position 547: 2.8513035713913082e-05
Position 682: 1.025462393892454e-05
Position 77: 6.0982376619593305e-06
Position 337: 4.690586432612796e-06
Position 733: 1.420903795966811e-06
Position 575: 1.163435760522925e-06
Position 314: 8.168838322205648e-07
Position 638: 4.6834235205726565e-07
Position 582: 4.5968384705431755e-07
Position 764: 3.759359978969208e-07
Position 45: 2.8334967654149386e-07
Position 793: 1.0122873666883256e-07
Position 323: 2.826917728474451e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 503: 0.9696061670828725
Position 314: 0.23479158355410445
Position 252: 0.10405115923416032
Position 510: 0.00673917368929362
Position 361: 0.001149351068333299
Position 591: 0.00049791868866111
Position 165: 0.00026359954642061724
Position 546: 0.0002576070251157725
Position 836: 0.00020627114854472004
Position 759: 0.0002025079947542289
Position 767: 0.00015325612350165017
Position 805: 0.00014211539843782676
Position 773: 6.628845632993455e-05
Position 424: 5.050215898021837e-05
Position 672: 4.851263963845483e-05
Position 230: 4.169276590945695e-05
Position 363: 2.5543989103597044e-05
Position 809: 1.4465440488872375e-05
Position 677: 4.9207075143182134e-06
Position 415: 1.7272839347348122e-06
Position 638: 1.4775862070027576e-06
Position 380: 1.1718987877002456e-06
Position 537: 8.881137220722903e-07
Position 785: 3.562668452579633e-07
Position 393: 2.8628017562559365e-07
Position 176: 2.1879836161014145e-07
Position 108: 1.4018842504476367e-07
Position 733: 1.3793467564367938e-07
Position 370: 1.0208292218560539e-07
Position 99: 2.4793972926640093e-08
Position 400: 8.530829211454257e-09
Position 395: 1.7373756277320422e-09
Position 129: 1.3321145670395983e-09
Position 114: 2.3478277585721517e-10
Position 131: 4.206767070961657e-18
