Gene = Nf-YA
index = 1316
Annotated 5SS: [144]
Annotated 3SS: [300]
SMsplice 5SS: [144]
SMsplice 3SS: [1977]
top_k =  500
Partition function (log Z): -8.547531062141095

Sorted 5' Splice Sites (High to Low Probability):
Position 144: 0.5440985612227788
Position 220: 0.24990906612169983
Position 300: 0.10204387331758842
Position 38: 0.05182850989504962
Position 186: 0.048474146321695874
Position 215: 0.028749565404124055
Position 759: 0.012203870034853508
Position 181: 0.009865730005108035
Position 1588: 0.009155021037002862
Position 600: 0.002807173733430056
Position 543: 0.002185751227127153
Position 304: 0.002145487903709931
Position 17: 0.0018394916072700415
Position 1900: 0.0015899003012278788
Position 990: 0.0011420869674495246
Position 306: 0.0009978979217376007
Position 326: 0.0009761253538548152
Position 1251: 0.0008474745381086001
Position 1017: 0.0008109919799730973
Position 308: 0.0006093084104000695
Position 664: 0.00026862613353766796
Position 900: 0.0002487872809236582
Position 1792: 0.0002464408160563036
Position 682: 0.00021907944361959685
Position 1273: 0.00021604135955773538
Position 1074: 0.0002156495615388395
Position 2069: 0.00020769788444041832
Position 541: 0.0001946426782490604
Position 212: 0.00018907214480634599
Position 141: 0.0001677112219252589
Position 1265: 0.0001475086230382309
Position 1612: 0.000123265565337637
Position 1122: 0.00010623039744484382
Position 4: 0.0001057743779982212
Position 1131: 8.519966299572131e-05
Position 1180: 8.212210873257015e-05
Position 190: 3.763917034666077e-05
Position 237: 2.276736625638667e-05
Position 6: 1.8507949015444897e-05
Position 1337: 4.484186633732348e-06
Position 75: 1.6720449443238258e-06
Position 90: 1.4738788816344592e-06
Position 312: 9.076809934956186e-07
Position 148: 2.468168400948289e-07
Position 229: 1.1418315153282888e-07
Position 310: 9.497993770602849e-08
Position 260: 7.731785361924878e-08
Position 124: 3.3887854658206794e-11
Position 107: 1.7076752963053177e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1977: 0.5259659861837089
Position 300: 0.1683693029917676
Position 391: 0.16254823352118158
Position 97: 0.053036999317033935
Position 1782: 0.04635112176766784
Position 1986: 0.04259094360516652
Position 1879: 0.00948571697978262
Position 1935: 0.009284556234187474
Position 400: 0.006511572509879646
Position 1412: 0.0058239960610051815
Position 1743: 0.004010894786939105
Position 656: 0.0038919224292784443
Position 831: 0.0034041204570771973
Position 710: 0.003149229220332537
Position 797: 0.0027371167370549257
Position 974: 0.002611697341137152
Position 325: 0.0025307318347399877
Position 1914: 0.0021444571308653726
Position 371: 0.0019630357901269735
Position 206: 0.001956520297241905
Position 2041: 0.0017679121271439347
Position 304: 0.001600987220101723
Position 349: 0.001497053073558144
Position 1292: 0.0013530071002856928
Position 411: 0.0013065853596721784
Position 731: 0.0012999993085877222
Position 1061: 0.0008579054986927404
Position 345: 0.0008222737944643041
Position 421: 0.0007701468737303446
Position 2101: 0.0007075829572383044
Position 1058: 0.0006589687803765561
Position 2186: 0.00042188671629472693
Position 662: 0.00037210702286364055
Position 1721: 0.0003300052632783369
Position 237: 0.00029607428704123053
Position 945: 0.00024391172454879946
Position 212: 0.00023669285881520189
Position 190: 0.00023597312907122354
Position 896: 0.00023369352718830038
Position 1204: 0.00015961724464663655
Position 978: 0.00014575888290729072
Position 600: 0.00013406418288692865
Position 1957: 0.00013244334351430887
Position 1265: 0.00010577863556806364
Position 2024: 0.00010249466639795982
Position 2057: 0.00010095420810483566
Position 541: 0.00010087696032344014
Position 2148: 9.23223565434156e-05
Position 2189: 9.194816233816364e-05
Position 224: 8.067214714504664e-05
Position 1174: 6.768349921908627e-05
Position 956: 6.7017131099928e-05
Position 1085: 6.184732577589131e-05
Position 219: 5.682523235927842e-05
Position 496: 5.5696758070447e-05
Position 1097: 5.3263570759865573e-05
Position 653: 4.5651089207360154e-05
Position 200: 3.6985988889758165e-05
Position 245: 3.561933862292649e-05
Position 858: 3.434354874561022e-05
Position 555: 2.603945390154583e-05
Position 117: 1.5312045217446864e-05
Position 137: 5.236774698544829e-06
Position 56: 2.1063363299215253e-06
Position 47: 3.690610370739959e-07
Position 141: 6.509554130240852e-09
Position 161: 6.32545464632829e-09
Position 158: 5.093119796818716e-09
Position 170: 4.227197291307623e-10
Position 176: 4.483057500736206e-11
Position 148: 3.0368751284105305e-11
Position 165: 7.244378990048239e-13
