Gene = vsg
index = 1931
Annotated 5SS: [ 76 300]
Annotated 3SS: [ 181 1422]
SMsplice 5SS: [300]
SMsplice 3SS: [1419]
top_k =  500
Partition function (log Z): -6.327283906161867

Sorted 5' Splice Sites (High to Low Probability):
Position 300: 0.9792134008277273
Position 131: 0.3951537218866014
Position 2388: 0.22422025914026197
Position 2680: 0.1208395650538549
Position 76: 0.1128466753022199
Position 2135: 0.10386182541549771
Position 2585: 0.07758238704267516
Position 1991: 0.03603602443511461
Position 2377: 0.03335526401069583
Position 2609: 0.025406680048509107
Position 72: 0.01240543261959018
Position 2263: 0.010303050977009127
Position 108: 0.007879995498396863
Position 2320: 0.00719925637283767
Position 2633: 0.006248151958781096
Position 681: 0.005518220792355969
Position 456: 0.005286658922477237
Position 2123: 0.004579198944163885
Position 478: 0.004441197434902503
Position 2258: 0.003457828987532894
Position 137: 0.0029640614518940396
Position 1358: 0.002641396920776681
Position 460: 0.001717538235774434
Position 2649: 0.001172817206060607
Position 634: 0.001084980201478553
Position 921: 0.0010553600154474705
Position 111: 0.0009206363872094746
Position 638: 0.0008705267319468184
Position 1291: 0.0007281181735524864
Position 2674: 0.00043953985294718843
Position 412: 0.00042374088733548214
Position 2077: 0.0003485736302371381
Position 1366: 0.00026994088940357947
Position 1347: 0.00023136324536775796
Position 1317: 0.00023039808475914904
Position 162: 0.00020448826945965043
Position 2018: 0.00019604322783720705
Position 1500: 0.0001885886192000181
Position 464: 0.00017778844001333343
Position 770: 0.0001520357775438305
Position 2981: 0.00014696479014049597
Position 1279: 0.0001375993638461266
Position 482: 0.0001306495527879748
Position 1250: 0.00012067324211998872
Position 1986: 7.77576292210822e-05
Position 37: 7.558103800342547e-05
Position 484: 6.257013668269594e-05
Position 24: 5.0869368744818e-05
Position 289: 3.7077475272295794e-05
Position 462: 2.1587473886076513e-05
Position 35: 1.8811139080539342e-05
Position 689: 1.8244061218713455e-05
Position 5: 1.761147242977734e-05
Position 1777: 1.2588924686403393e-05
Position 494: 1.1476706290373878e-05
Position 1045: 1.0192057282412302e-05
Position 962: 9.737055113167744e-06
Position 957: 4.70013604874806e-06
Position 1150: 4.283005717663504e-06
Position 975: 4.152418232773965e-06
Position 1139: 2.0372623296934417e-06
Position 500: 2.0122160781993946e-06
Position 266: 1.8187613113922199e-06
Position 435: 1.7155411108675432e-06
Position 660: 1.5271912755950728e-06
Position 1002: 1.4357800325687702e-06
Position 30: 1.1284019464164773e-06
Position 1095: 7.656859987086265e-07
Position 32: 7.522898623128086e-07
Position 1089: 7.218152791766706e-07
Position 304: 3.8505911038085707e-07
Position 703: 2.5556617964992903e-07
Position 466: 2.1558604235675922e-07
Position 716: 2.1229458104705628e-07
Position 1043: 2.0964934805926096e-07
Position 1054: 1.9729108632013159e-07
Position 486: 1.0048244882851598e-07
Position 439: 1.5283770850057936e-08
Position 468: 1.1574421581353283e-08
Position 204: 8.794949157019675e-09
Position 446: 6.904463943442955e-09
Position 256: 6.035626112379403e-09
Position 213: 3.3534247132058517e-09
Position 488: 2.8011929622246723e-09
Position 198: 2.7920358961860552e-09
Position 416: 2.3775787753324683e-09
Position 418: 2.097812178590653e-09
Position 195: 1.5647549960243e-09
Position 404: 5.154673790843527e-10
Position 574: 3.689834462401851e-10
Position 437: 1.0028178374996244e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1419: 0.5944553687129893
Position 181: 0.5305986565953236
Position 2452: 0.41432959169430095
Position 2765: 0.34683766207439687
Position 1422: 0.21417743756877053
Position 841: 0.042625857405837776
Position 2428: 0.009030348291941463
Position 782: 0.008122991680806062
Position 2238: 0.007958128145116445
Position 2189: 0.004880077467617472
Position 2935: 0.0020034919955445878
Position 2690: 0.001993535591654469
Position 343: 0.0018500525609373441
Position 2460: 0.0018482743223043102
Position 1605: 0.0016599165350362351
Position 3112: 0.0016216098046504153
Position 603: 0.001517171285251782
Position 1386: 0.001309103043424363
Position 2958: 0.0007429797279158476
Position 1366: 0.0007414637411456903
Position 2800: 0.0005280344723820681
Position 1440: 0.0005095891757763384
Position 2363: 0.0004176855173202328
Position 128: 0.0004094584430988177
Position 3186: 0.0003965413341697382
Position 2914: 0.00039141777066640615
Position 1289: 0.00039034170246363164
Position 1206: 0.00025637648840192486
Position 211: 0.00018654501607140805
Position 1845: 0.00017252371507087637
Position 238: 0.0001208874606469713
Position 587: 0.00011844483498642559
Position 724: 0.00011074570656581501
Position 1609: 8.580716700746371e-05
Position 1583: 7.587587536459827e-05
Position 1466: 7.557890638824503e-05
Position 1457: 6.038975547366902e-05
Position 614: 6.003863023625339e-05
Position 2253: 5.714252538202357e-05
Position 1215: 4.050111343508476e-05
Position 921: 3.596836578574947e-05
Position 634: 1.8114209314040485e-05
Position 791: 9.385120258804221e-06
Position 204: 4.382832921976445e-06
Position 1935: 2.508076425801913e-06
Position 1941: 2.3545073586961703e-06
Position 2000: 1.048404863076743e-06
Position 108: 5.561638362047671e-09
Position 296: 2.632117635894447e-09
Position 299: 8.316313164381412e-10
Position 91: 6.847911779313467e-12
Position 80: 3.413584959234574e-15
