Gene = Tehao
index = 1550
Annotated 5SS: [1173]
Annotated 3SS: [2300]
SMsplice 5SS: [1408]
SMsplice 3SS: [1469]
top_k =  500
Partition function (log Z): -13.681641314479508

Sorted 5' Splice Sites (High to Low Probability):
Position 1173: 0.5920911011360852
Position 265: 0.24325857482456673
Position 2701: 0.11373781418548762
Position 779: 0.051611295019162395
Position 2104: 0.039829059087567995
Position 307: 0.03521940122519048
Position 1626: 0.030412719040821382
Position 1484: 0.024626679723529485
Position 739: 0.019027257485249912
Position 2641: 0.01760394652580313
Position 514: 0.015778723368993105
Position 1412: 0.014915601841193511
Position 288: 0.010787395886835603
Position 145: 0.0062152382862688945
Position 3657: 0.005992870568828902
Position 2551: 0.004485915446615105
Position 172: 0.0029057654179014164
Position 1048: 0.0020980135865201663
Position 110: 0.0019239215960046093
Position 1587: 0.0016544595799798671
Position 115: 0.001243859153473716
Position 1577: 0.0009976106314006404
Position 327: 0.0006725205431765079
Position 1286: 0.0006253499123656725
Position 330: 0.0006057005282890043
Position 129: 0.0004948890116100599
Position 262: 0.00044865579622536337
Position 1255: 0.00044746599087702835
Position 919: 0.0003930636825160462
Position 414: 0.00024334498665733599
Position 494: 0.0002045730409614825
Position 941: 0.00020196186195276292
Position 269: 0.00016721482749920005
Position 435: 0.00010982279263776683
Position 1369: 6.959814789161984e-05
Position 1462: 6.627546840177628e-05
Position 1028: 4.329126771994368e-05
Position 668: 4.0641093260854916e-05
Position 394: 4.0204994578158895e-05
Position 37: 3.3974054623596326e-05
Position 1417: 3.285744988253925e-05
Position 978: 3.0955907769731086e-05
Position 475: 2.460767222885137e-05
Position 946: 2.3839890172021835e-05
Position 405: 2.298185232970522e-05
Position 224: 2.2768625425947698e-05
Position 759: 2.1304896628758797e-05
Position 706: 1.7037637857952993e-05
Position 1527: 1.5141779395568256e-05
Position 53: 1.5099187011058746e-05
Position 464: 1.2522395279355432e-05
Position 466: 1.2270676537430413e-05
Position 773: 7.604877821642389e-06
Position 896: 6.375786137058708e-06
Position 836: 5.692604017473411e-06
Position 700: 5.500051107159206e-06
Position 386: 4.573074352692548e-06
Position 218: 3.669511309633427e-06
Position 150: 2.8917933137477943e-06
Position 148: 2.8543850670936957e-06
Position 1177: 2.264676663634808e-06
Position 618: 2.1231693684109784e-06
Position 278: 2.0812207164081075e-06
Position 230: 1.4974228438142619e-06
Position 245: 1.342840716581393e-06
Position 237: 1.0592414990037975e-06
Position 21: 9.309676675523417e-07
Position 363: 2.410560077961642e-08
Position 179: 1.405178600807995e-08
Position 23: 1.1041017608935046e-08
Position 624: 4.516398230261354e-09
Position 637: 2.0645594575047057e-09
Position 596: 1.3102818173267748e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 3694: 0.19590008042084553
Position 363: 0.13826928882097547
Position 1234: 0.13720346961200267
Position 2194: 0.09395854059882626
Position 2300: 0.08160999280716776
Position 3840: 0.04783973022119597
Position 4120: 0.0433893468583801
Position 2221: 0.04304614351490699
Position 2200: 0.03542640227406226
Position 1407: 0.03298901019596596
Position 2838: 0.029894442324044736
Position 1654: 0.02784974337042074
Position 3102: 0.027220104993777975
Position 1863: 0.026622186904331695
Position 1469: 0.026354268495318696
Position 2163: 0.025303900348543313
Position 3438: 0.02418205734688786
Position 3105: 0.021006608122201665
Position 3375: 0.02098489475652339
Position 1747: 0.01860609276047142
Position 567: 0.016550808193332447
Position 1893: 0.01610525635653257
Position 3340: 0.013719859421438906
Position 2937: 0.00851949719891517
Position 4076: 0.007048690222772088
Position 3038: 0.006815257212462256
Position 1527: 0.006563542761555793
Position 819: 0.006206490649341897
Position 4221: 0.00612517382399335
Position 1247: 0.0061011048747843894
Position 1546: 0.005982727481321929
Position 230: 0.00545704885499823
Position 1047: 0.00487856491190195
Position 1299: 0.0037006168165316265
Position 1438: 0.003436574620575234
Position 2349: 0.0030494480324961136
Position 966: 0.002852327980358159
Position 1690: 0.0026854074459031897
Position 2175: 0.002530008480356647
Position 195: 0.0022953571910562173
Position 1286: 0.0022503181903434036
Position 517: 0.00163683209916467
Position 1980: 0.001518691255620152
Position 1734: 0.0011457556355037274
Position 1965: 0.0010950762127369534
Position 1451: 0.0009527741699561425
Position 1906: 0.000921437550150182
Position 601: 0.0008722019949729305
Position 386: 0.0007990251332079402
Position 2046: 0.0007584641226354038
Position 399: 0.0005517531191318187
Position 1267: 0.00033734009089592674
Position 237: 0.00013393474726396611
Position 471: 0.00013161273991359703
Position 978: 5.422385640125407e-05
Position 698: 4.5598176624567876e-05
Position 632: 3.650311170297323e-05
Position 1059: 3.256399952089971e-05
Position 784: 2.341463293100464e-05
Position 941: 2.011440422665893e-05
Position 984: 8.594272547310849e-06
Position 915: 5.87858919413989e-06
Position 944: 4.821570236613938e-06
Position 456: 3.926893550459798e-06
Position 1154: 2.587551875910547e-06
Position 771: 1.3490385997140694e-06
Position 873: 1.0178544594841525e-06
Position 1114: 8.042380679352858e-07
Position 148: 4.5957250422889637e-07
Position 99: 3.2032896231754376e-07
Position 443: 5.0339150360362676e-08
Position 288: 4.753624823936165e-08
Position 435: 3.9309786921515146e-08
Position 115: 2.555525452351691e-08
Position 405: 2.4157864032287718e-08
Position 306: 1.1144818397822827e-08
Position 110: 1.0553391154976734e-08
Position 120: 3.554361228755292e-09
Position 618: 2.33726883359624e-09
Position 255: 8.522505436999962e-10
Position 66: 5.307102729160825e-10
Position 122: 2.578745100817245e-15
