Gene = Lon
index = 1251
Annotated 5SS: [ 456  875 1398 1585 1948 2434 3219 3468]
Annotated 3SS: [ 618  937 1454 1642 2010 2489 3277 3530]
SMsplice 5SS: [ 456  875 1398 1585 1948 2434 3219 3468]
SMsplice 3SS: [ 618  991 1454 1642 2010 2489 3277 3530]
top_k =  500
Partition function (log Z): 22.15747062288864

Sorted 5' Splice Sites (High to Low Probability):
Position 2434: 0.9984981800001042
Position 3219: 0.9974968600430871
Position 1948: 0.9943673549231469
Position 3468: 0.9817521911449859
Position 1585: 0.9723150701828942
Position 1398: 0.9607617246263075
Position 456: 0.9096021828058896
Position 875: 0.905328866710371
Position 4191: 0.046292500021906394
Position 3832: 0.04101693032144682
Position 513: 0.03053481159454781
Position 2679: 0.02714019162854331
Position 1330: 0.014071402441871115
Position 844: 0.011393915428222498
Position 839: 0.01138142488710573
Position 3879: 0.007685459490825867
Position 4209: 0.007657289506047999
Position 2983: 0.00762171681402457
Position 3806: 0.0075870588829334215
Position 563: 0.0068946149206138355
Position 59: 0.0057195278603829535
Position 2581: 0.005614214493197073
Position 3445: 0.0052525217562279115
Position 461: 0.003736830397493911
Position 3472: 0.0036604655908902364
Position 4043: 0.0029898506923180337
Position 3624: 0.00266602485301596
Position 3438: 0.0025182575489444033
Position 847: 0.0021590505901478265
Position 77: 0.002116978837172843
Position 1392: 0.0016758148195956837
Position 270: 0.0016663790468527903
Position 1297: 0.0015552584821682104
Position 1727: 0.0014471011001462033
Position 1100: 0.0013972912409140265
Position 3787: 0.001389934195895454
Position 1865: 0.0012663681677118916
Position 509: 0.0012590075035582866
Position 2620: 0.0011154339812923266
Position 3796: 0.0006294556384172291
Position 788: 0.0005948044326328121
Position 913: 0.0005927156231913658
Position 2438: 0.0005588679226557642
Position 2220: 0.000535845847121121
Position 3602: 0.000513491526750507
Position 2908: 0.0004863093213069703
Position 2355: 0.0004184640970523203
Position 679: 0.0003923390163041596
Position 2711: 0.0003869187599254573
Position 21: 0.00037662173022540385
Position 4047: 0.00035908069274183954
Position 1168: 0.0003457568377598243
Position 2866: 0.00032187228872386373
Position 88: 0.000302635819178609
Position 2824: 0.00030089477699330407
Position 1515: 0.0002869302679564207
Position 3616: 0.0002852009208574106
Position 2744: 0.0002766799519239
Position 2854: 0.00025548629943083486
Position 2417: 0.00024412022167958527
Position 3957: 0.0002437413513339348
Position 3163: 0.0002127549341179425
Position 450: 0.0001823942261798278
Position 619: 0.00017827809207199055
Position 1935: 0.0001775317476721463
Position 3442: 0.0001684631164152662
Position 2142: 0.00016749679061040863
Position 805: 0.00016546322176961374
Position 1889: 0.00016399035450265597
Position 830: 0.00015413684595294184
Position 3733: 0.00013661110342537473
Position 170: 0.00012328794600595776
Position 1942: 0.0001194657967657484
Position 4033: 8.857254032846058e-05
Position 2162: 7.527925067025927e-05
Position 1243: 7.471929304142872e-05
Position 2881: 6.62638887968996e-05
Position 937: 6.566052393782911e-05
Position 3411: 6.207229944163723e-05
Position 1628: 6.061664438634134e-05
Position 3675: 6.017227123361016e-05
Position 2967: 5.12739304448393e-05
Position 924: 4.9586792920492987e-05
Position 401: 4.890136574254835e-05
Position 2402: 4.54138476697267e-05
Position 4055: 4.479177222944037e-05
Position 1929: 4.434429365408222e-05
Position 658: 4.171668257101566e-05
Position 1739: 3.869232932168067e-05
Position 3429: 3.5045857289833694e-05
Position 1229: 3.4950700236537234e-05
Position 821: 3.302464162864445e-05
Position 856: 3.1848742535227455e-05
Position 2012: 3.054753047216089e-05
Position 1833: 3.0126132702504973e-05
Position 2222: 2.8816934357995495e-05
Position 2715: 2.778517452134802e-05
Position 384: 2.7088258284816873e-05
Position 6: 2.6360956073487623e-05
Position 138: 2.6313273611416842e-05
Position 1840: 2.6176190086759265e-05
Position 3304: 2.393746918539453e-05
Position 1288: 2.230388251508193e-05
Position 2987: 2.0959151917433322e-05
Position 119: 1.782979833952133e-05
Position 1952: 1.779473977126342e-05
Position 375: 1.7570740814170617e-05
Position 811: 1.6116431154073943e-05
Position 1082: 1.6059026037469042e-05
Position 1282: 1.5616737257093483e-05
Position 915: 1.4546887602217504e-05
Position 3223: 1.2798707017213284e-05
Position 2878: 1.124132120543429e-05
Position 230: 1.1066333932186399e-05
Position 824: 9.686372895514305e-06
Position 808: 9.17033622542401e-06
Position 1213: 6.499383425196026e-06
Position 546: 5.714913316411694e-06
Position 3381: 5.580940067587014e-06
Position 1402: 5.48829082342365e-06
Position 2575: 5.33678317368892e-06
Position 1784: 5.283038666139711e-06
Position 544: 5.189922007462294e-06
Position 685: 5.171917819026545e-06
Position 2245: 4.601307157385974e-06
Position 396: 3.891759517853053e-06
Position 2520: 3.5748752809320636e-06
Position 2200: 3.5658187735596364e-06
Position 174: 3.3538279945511276e-06
Position 1868: 2.793757240846177e-06
Position 3546: 2.6368753556988074e-06
Position 2596: 2.5767682968505717e-06
Position 3665: 2.5766829492624745e-06
Position 3020: 2.0644073542099188e-06
Position 3758: 2.0088329806284996e-06
Position 3502: 1.8129832449916226e-06
Position 3023: 1.7682261289316706e-06
Position 3141: 1.7173571989256234e-06
Position 2339: 1.6535713816033596e-06
Position 2464: 1.609034664353255e-06
Position 3204: 1.4949118998377757e-06
Position 176: 1.4051362043631327e-06
Position 2288: 1.2830161489102633e-06
Position 404: 1.2285893753098837e-06
Position 1492: 1.180796423503308e-06
Position 338: 1.1763013829950888e-06
Position 3498: 1.1344955521792341e-06
Position 1460: 1.1071750924296242e-06
Position 202: 9.991781062607295e-07
Position 3053: 9.603664690736205e-07
Position 369: 7.827238417655928e-07
Position 99: 7.434480856660857e-07
Position 1777: 3.7505059724362034e-07
Position 2989: 3.7015855712616337e-07
Position 2804: 3.3432929548651104e-07
Position 2999: 2.721132877140784e-07
Position 3538: 2.672993246667401e-07
Position 3862: 1.8475692525397003e-07
Position 3890: 1.7319353792983695e-07
Position 3840: 1.40566651731417e-07
Position 233: 1.280975721253924e-07
Position 167: 1.274612311744614e-07
Position 3798: 1.108779273453282e-07
Position 3535: 5.619907912772699e-08
Position 154: 5.317422020055779e-08
Position 3541: 4.46313171429001e-08
Position 3553: 3.8433224621770646e-08
Position 2673: 2.88002235955066e-08
Position 190: 2.2182836735160877e-08
Position 650: 6.2622645386725515e-09
Position 2272: 4.602752631892508e-09
Position 2368: 2.7616490419405625e-09
Position 386: 2.4045639390878055e-09
Position 2286: 6.233080546249459e-10
Position 2306: 5.957098778090878e-10
Position 3357: 3.9332827772774035e-10
Position 1687: 2.737917060755889e-10
Position 609: 2.5581898683287515e-10
Position 3294: 2.2492847546118343e-10
Position 3699: 9.946653790295345e-11
Position 2166: 5.102655164734562e-11
Position 3328: 2.3869320370515954e-11
Position 3362: 1.9343047641293308e-11
Position 3567: 1.258691330039677e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 2489: 0.9973198431261607
Position 3277: 0.9929323627750354
Position 2010: 0.9910593243272073
Position 1642: 0.9862025870895087
Position 1454: 0.9604690341386043
Position 3530: 0.9348025992306096
Position 618: 0.7899301586062925
Position 991: 0.5751234937759927
Position 937: 0.37627077485442584
Position 3612: 0.037782475492779945
Position 682: 0.03514406254457428
Position 563: 0.03246442035130362
Position 4256: 0.03145850417938527
Position 3940: 0.02230017113512707
Position 3906: 0.02123568098301621
Position 509: 0.019206829985018912
Position 2804: 0.018955352564636627
Position 4292: 0.01847354821083387
Position 772: 0.015368985744890597
Position 4092: 0.011585946274609907
Position 1397: 0.011349025947576998
Position 3910: 0.009519294870347743
Position 123: 0.007846286887232072
Position 2954: 0.007293554588352553
Position 3050: 0.007288873179913891
Position 696: 0.007264572010126306
Position 838: 0.006004368429642377
Position 3927: 0.005739687932838513
Position 3303: 0.005675420592578006
Position 3956: 0.004258738513801581
Position 4262: 0.0035853789601235815
Position 2648: 0.0031698815612908526
Position 2064: 0.0030827306305598206
Position 997: 0.0029008637452612764
Position 2959: 0.0025956896534932664
Position 1201: 0.0024355823330641097
Position 3831: 0.0023110144840477764
Position 3541: 0.00230794162949909
Position 544: 0.0022831759919814086
Position 3951: 0.002030298323801654
Position 1684: 0.0019656909771042863
Position 658: 0.001756913289281948
Position 348: 0.0014291272529168167
Position 3879: 0.0013621491558254023
Position 2188: 0.001176587713646836
Position 1040: 0.0011014755220920907
Position 532: 0.0010835199071810209
Position 2499: 0.001082505955235189
Position 663: 0.0010696036157059232
Position 2286: 0.001028954871807951
Position 4120: 0.0009846048217011043
Position 1137: 0.0009785870573843435
Position 1470: 0.000975426266670241
Position 513: 0.0008983309277716033
Position 1777: 0.0008297628835507185
Position 1525: 0.0007531906611718737
Position 3351: 0.0007529737705041754
Position 1079: 0.000747943568255497
Position 2731: 0.0007425684429389706
Position 3578: 0.0006695398883578859
Position 1004: 0.000644818781947379
Position 1771: 0.0006390953740828581
Position 3066: 0.0006239650985724313
Position 2692: 0.0006124705318188576
Position 1288: 0.0005971839388133835
Position 3849: 0.0005808242264119176
Position 2992: 0.0005320141864494734
Position 1262: 0.0004094208975672622
Position 1051: 0.00038325104353499563
Position 1649: 0.00038128976489815706
Position 4237: 0.0003588902477337765
Position 77: 0.0003079242539264314
Position 1015: 0.0002959174318281003
Position 2524: 0.0002750201443548745
Position 3856: 0.00026759047333216546
Position 3978: 0.0002527696004620541
Position 2697: 0.00023218483509585748
Position 4067: 0.00023030365147626755
Position 4005: 0.00022874033319410033
Position 3211: 0.000218564092798012
Position 780: 0.00020506945042947974
Position 4303: 0.00020198852460301002
Position 200: 0.00019887062017227692
Position 3582: 0.00019336219659520342
Position 2166: 0.00019011902355124975
Position 2150: 0.0001821653756427285
Position 4313: 0.00017336909477087288
Position 2865: 0.00016905438842023955
Position 1162: 0.00015160290024000402
Position 2089: 0.0001460619064232328
Position 843: 0.00013990028897073163
Position 2715: 0.00013536727198446135
Position 2760: 0.00012997048067906248
Position 1467: 0.00012048134954788661
Position 3079: 0.00011361868014485937
Position 3960: 0.00010944486775481663
Position 2544: 0.00010212288841287164
Position 1059: 9.974227356005018e-05
Position 795: 9.921832877031376e-05
Position 4319: 9.591460852463954e-05
Position 1796: 9.526503867598295e-05
Position 245: 9.510961927418095e-05
Position 1168: 9.049685137491566e-05
Position 517: 8.934774947515285e-05
Position 1204: 8.689946973591741e-05
Position 174: 7.707392803563633e-05
Position 2739: 7.073564741837842e-05
Position 774: 5.8428761141930655e-05
Position 712: 5.683537229362484e-05
Position 1082: 5.4310206189702756e-05
Position 2614: 5.164186601304908e-05
Position 1191: 4.219908062416507e-05
Position 910: 4.054560656148401e-05
Position 1347: 4.011542719529586e-05
