Gene = Rab3-GAP
index = 1403
Annotated 5SS: [ 104  469 2316 2598 2787 3972 4355]
Annotated 3SS: [ 158  521 2380 2658 2845 4156 4417]
SMsplice 5SS: [ 104  469 2316 2598 2787 3972 4355]
SMsplice 3SS: [ 158  521 2380 2658 2845 4156 4417]
top_k =  500
Partition function (log Z): 11.646518421209649

Sorted 5' Splice Sites (High to Low Probability):
Position 2787: 0.9991151332922399
Position 2598: 0.9923656466770583
Position 3972: 0.9869252808626994
Position 4355: 0.9756688732972272
Position 469: 0.8810180564502492
Position 104: 0.7945459946797494
Position 2316: 0.6569143927837556
Position 3139: 0.3906887511420749
Position 3472: 0.2927265160122809
Position 3128: 0.16774439208559122
Position 959: 0.08687703532111825
Position 4597: 0.06941637696392496
Position 2922: 0.05274298396024949
Position 4574: 0.03553703267303037
Position 1726: 0.034333112075541114
Position 735: 0.02989903079012691
Position 1472: 0.024239139644480566
Position 683: 0.02374721893494328
Position 2992: 0.020470767604916923
Position 449: 0.014825316568542387
Position 4076: 0.014289860699217626
Position 2164: 0.01055700434335192
Position 2041: 0.010384681129252062
Position 1387: 0.006212411026450576
Position 4621: 0.0054443507574418425
Position 1780: 0.005095829758291529
Position 698: 0.004917355452824335
Position 169: 0.004829029466594672
Position 4564: 0.004578097843595387
Position 2565: 0.00392674246305875
Position 695: 0.003220471623199828
Position 3417: 0.003011780945939003
Position 976: 0.002882366810518672
Position 938: 0.0028318317616202178
Position 3045: 0.002818109201256966
Position 856: 0.0027542424619086533
Position 1194: 0.0027499680824962145
Position 3126: 0.002675712479134318
Position 298: 0.002640583556716514
Position 4578: 0.002390906772706152
Position 1719: 0.0020969852088288912
Position 3074: 0.0019452047646210946
Position 2963: 0.0018000753902108811
Position 3026: 0.00177726236080167
Position 886: 0.0016375647178576535
Position 1484: 0.0016302997892277125
Position 3640: 0.0013505060359478413
Position 964: 0.0013321731907367726
Position 1189: 0.001296743218435581
Position 2997: 0.0012854013430535411
Position 2553: 0.0009983640897986861
Position 447: 0.0009789209523705777
Position 3319: 0.0009464719096648979
Position 3980: 0.0008965743073661856
Position 2201: 0.0005985340159236604
Position 702: 0.0005537041230986853
Position 2521: 0.0005526901794625464
Position 3242: 0.0004607678438731969
Position 4072: 0.00045058597686034336
Position 673: 0.0004324598581672413
Position 40: 0.00041371830584721245
Position 4679: 0.00037434218345277977
Position 3304: 0.00034250091234200623
Position 131: 0.0002823865316434002
Position 3477: 0.0002686101746308446
Position 1983: 0.0002451272713761667
Position 473: 0.00020567470894603868
Position 721: 0.0001969368399693969
Position 3942: 0.00018961716051470577
Position 62: 0.0001600859785896704
Position 4729: 0.00014097682022012726
Position 718: 0.00010342615484830856
Position 228: 8.929228239761607e-05
Position 2602: 8.441064149259288e-05
Position 741: 8.399831185888131e-05
Position 425: 7.334614926413511e-05
Position 3934: 4.528281225128226e-05
Position 76: 3.247193841277837e-05
Position 118: 3.2435262136519296e-05
Position 3226: 1.9995323589344475e-05
Position 2499: 1.96535982497626e-05
Position 2974: 1.7904513717017506e-05
Position 3881: 1.7115465946249413e-05
Position 3184: 1.6013586904962093e-05
Position 4697: 1.5314191628630423e-05
Position 4263: 1.3583858695041884e-05
Position 3249: 1.1868756108331013e-05
Position 287: 1.1653839864370113e-05
Position 3254: 8.325164093350582e-06
Position 4180: 6.4642871958820445e-06
Position 153: 6.227510883741445e-06
Position 488: 5.5291297921358385e-06
Position 2791: 5.373365237285778e-06
Position 4330: 5.294607914761289e-06
Position 2446: 4.963075741985343e-06
Position 329: 3.3312304537228603e-06
Position 2767: 2.99974263893912e-06
Position 4319: 2.9164199824647064e-06
Position 2486: 2.747928708008921e-06
Position 235: 2.5666354525259642e-06
Position 9: 1.788915687179899e-06
Position 7: 1.724918508353066e-06
Position 842: 1.5132752732457818e-06
Position 2845: 1.030849918865751e-06
Position 2929: 1.0014527345178286e-06
Position 4359: 9.635974534535827e-07
Position 404: 8.638998905925632e-07
Position 2730: 6.825899895788042e-07
Position 836: 5.749598075867149e-07
Position 412: 2.1047476453542962e-07
Position 4300: 1.6009466053524e-07
Position 476: 1.3227989508306742e-07
Position 538: 6.473170295215481e-08
Position 2871: 6.213124014478922e-08
Position 398: 3.543996849232298e-08
Position 4534: 2.45118639698255e-08
Position 2708: 1.748241725404282e-08
Position 558: 8.127556092932972e-09
Position 3078: 5.4665957181556115e-09
Position 2908: 4.949415527693508e-09
Position 618: 9.66620670288632e-10
Position 2943: 8.612059328714234e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 4156: 0.9815612921987859
Position 2380: 0.967220886341548
Position 2845: 0.9658674626014323
Position 2658: 0.91394922766771
Position 4417: 0.8585415550163721
Position 521: 0.7023576064293736
Position 3202: 0.540743598079236
Position 158: 0.5366142475323694
Position 3689: 0.20783778300111583
Position 226: 0.12506265770004119
Position 3792: 0.12416602502895518
Position 1030: 0.11643204120663128
Position 4420: 0.1014658555087226
Position 2682: 0.08488310347887286
Position 249: 0.06828250651228382
Position 4777: 0.050129737122922374
Position 3392: 0.0367675130424979
Position 795: 0.03407014409776895
Position 4659: 0.023583692808409006
Position 4038: 0.019052349855611994
Position 4732: 0.01773974577383139
Position 4783: 0.0167126761407471
Position 1535: 0.015135569052797363
Position 3596: 0.013376708121116396
Position 3515: 0.012457174188916089
Position 3812: 0.01187018292229734
Position 2114: 0.011432538316732282
Position 2426: 0.010007638867079782
Position 4729: 0.008499911326990113
Position 336: 0.008296903745732774
Position 4806: 0.006428686238608867
