Gene = crim
index = 1658
Annotated 5SS: [166 379]
Annotated 3SS: [237 434]
SMsplice 5SS: [166 379]
SMsplice 3SS: [237 434]
top_k =  500
Partition function (log Z): 0.48355147959363126

Sorted 5' Splice Sites (High to Low Probability):
Position 166: 0.9905629902326263
Position 379: 0.9901327074014102
Position 173: 0.004866482145684621
Position 668: 0.003602738814701399
Position 360: 0.002429309133049411
Position 30: 0.0013166932842524153
Position 675: 0.0009048911608485176
Position 53: 0.0005461500430450359
Position 661: 0.0002374667311772521
Position 48: 6.628386836863167e-05
Position 59: 5.2836314512505815e-05
Position 551: 3.974222761252938e-05
Position 578: 2.9258991776123643e-05
Position 10: 2.8895812776778034e-05
Position 68: 2.7617951552673624e-05
Position 51: 1.9974668430694437e-05
Position 61: 1.4485933035486957e-05
Position 585: 7.600671445802889e-06
Position 731: 7.203736251786718e-06
Position 612: 1.938496586501585e-06
Position 207: 1.8747553789076993e-06
Position 726: 1.51466720866244e-06
Position 453: 1.4668049540751863e-06
Position 739: 1.1353406272215263e-06
Position 354: 7.061090681657444e-07
Position 607: 8.198225248619049e-08
Position 293: 7.735287601523142e-08
Position 396: 4.687425307009572e-08
Position 513: 4.187559797551497e-08
Position 516: 3.942072278210075e-08
Position 251: 2.5718095616354796e-08
Position 211: 1.015898231693465e-08
Position 774: 8.535888540105791e-09
Position 198: 6.868283060888317e-09
Position 283: 1.1933277938424447e-10
Position 230: 4.6250671504136755e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 237: 0.9953430537330256
Position 434: 0.9776321704425859
Position 438: 0.010947645344247152
Position 731: 0.005105657618583518
Position 135: 0.0015337593580573208
Position 509: 0.0014846005937449913
Position 465: 0.0010167701107435994
Position 485: 0.0005293770728638576
Position 83: 0.0005188524065134353
Position 568: 0.0002877652113572237
Position 712: 0.00020179154070411033
Position 819: 0.0001619092016324536
Position 293: 4.2107630218081235e-05
Position 542: 2.7241025372229893e-05
Position 312: 2.0222629123043473e-05
Position 538: 1.8720833570019993e-05
Position 571: 1.8251510244564057e-05
Position 739: 6.259045769808071e-06
Position 726: 3.149336977056951e-06
Position 648: 1.3802507546161892e-06
Position 826: 1.252781433497577e-06
Position 150: 9.965081107986671e-08
Position 290: 9.95238363984582e-08
Position 198: 7.710086280584846e-08
Position 359: 6.36631995636936e-08
Position 474: 2.3693337771540432e-08
Position 170: 1.8455469421371503e-09
Position 173: 7.97399009174678e-10
Position 368: 1.6210950581176105e-10
Position 164: 1.3407401915291598e-10
Position 326: 2.0909114642924772e-13
Position 405: 6.832278092954849e-15
Position 383: 1.651261233756812e-17
