Gene = QIL1
index = 1397
Annotated 5SS: [192]
Annotated 3SS: [253]
SMsplice 5SS: [192]
SMsplice 3SS: [253]
top_k =  500
Partition function (log Z): 0.15330091338882101

Sorted 5' Splice Sites (High to Low Probability):
Position 192: 0.9993667350450027
Position 608: 0.0016990494130670595
Position 306: 0.0010687643731478703
Position 586: 0.0002346183025995879
Position 184: 0.00023063331108138415
Position 200: 0.00021851793309473345
Position 660: 0.00019298024970449825
Position 196: 0.0001727083227810555
Position 474: 0.00015325461019179333
Position 411: 9.852489521168807e-05
Position 490: 8.546012574726783e-05
Position 359: 7.781426605901656e-05
Position 537: 5.6918175097507294e-05
Position 649: 4.9748541183948185e-05
Position 60: 4.3031313977400735e-05
Position 598: 1.982005339078657e-05
Position 116: 1.469800836203799e-05
Position 344: 8.101453696811908e-06
Position 38: 7.418679124431479e-06
Position 748: 6.066494836843193e-06
Position 647: 3.864412096466458e-06
Position 419: 2.4837528639107756e-06
Position 593: 1.053122906730501e-06
Position 29: 8.311291770580276e-07
Position 684: 3.940683804835853e-07
Position 548: 2.2627410506753745e-07
Position 261: 2.2419670476034444e-07
Position 271: 2.1156603489131876e-07
Position 147: 2.0036692288145938e-07
Position 223: 1.9339494802651702e-07
Position 276: 9.328586163424221e-08
Position 641: 8.850847566801025e-08
Position 378: 8.324055822067823e-08
Position 681: 2.008135672630058e-08
Position 739: 9.13829625611939e-09
Position 288: 1.5900913076757827e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 253: 0.9958864820638561
Position 261: 0.004055410841121717
Position 717: 0.00144696057138805
Position 573: 0.0005595136792039581
Position 519: 0.0005117583561974848
Position 660: 0.0002939855108398159
Position 664: 0.00016602713621562725
Position 637: 0.00015403639012881437
Position 383: 0.00014587668562265462
Position 806: 0.00012719790675818114
Position 419: 9.764591262909672e-05
Position 653: 9.244994744676191e-05
Position 386: 6.158522215482211e-05
Position 305: 4.2919330348104076e-05
Position 783: 3.670943045808845e-05
Position 554: 2.4115454643222933e-05
Position 190: 2.1745646950076484e-05
Position 106: 2.0349385654847725e-05
Position 359: 1.7698174733714743e-05
Position 133: 1.273090710660426e-05
Position 778: 8.875207367756408e-06
Position 734: 8.565296991610343e-06
Position 523: 7.594520392321408e-06
Position 365: 6.088298133583792e-06
Position 470: 1.6104415960055893e-06
Position 455: 1.5458086130426992e-06
Position 332: 1.4553827205381491e-06
Position 479: 9.596696642886885e-07
Position 814: 7.359712952483489e-07
Position 533: 6.195818788306296e-07
Position 143: 4.408425384969122e-07
Position 725: 2.9082630443223144e-07
Position 536: 2.101034824121334e-07
Position 398: 2.007136402483468e-07
Position 411: 1.6874344673977242e-07
Position 437: 1.3659842747160458e-07
Position 395: 1.0328781535263307e-07
Position 542: 3.849530254238344e-08
Position 72: 1.8173789880043854e-09
Position 341: 6.852911354090353e-11
Position 392: 3.5582390852655434e-11
Position 227: 3.5160328008879403e-13
Position 216: 1.3285657644667262e-13
Position 196: 1.2560010082689361e-14
Position 321: 3.0016222317958496e-16
