Gene = Dh31
index = 1132
Annotated 5SS: [   53   211 13102 13879]
Annotated 3SS: [  138 12992 13752 14042]
SMsplice 5SS: [  211 13099 13879]
SMsplice 3SS: [12992 13752 14042]
top_k =  500
Partition function (log Z): -0.5763069837747041

Sorted 5' Splice Sites (High to Low Probability):
Position 211: 0.9971624579020117
Position 13879: 0.9960499893250782
Position 13099: 0.846866428151929
Position 2204: 0.12340388774284528
Position 1600: 0.09922317998991863
Position 3334: 0.05930533578053474
Position 1035: 0.0491473368325895
Position 8190: 0.03339804215765894
Position 44: 0.03212390094259547
Position 8170: 0.024113372475960314
Position 13664: 0.019852920749738344
Position 53: 0.01910790236858952
Position 14554: 0.013636419154443668
Position 13480: 0.01304265328263395
Position 10031: 0.011067371423495636
Position 12255: 0.00950739217297301
Position 1737: 0.007913320713617217
Position 9158: 0.007834688034063933
Position 74: 0.0068576700073001585
Position 3046: 0.006395497028848774
Position 7559: 0.005688714407073917
Position 14229: 0.005506904753227289
Position 14608: 0.005115171776833555
Position 4228: 0.0042606537519334995
Position 14303: 0.002174972199870285
Position 9446: 0.0019020897624808656
Position 13978: 0.0018866873110841768
Position 6783: 0.0018288453561822998
Position 14641: 0.0016805061462045483
Position 14216: 0.001455104930216742
Position 38: 0.0014384360235977602
Position 13883: 0.0013862199011943676
Position 1239: 0.0010783720329247482
Position 14210: 0.0010045871415833587
Position 572: 0.0009462050808975775
Position 14317: 0.00092398903416344
Position 1741: 0.0006766746133489486
Position 1234: 0.0006270435127304043
Position 13973: 0.0004534214130385346
Position 710: 0.0004331091519211678
Position 28: 0.00042113964959988024
Position 498: 0.0003621691853071996
Position 565: 0.0003588244854165334
Position 23: 0.00014257977892772976
Position 373: 0.00014229728394557945
Position 14443: 0.00010503192254568144
Position 925: 9.492929211191349e-05
Position 14173: 8.64247709382965e-05
Position 1700: 8.517592470635746e-05
Position 14147: 5.764502066843111e-05
Position 6: 5.04935468832688e-05
Position 733: 4.1754957398772146e-05
Position 2273: 3.9080903422808065e-05
Position 289: 2.7216572420100647e-05
Position 612: 2.5573687775136133e-05
Position 188: 2.4492343697786044e-05
Position 352: 1.8593636286712565e-05
Position 770: 1.6915315221485463e-05
Position 268: 1.6802562343497193e-05
Position 1435: 1.27064236558706e-05
Position 12: 1.175663406448078e-05
Position 215: 1.1047538295851782e-05
Position 1179: 1.0568997493423362e-05
Position 1442: 9.405693447229975e-06
Position 686: 8.88884717316231e-06
Position 675: 7.888158682076878e-06
Position 912: 5.814797173101587e-06
Position 1027: 4.72834394807127e-06
Position 890: 3.4022204393650305e-06
Position 186: 3.1363901262257086e-06
Position 201: 2.688110049300964e-06
Position 14295: 2.4921104845250932e-06
Position 629: 2.4425391499615966e-06
Position 14307: 1.4833611479143266e-06
Position 14451: 1.0497015901686616e-06
Position 109: 5.644591914693742e-07
Position 555: 3.212463502231232e-07
Position 238: 2.885351966825018e-07
Position 191: 2.7605906478619797e-07
Position 14182: 2.59715960871589e-07
Position 14087: 2.3073521769253244e-07
Position 621: 2.1076374037019334e-07
Position 758: 1.9380416811890128e-07
Position 13514: 1.1225213771627577e-07
Position 325: 2.5450577017264687e-08
Position 193: 1.825526460100507e-08
Position 13105: 1.344281644204245e-08
Position 122: 2.0700018084529134e-09
Position 130: 1.9222952155835136e-09
Position 389: 1.8151112246778503e-09
Position 138: 1.5010094075560753e-09
Position 128: 1.1324949584062205e-09
Position 307: 2.809195508620924e-10
Position 406: 2.4697971591797346e-11
Position 99: 8.845039488742159e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 14042: 0.9949740788489823
Position 12992: 0.9386998421147619
Position 13752: 0.834712341482834
Position 2044: 0.0814584253566948
Position 864: 0.07979105813804065
Position 138: 0.059634667541856846
Position 13412: 0.04549490608990621
Position 7674: 0.040888728385920295
Position 1301: 0.029346723202861618
Position 3194: 0.029186701059344296
Position 13766: 0.020899387012215657
Position 1870: 0.020075758928707554
Position 829: 0.018646688183376704
Position 438: 0.011495779554518545
Position 13390: 0.010724165309511154
Position 12060: 0.010274303487362826
Position 549: 0.010128640005789748
Position 9775: 0.009766658834705627
Position 12945: 0.009602517497531491
Position 3231: 0.007825137152506852
Position 8717: 0.007790293953215132
Position 8095: 0.007521945124372089
Position 756: 0.007267002277976263
Position 14679: 0.0072140426512930424
Position 13209: 0.007182770299347482
Position 3257: 0.006627005604858559
Position 14606: 0.006094840576469396
Position 13141: 0.005440550599898846
Position 1508: 0.005070798173366904
Position 14380: 0.004859324829272584
Position 1166: 0.004623987541446755
Position 14406: 0.004373068798166927
Position 6764: 0.004155785253915693
Position 14790: 0.004136906522864616
Position 406: 0.004105368553388683
Position 2894: 0.003907952863070144
Position 3188: 0.0038411948387876292
Position 7898: 0.0038271612988320636
Position 7509: 0.00328116948784108
Position 12867: 0.0031614346678922817
Position 2549: 0.0030363773568480917
Position 4033: 0.0030110899517089736
Position 1683: 0.002790116604448497
Position 13943: 0.0027744221932229952
Position 14276: 0.0026841606244310218
Position 14640: 0.0025826979805562093
Position 6521: 0.002481580052551605
Position 629: 0.0024193078785244523
Position 1794: 0.0017493788300696053
Position 1936: 0.0017341563236682798
Position 7844: 0.0016577640262145246
Position 8691: 0.0016017115751894165
Position 3254: 0.001562868228172388
Position 14503: 0.0015021745127035873
Position 2696: 0.0012370802735391102
Position 1234: 0.0011310030206246773
Position 1199: 0.0010573845495201188
Position 2618: 0.0010554664221664404
Position 13178: 0.0010528448695081667
Position 9114: 0.0010521190578317548
Position 4004: 0.0010329856119422874
Position 352: 0.0009699686767170036
Position 7177: 0.0008900163138097843
Position 898: 0.0008388337650679305
Position 1353: 0.0006313026524743536
Position 2553: 0.0005928391445974502
Position 2180: 0.0005146136476323523
Position 1889: 0.0004997651451159812
Position 2333: 0.00047306032191946204
Position 7905: 0.0004626944766497174
Position 6637: 0.00043560971101340624
Position 13973: 0.0004325908449390923
Position 3140: 0.0004032031854851209
Position 14094: 0.0002980509330642256
Position 1239: 0.0002977483659942491
Position 14738: 0.00028942772095014884
Position 3167: 0.00027134569088868506
Position 14841: 0.00025804975599455385
Position 14125: 0.0002550966435910031
Position 729: 0.0002522448466662811
Position 1455: 0.0002332413395441139
Position 13989: 0.0002266778084556686
Position 373: 0.00022667046403077295
Position 14097: 0.00022334947031246808
Position 4063: 0.00021657818828223817
Position 3080: 0.0001663934691761269
Position 14612: 0.00013159816910990546
Position 13970: 0.00010465661844354367
Position 2810: 9.55898791353416e-05
Position 325: 5.342450350372953e-05
Position 555: 4.7709762314505615e-05
Position 678: 4.132280907815235e-05
Position 1269: 3.9575291020385754e-05
Position 14463: 3.879191497834895e-05
Position 2777: 3.8591965527737945e-05
Position 1412: 3.528773910847554e-05
Position 12023: 3.321804186219112e-05
Position 564: 3.23579635506852e-05
Position 1838: 3.145102488470234e-05
Position 14514: 2.9410272126573253e-05
Position 1574: 2.413239528690664e-05
Position 911: 2.0425662296737e-05
Position 14430: 1.9974712255275415e-05
Position 7635: 1.9898956808571827e-05
Position 1179: 1.867672215649467e-05
Position 1003: 1.701982545820363e-05
Position 14964: 1.532637866954423e-05
Position 1618: 1.3253675770075096e-05
Position 1532: 1.3209363378299125e-05
Position 660: 1.2981827015226046e-05
Position 294: 1.2907894173532811e-05
Position 698: 1.1659400884038924e-05
Position 1304: 9.938545820056506e-06
Position 1491: 9.024922163307567e-06
Position 289: 7.3570562876447706e-06
Position 471: 7.2481255168058035e-06
Position 1749: 7.074430464642347e-06
Position 1067: 5.770680746002308e-06
Position 1334: 4.522875921555454e-06
Position 1519: 4.121112275773892e-06
Position 1313: 3.9131117758908685e-06
Position 74: 2.0290114989482254e-06
Position 874: 1.3396696008400713e-06
Position 1397: 1.2728205794897194e-06
Position 939: 1.2694288857045306e-06
Position 14382: 1.0972443708201207e-06
Position 238: 5.907497428462719e-07
Position 2184: 5.773059623928519e-07
Position 94: 4.6614576470309443e-07
Position 664: 4.014013822691753e-07
Position 58: 3.0458640680102454e-07
Position 1423: 2.661694716151497e-07
Position 1582: 2.1330180099972215e-07
Position 180: 1.2840829901222916e-07
Position 733: 5.4996757243923894e-08
Position 209: 2.9035096904244122e-08
Position 186: 1.7633720554648754e-10
Position 223: 5.919018324244717e-12
Position 215: 1.7673437886636129e-12
