Gene = NUCB1
index = 1307
Annotated 5SS: [388]
Annotated 3SS: [2726]
SMsplice 5SS: [388]
SMsplice 3SS: [2726]
top_k =  500
Partition function (log Z): -4.636955984224408

Sorted 5' Splice Sites (High to Low Probability):
Position 388: 0.9890764032896253
Position 2601: 0.21646835883415746
Position 1418: 0.027523830403273834
Position 350: 0.00799809288755769
Position 2415: 0.007237152436568602
Position 2001: 0.007219742617542013
Position 592: 0.007182838545248395
Position 1585: 0.0057089137962744296
Position 1308: 0.00534159595341529
Position 2646: 0.0045537901386379954
Position 1960: 0.004196266135701971
Position 1883: 0.003841736219087752
Position 1855: 0.0037298004708992607
Position 613: 0.003575843674961778
Position 1189: 0.0035390894089025694
Position 644: 0.003503126354006585
Position 1332: 0.0032125559308003888
Position 392: 0.0027526547021118185
Position 2212: 0.002635876018345083
Position 2498: 0.002209658389968436
Position 2877: 0.001957506950740015
Position 606: 0.0019182467417896004
Position 11: 0.0019170886742969331
Position 1255: 0.0018935780882983354
Position 686: 0.0018817664578123455
Position 2511: 0.001504214125359084
Position 1392: 0.0013258290366289515
Position 641: 0.0011872822441026162
Position 3792: 0.0011195935087489478
Position 756: 0.0009791252318616214
Position 4253: 0.0009182762978172
Position 650: 0.0007613196935951386
Position 2515: 0.0007458069566268742
Position 3352: 0.0007162595977961678
Position 4337: 0.0006174301426676016
Position 36: 0.0005550289359275581
Position 2389: 0.000539656493013373
Position 1515: 0.0005083601261998786
Position 631: 0.00040056287839873193
Position 148: 0.0003626882786042557
Position 16: 0.0003570704991179548
Position 1055: 0.00029218365146632186
Position 4137: 0.00028229337374730565
Position 1880: 0.0002500767843582974
Position 1663: 0.00023247575662611351
Position 534: 0.00022948393733178153
Position 1604: 0.000182801872945591
Position 109: 0.00018052686843039414
Position 2015: 0.00015585566671579576
Position 531: 0.00014759108130301
Position 3423: 0.0001390928308596732
Position 3749: 0.00013362329931720216
Position 2085: 0.00011411018351051676
Position 1167: 0.00010281355944498116
Position 1249: 0.00010149401790284186
Position 1401: 9.600208740193749e-05
Position 316: 9.508395511476175e-05
Position 639: 8.939180771359039e-05
Position 2017: 8.771152673726339e-05
Position 1690: 8.326159554189216e-05
Position 1888: 6.842947108326778e-05
Position 1790: 6.777011702454253e-05
Position 6: 5.9668212155052564e-05
Position 1113: 5.691281037472019e-05
Position 3002: 5.14577156866121e-05
Position 1746: 4.537017710030857e-05
