Gene = tra
index = 1916
Annotated 5SS: [ 47 699]
Annotated 3SS: [294 755]
SMsplice 5SS: [ 47 699]
SMsplice 3SS: [119 755]
top_k =  500
Partition function (log Z): -4.73854998848725

Sorted 5' Splice Sites (High to Low Probability):
Position 699: 0.942401318630582
Position 47: 0.5962296723916356
Position 61: 0.11942654936675184
Position 405: 0.02443173771353852
Position 638: 0.012912081408797233
Position 256: 0.009628659717181704
Position 422: 0.003080540206826632
Position 703: 0.002248973167398884
Position 678: 0.0019465251724469414
Position 228: 0.0014468013172232758
Position 219: 0.001036629093635997
Position 706: 0.0009420888448614108
Position 311: 0.0008281237438371771
Position 672: 0.0004324484045185652
Position 713: 0.00015409652616527945
Position 766: 8.005188066157068e-05
Position 604: 1.8853841664525145e-05
Position 389: 1.0137260059525699e-05
Position 104: 1.0062619401487389e-05
Position 29: 6.755779430589699e-06
Position 595: 6.746440882876726e-06
Position 565: 5.6965157496835385e-06
Position 138: 3.5936551850980605e-06
Position 91: 1.801046273216087e-06
Position 129: 1.4979934761959587e-06
Position 556: 1.3698306991091955e-06
Position 778: 1.2321107537103879e-06
Position 619: 9.603165997000443e-07
Position 107: 9.461784695306176e-07
Position 488: 4.5772967159168865e-07
Position 301: 4.510817000786055e-07
Position 121: 1.2053414014980512e-08
Position 131: 9.774020242456921e-09
Position 119: 1.281911637521208e-09
Position 580: 9.047218422771824e-12
Position 491: 4.247786481979089e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 755: 0.9600980589446722
Position 119: 0.6723775716071807
Position 475: 0.022988511321142182
Position 399: 0.022689263459030842
Position 294: 0.01884287073484228
Position 773: 0.004378521324878723
Position 460: 0.0038267282670281216
Position 310: 0.003602022049901796
Position 793: 0.002355545114295494
Position 171: 0.002165174927429981
Position 481: 0.0013001879330055805
Position 778: 0.0009017509163853309
Position 832: 0.00040018018772824195
Position 556: 0.00026308710622883834
Position 499: 0.00017890732276104772
Position 589: 0.0001666169479953058
Position 333: 0.00015899879982201134
Position 260: 9.123154333792937e-05
Position 656: 7.998605091066176e-05
Position 562: 6.763954946265923e-05
Position 565: 6.642518402993019e-05
Position 514: 4.615668097421836e-05
Position 352: 3.995595647568556e-05
Position 604: 3.0557256052035544e-05
Position 535: 2.211150313395684e-05
Position 91: 2.160604824304101e-05
Position 689: 1.9273776265846572e-05
Position 442: 1.9266594280466873e-05
Position 367: 1.7689202251875156e-05
Position 538: 1.5395935088479142e-05
Position 508: 1.0038928495679876e-05
Position 198: 9.389600466702502e-06
Position 488: 8.009206148351166e-06
Position 175: 7.593832011048397e-06
Position 364: 5.918001728209215e-06
Position 430: 4.212895675767881e-06
Position 331: 4.0846880826635925e-06
Position 527: 2.5267248133651673e-06
Position 517: 2.013176926634694e-06
Position 416: 1.9036209068544586e-06
Position 177: 1.505226545667792e-06
Position 151: 1.258478939728746e-06
Position 880: 1.245372313549511e-06
Position 186: 1.1355633100405672e-06
Position 601: 1.0747885776339826e-06
Position 703: 1.0400966501100015e-06
Position 842: 1.019726078602661e-06
Position 595: 9.749704675244173e-07
Position 706: 6.170020336287551e-07
Position 356: 1.2915309188400201e-08
Position 183: 1.1164164630492767e-08
Position 383: 2.1592710275051757e-09
Position 190: 1.1178913411569431e-09
Position 327: 6.021561666772486e-10
Position 181: 4.1113971208759763e-10
Position 79: 3.913539910537938e-10
Position 411: 2.024270193796733e-10
