Gene = l(2)34Fd
index = 1743
Annotated 5SS: [ 154  614 1389]
Annotated 3SS: [ 211  666 1448]
SMsplice 5SS: [ 154  614 1389]
SMsplice 3SS: [ 211  666 1448]
top_k =  500
Partition function (log Z): 4.174333356956382

Sorted 5' Splice Sites (High to Low Probability):
Position 1389: 0.9984212015382814
Position 614: 0.9947447057144857
Position 154: 0.9408897724595046
Position 1550: 0.02207577090419627
Position 779: 0.014827935183660722
Position 772: 0.007602357197163591
Position 141: 0.0038036387834929626
Position 982: 0.0035136573205446987
Position 2215: 0.0017799887619334956
Position 599: 0.001457965681885012
Position 796: 0.0014219732393206744
Position 605: 0.0012187137643799514
Position 1594: 0.0010418594758150937
Position 975: 0.0007975281206250768
Position 389: 0.0006236997568890933
Position 748: 0.00047685376888224667
Position 2005: 0.0003530298941571895
Position 340: 0.0003277250879206339
Position 1376: 0.0002896249846353381
Position 1971: 0.0002710487181340981
Position 145: 0.00026596017796688313
Position 2018: 0.00017794307561102708
Position 449: 0.00015975158197147085
Position 1560: 0.00014378031687085723
Position 2254: 0.00014363885039670243
Position 379: 0.00014164980067938102
Position 695: 0.00011616050957509356
Position 922: 0.00010694908730740711
Position 158: 8.754230386910135e-05
Position 1726: 8.360624874870855e-05
Position 46: 7.768178179875168e-05
Position 568: 7.295568930132074e-05
Position 391: 5.216648068448981e-05
Position 434: 4.840080374657979e-05
Position 592: 4.8099073525658355e-05
Position 1293: 4.794004412098817e-05
Position 626: 3.313229713798728e-05
Position 1691: 3.2299105826027856e-05
Position 1393: 3.114966640162811e-05
Position 815: 3.110685046246203e-05
Position 943: 2.9856489204258056e-05
Position 883: 2.878659790584664e-05
Position 1414: 1.9093944551357402e-05
Position 1704: 1.8610473374227125e-05
Position 1734: 1.857435455447403e-05
Position 374: 1.8338142957863706e-05
Position 90: 1.572502422716394e-05
Position 2132: 1.514702304939579e-05
Position 1819: 1.4991884945087008e-05
Position 1308: 1.492345145049435e-05
Position 1605: 1.2770104633397302e-05
Position 1077: 8.557926388114924e-06
Position 94: 7.599242241731853e-06
Position 1470: 7.573934020746016e-06
Position 1171: 7.056513241764858e-06
Position 1164: 5.571674216187517e-06
Position 1111: 5.485687938380017e-06
Position 743: 5.2120769548737785e-06
Position 1236: 5.084050554647091e-06
Position 112: 4.331691394740489e-06
Position 1116: 4.108390354098927e-06
Position 32: 3.7339370311303483e-06
Position 865: 2.98840954641879e-06
Position 400: 2.692665935954195e-06
Position 2245: 2.2084095848722986e-06
Position 2221: 1.957414451943205e-06
Position 103: 1.953025028153026e-06
Position 873: 1.859746325271783e-06
Position 830: 1.8237215088353135e-06
Position 185: 1.5638853014175376e-06
Position 34: 1.4311841303480147e-06
