Gene = mRpS18B
index = 1776
Annotated 5SS: [388]
Annotated 3SS: [449]
SMsplice 5SS: [388]
SMsplice 3SS: [449]
top_k =  500
Partition function (log Z): -5.078363861139111

Sorted 5' Splice Sites (High to Low Probability):
Position 388: 0.9998305711498042
Position 78: 0.002074495683299371
Position 88: 0.0016899015756489705
Position 732: 0.0006516340055526005
Position 747: 0.0003203274605937343
Position 702: 0.00020705153488824788
Position 559: 6.25108135465166e-05
Position 264: 4.4956182321612866e-05
Position 665: 4.3555022654366385e-05
Position 52: 3.69039143947137e-05
Position 468: 2.822584505412408e-05
Position 9: 2.501262854322123e-05
Position 382: 1.656296473071045e-05
Position 371: 1.1285168098714567e-05
Position 545: 1.0728418884445845e-05
Position 267: 8.921144258618887e-06
Position 512: 7.503623531383912e-06
Position 594: 6.637616808430586e-06
Position 647: 4.578676842186537e-06
Position 821: 3.8088180975292484e-06
Position 4: 3.3149683903793182e-06
Position 619: 2.887623330925443e-06
Position 57: 2.4329607766010332e-06
Position 799: 1.859257016941451e-06
Position 412: 1.6867847527592512e-06
Position 835: 9.89242424592004e-07
Position 673: 9.16069256758385e-07
Position 495: 6.784650307386013e-07
Position 308: 6.048303069662105e-07
Position 718: 3.8864763275425543e-07
Position 373: 1.7880042914550473e-07
Position 645: 9.478814384219492e-08
Position 106: 8.706504160873751e-08
Position 533: 5.589599056126906e-08
Position 140: 3.2852054353489725e-08
Position 120: 2.4432690293251344e-08
Position 679: 2.3227875126276393e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 449: 0.9977122582258157
Position 159: 0.0035928052963216184
Position 812: 0.0010287330899944112
Position 507: 0.0008305027345403119
Position 611: 0.0004653001479960881
Position 834: 0.00033473042334205313
Position 492: 0.0002590537232286945
Position 462: 0.00020773480917476436
Position 684: 0.00011679522565610672
Position 728: 0.00010997282663125239
Position 334: 9.922684669809861e-05
Position 518: 9.754057991379441e-05
Position 864: 5.848583943812371e-05
Position 242: 4.410097980626941e-05
Position 308: 3.131397796794177e-05
Position 640: 2.0151614771281565e-05
Position 626: 1.9297767238278913e-05
Position 87: 1.5637539074088743e-05
Position 594: 9.957020694071187e-06
Position 78: 6.8166788495087925e-06
Position 636: 5.946016625163998e-06
Position 183: 5.387565019887774e-06
Position 881: 5.0375491819749155e-06
Position 278: 4.983314895612512e-06
Position 349: 4.0016569064034125e-06
Position 654: 3.7425463130915816e-06
Position 868: 3.3284648269988887e-06
Position 688: 1.2275969169789445e-06
Position 743: 1.0406617770526797e-06
Position 294: 1.0137936690389402e-06
Position 616: 9.096232436151078e-07
Position 582: 7.938773845673109e-07
Position 218: 7.798014466254729e-07
Position 382: 7.080714273580336e-07
Position 199: 5.151732966237324e-07
Position 286: 4.256586403616743e-07
Position 759: 2.978036215976798e-07
Position 765: 2.750670210048794e-07
Position 762: 1.7254773522746404e-07
Position 313: 1.6025240763790662e-07
Position 591: 1.1039633848765521e-07
Position 891: 3.9393526391416515e-08
Position 768: 3.722361010750699e-08
Position 192: 2.6387166875765188e-08
Position 248: 1.4424513883987984e-08
Position 264: 1.2129335200166482e-08
Position 336: 1.545578266693088e-09
Position 253: 5.887480841280921e-10
Position 205: 2.5380853613430726e-10
Position 364: 1.2236745212316977e-10
Position 167: 7.80545127981682e-11
Position 403: 5.789848210550412e-13
Position 392: 1.0552310600040887e-14
