Gene = TfAP-2
index = 1552
Annotated 5SS: [12511 22822 23059 24523 25357 25682 25953]
Annotated 3SS: [22590 22872 24314 25166 25416 25784 26015]
SMsplice 5SS: [   69 22822 23059 24523 25357 25682 25953]
SMsplice 3SS: [22590 22890 24314 25166 25416 25784 26015]
top_k =  500
Partition function (log Z): 17.09374279298276

Sorted 5' Splice Sites (High to Low Probability):
Position 25357: 0.9994257439966848
Position 25953: 0.9984988930661723
Position 25682: 0.99571213219321
Position 23059: 0.9953588396115325
Position 24523: 0.9936697019723735
Position 69: 0.9930927001999381
Position 22822: 0.9917367598644948
Position 25009: 0.5330488800294797
Position 24234: 0.1747024767613882
Position 4350: 0.1143213362012704
Position 24768: 0.113801014667895
Position 12511: 0.08836065506919816
Position 26101: 0.010115453052070114
Position 24001: 0.009009712996705183
Position 24789: 0.008689515856489563
Position 26420: 0.00854945868320162
Position 24134: 0.00805650618232252
Position 25110: 0.006639033017992544
Position 26226: 0.006628972446842587
Position 25529: 0.006116294159338839
Position 565: 0.00594256429368353
Position 24957: 0.005732644223660798
Position 25108: 0.004724935424038427
Position 25048: 0.0041894208881727395
Position 25488: 0.003930341794171353
Position 23328: 0.003762590808339015
Position 24677: 0.003328947729308097
Position 26283: 0.0031705330163032536
Position 25701: 0.0024850970613266654
Position 26250: 0.0015372765303422638
Position 24970: 0.0012584413711385128
Position 23888: 0.0011834220325498655
Position 25031: 0.0010379968087279147
Position 26138: 0.0007388177366285394
Position 314: 0.0007110865040303023
Position 25964: 0.0006622672772675891
Position 24961: 0.00037470555984053436
Position 25645: 0.00030243280708128396
Position 25967: 0.0002709411508245943
Position 24817: 0.00026340804146863497
Position 25650: 0.00024236171714677148
Position 24685: 0.0002411665832551884
Position 24500: 0.00023649592024640607
Position 26269: 0.00023421913560433522
Position 25707: 0.00022453227517778943
Position 24777: 0.000165571095979493
Position 24757: 0.00015296794594252662
Position 26165: 0.00014697819205012204
Position 24963: 0.0001344237390267686
