Gene = Cralbp
index = 1107
Annotated 5SS: [281]
Annotated 3SS: [2180]
SMsplice 5SS: [ 281 2003]
SMsplice 3SS: [1562 2180]
top_k =  500
Partition function (log Z): -8.051957465872487

Sorted 5' Splice Sites (High to Low Probability):
Position 281: 0.9206158999884227
Position 2003: 0.532847448651915
Position 2063: 0.08192567289986287
Position 2059: 0.07379956607776635
Position 2831: 0.07353500886453548
Position 1452: 0.06240337623694394
Position 1890: 0.05455878695535883
Position 539: 0.029345839497064007
Position 1133: 0.025039959162579593
Position 2055: 0.02085950046148489
Position 3209: 0.010238540468278589
Position 293: 0.00849329650242648
Position 168: 0.007790432259780049
Position 2826: 0.003738808066221479
Position 1645: 0.0034991324364874316
Position 1153: 0.0027196113466773585
Position 876: 0.0021206864930294147
Position 297: 0.0019040745017392003
Position 299: 0.0017278592939111756
Position 301: 0.0016718691166931017
Position 295: 0.0016211212139307961
Position 2020: 0.0014971476365743435
Position 2067: 0.0010202045701500151
Position 1517: 0.001014564837829639
Position 154: 0.0009083039349413927
Position 186: 0.0007970321722929301
Position 89: 0.0005713623694734261
Position 1229: 0.00045890093623203096
Position 1287: 0.00040064050794358803
Position 1625: 0.00039198508413203854
Position 1984: 0.0002884966660578481
Position 1437: 0.00027687224321159805
Position 1972: 0.0002640705903728067
Position 239: 0.0002212726069063236
Position 2852: 0.00017270199040377376
Position 305: 0.00017205320923527098
Position 897: 0.00016560680836029122
Position 1145: 0.00016430536545875907
Position 1137: 0.00013762881787542048
Position 232: 0.00011928977213203351
Position 1611: 0.00010875822671428537
Position 234: 9.665987283624959e-05
Position 602: 7.740651558362409e-05
Position 2007: 7.365297304019642e-05
Position 1338: 7.263044664103744e-05
Position 1975: 6.349448746977554e-05
Position 1760: 6.0224895715415465e-05
Position 1773: 3.525024238575622e-05
Position 279: 2.3250380472163167e-05
Position 612: 1.598955230346256e-05
Position 1403: 1.4719192089291894e-05
Position 285: 1.3712507330926345e-05
Position 309: 6.580633634101285e-06
Position 338: 5.422505108816662e-06
Position 78: 4.272793622879278e-06
Position 1873: 2.4951519965102672e-06
Position 2410: 2.2312664687522805e-06
Position 543: 1.3498416841489548e-06
Position 659: 1.0678169419159729e-06
Position 1157: 1.0513916888888644e-06
Position 62: 9.832703675544347e-07
Position 1360: 9.427509649991926e-07
Position 81: 8.314708281975848e-07
Position 303: 5.428054458174326e-07
Position 22: 3.597564038228764e-07
Position 481: 3.0264473426412243e-07
Position 114: 2.294442780136056e-07
Position 111: 1.6757444890730543e-07
Position 55: 1.4479019937585612e-07
Position 209: 5.903461798982219e-08
Position 65: 5.7851160018087784e-08
Position 1313: 4.5207155403783434e-08
Position 128: 1.736962615575933e-08
Position 25: 2.6979099272991868e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 2180: 0.8909392302643373
Position 1562: 0.3973077325150293
Position 1689: 0.12657013858225483
Position 407: 0.10999700007241366
Position 440: 0.07830116988415807
Position 1914: 0.07824387460012715
Position 1517: 0.05100928213298439
Position 2895: 0.04220554905435307
Position 2916: 0.033395120089079015
Position 2189: 0.025801368549649005
Position 2086: 0.015459513170240649
Position 487: 0.012502682085965706
Position 564: 0.00823091137920801
Position 1919: 0.007369222798834446
Position 3274: 0.006823176038362044
Position 1271: 0.0050177639557760344
Position 1953: 0.004146808751286598
Position 1733: 0.0039952525117583435
Position 3280: 0.003648454183457834
Position 2105: 0.003594160096095361
Position 1338: 0.0035662811268918587
Position 1856: 0.0033594980883104603
Position 2213: 0.0026014508178353766
Position 2963: 0.002170960670663609
Position 691: 0.0019283125101534565
Position 762: 0.0016679623084007134
Position 2234: 0.0012078187928900358
Position 1890: 0.0011952767396199253
Position 2243: 0.0011512357842499835
Position 462: 0.001075892294670806
Position 2055: 0.0009912400515179423
Position 230: 0.0008287402279304902
Position 3267: 0.000620332585837729
Position 801: 0.0004504643212728988
Position 2601: 0.0004220813562331229
Position 1723: 0.00038388455515502663
Position 334: 0.0003005244969289002
Position 467: 0.00029166846047821673
Position 2927: 0.0002492237565586908
Position 1103: 0.00022372369129399806
Position 1437: 0.000208006906103107
Position 1346: 0.0001776220823710874
Position 1179: 0.00010052767515559782
Position 1476: 9.068797702321931e-05
Position 1956: 8.537011029399668e-05
Position 373: 6.829155489023599e-05
Position 539: 6.178234030323097e-05
Position 591: 4.09979075110446e-05
Position 2137: 3.0112409453370713e-05
Position 360: 2.95248352167895e-05
Position 153: 1.546966669154081e-05
Position 138: 1.1665977041240071e-05
Position 1126: 6.789771078349621e-06
Position 732: 3.21611343297433e-06
Position 1052: 3.0152324698091675e-06
Position 261: 2.0838625664149657e-06
Position 1524: 1.2415791443532092e-06
Position 1645: 1.2380193408738287e-06
Position 341: 7.057158931925608e-07
Position 1025: 1.3670147563768352e-07
Position 1984: 7.836000538041662e-08
Position 1978: 5.5483087616681185e-08
Position 171: 4.769610980318256e-08
Position 124: 4.442113730280937e-08
Position 193: 3.326193508396174e-08
Position 378: 3.065306856089986e-08
Position 276: 2.7844439195313144e-08
Position 1015: 1.883257548031176e-08
Position 866: 1.0229776980406978e-08
Position 816: 1.0222895289817529e-08
Position 168: 5.581674621907806e-09
Position 180: 4.492733469277467e-09
Position 386: 3.192384636284982e-10
Position 322: 3.0485693808354405e-10
Position 279: 2.7330629233811076e-10
Position 178: 2.0719979068883594e-10
Position 173: 2.2920112720686468e-12
Position 285: 5.097514002234721e-13
