Gene = MCU
index = 1255
Annotated 5SS: [  132  1212 11681 12102 40098 40262 40423 40680]
Annotated 3SS: [ 1025 11583 11828 39865 40155 40320 40475 40740]
SMsplice 5SS: [ 1212 11681 12102 40098 40250 40423 40680]
SMsplice 3SS: [11583 11828 39865 40155 40320 40475 40740]
top_k =  500
Partition function (log Z): -16.980105178946438

Sorted 5' Splice Sites (High to Low Probability):
Position 12102: 0.9999798813223467
Position 11681: 0.9783145324052182
Position 1212: 0.4966573104194434
Position 529: 0.25381465815460125
Position 1429: 0.05475064267712058
Position 520: 0.045449249365030926
Position 235: 0.04306262004782002
Position 2129: 0.036652023331885754
Position 883: 0.032270956694932955
Position 2133: 0.02020938440342527
Position 132: 0.017705223604615374
Position 11685: 0.014086662149160923
Position 11689: 0.0065070280101830035
Position 11736: 0.0003984909586089234
Position 2107: 5.757146024004442e-05
Position 2324: 5.037393331170686e-05
Position 3975: 4.0140652372685805e-05
Position 823: 9.118102781600594e-06
Position 2902: 4.7289790656419965e-06
Position 1484: 4.656148395238539e-06
Position 1372: 3.679956231709446e-06
Position 27388: 3.276667488675676e-06
Position 1304: 2.5132374890318106e-06
Position 775: 1.307487685395044e-06
Position 903: 1.2589345037187678e-06
Position 4: 1.139218363487848e-06
Position 592: 1.1297363100047129e-06
Position 694: 9.520624137864529e-07
Position 1002: 8.985889720985594e-07
Position 99: 8.903525482846707e-07
Position 1344: 8.822449269889543e-07
Position 14: 8.774774749071865e-07
Position 1380: 7.816004571379533e-07
Position 141: 7.791785030100198e-07
Position 218: 6.978455558723839e-07
Position 376: 6.336277777950284e-07
Position 267: 5.897201816717126e-07
Position 689: 5.77113550604983e-07
Position 28116: 4.828203391288179e-07
Position 1783: 4.4782324154284235e-07
Position 437: 3.969563405126407e-07
Position 393: 3.6298452828972915e-07
Position 816: 3.168177435142396e-07
Position 23: 2.5145772103905917e-07
Position 909: 2.3323405736545054e-07
Position 1119: 1.979953752137171e-07
Position 608: 1.6746319314404074e-07
Position 85: 1.6720530221990958e-07
Position 604: 1.5209278284713752e-07
Position 17: 1.4302047707873262e-07
Position 673: 1.4217671659553173e-07
Position 994: 1.3520338861444413e-07
Position 1230: 1.285769887951309e-07
Position 87: 1.0238909464634676e-07
Position 1383: 1.0197617507380531e-07
Position 2224: 8.775826234957012e-08
Position 27549: 7.975299003705469e-08
Position 10: 7.761584914675597e-08
Position 11952: 6.283583519998513e-08
Position 657: 5.648707675087759e-08
Position 501: 5.316670319449383e-08
Position 225: 4.6408736226672235e-08
Position 149: 4.2042805034653384e-08
Position 1045: 4.174922385188935e-08
Position 943: 3.2102372916091065e-08
Position 153: 2.3408730393833208e-08
Position 2311: 1.956962189881167e-08
Position 359: 1.674295896649369e-08
Position 11841: 1.6235584712550963e-08
Position 2356: 1.6125975943539676e-08
Position 3302: 9.169687575999111e-09
Position 1980: 8.999645271283216e-09
Position 601: 7.335824238217498e-09
Position 320: 5.965001367215106e-09
Position 364: 5.7562606862220016e-09
Position 2111: 4.9847722900866695e-09
Position 255: 3.944202149856998e-09
Position 2477: 1.7398114302345905e-09
Position 2464: 1.2014133684958012e-09
Position 1792: 1.76380887698145e-10
Position 29: 1.2424928118536587e-11
Position 1249: 1.1101835778571275e-11
Position 336: 4.381177557604983e-12
Position 323: 3.4993800034529903e-12
Position 700: 3.3469006710849745e-12
Position 618: 1.5623305841532008e-12
Position 651: 1.4942958967567265e-12
Position 632: 1.1163115268971852e-12
Position 595: 8.964001788514156e-13
