Gene = RtcB
index = 1459
Annotated 5SS: [1421]
Annotated 3SS: [1480]
SMsplice 5SS: [1421]
SMsplice 3SS: [1480]
top_k =  500
Partition function (log Z): -5.520246025575322

Sorted 5' Splice Sites (High to Low Probability):
Position 1421: 0.9906243196693161
Position 749: 0.08012431796136407
Position 173: 0.07256945673267065
Position 461: 0.05104515402395737
Position 1724: 0.010852027437651714
Position 1085: 0.009411432503465374
Position 1669: 0.008415649196306154
Position 1709: 0.004901855847404064
Position 305: 0.002148898507155436
Position 134: 0.002063619074912064
Position 160: 0.0017851243328295715
Position 1401: 0.001156846760040073
Position 587: 0.0008381742260823486
Position 1732: 0.0007935190623390004
Position 1425: 0.0006561700134840732
Position 1123: 0.0006193521494819647
Position 500: 0.0006157276226929761
Position 476: 0.0005781808396528431
Position 890: 0.0005426722151667363
Position 935: 0.00035794243724163036
Position 1135: 0.00019640541546053772
Position 1031: 0.00018065541958045303
Position 827: 0.0001739514703555088
Position 715: 0.0001716160094451127
Position 523: 0.00014031952842891393
Position 1240: 0.00010996613757160119
Position 454: 0.00010688336177829845
Position 1694: 0.00010541026011260356
Position 1244: 7.519804129688195e-05
Position 1747: 5.8678425360221814e-05
Position 798: 5.676323869640436e-05
Position 591: 4.7635066389823015e-05
Position 1634: 4.405520444592715e-05
Position 1631: 4.3179213877280064e-05
Position 545: 3.8276429232859526e-05
Position 373: 3.3373542052481805e-05
Position 365: 3.1011369897091864e-05
Position 1589: 2.2230543709107033e-05
Position 309: 2.1471681378748934e-05
Position 896: 1.5164575236048894e-05
Position 1622: 1.3190905796961706e-05
Position 5: 1.2039740544906245e-05
Position 1552: 9.731562743809407e-06
Position 850: 7.718143423559e-06
Position 57: 5.136463040680842e-06
Position 571: 4.789987109067531e-06
Position 242: 4.083475671860234e-06
Position 25: 3.930664604198502e-06
Position 232: 3.5613623477433517e-06
Position 1644: 3.478809495969442e-06
Position 138: 2.97214592208842e-06
Position 458: 2.6121108029072023e-06
Position 131: 1.8732549920522326e-06
Position 1202: 1.6094296366687233e-06
Position 1356: 1.5645776068702483e-06
Position 1331: 1.2100265835555128e-06
Position 480: 1.0855294220008439e-06
Position 1396: 7.408653995775464e-07
Position 1571: 2.7569240163186464e-07
Position 1532: 2.30268664121748e-07
Position 224: 1.8052868488813242e-07
Position 465: 1.2481844406915216e-07
Position 893: 1.128367551219349e-07
Position 326: 7.74481642630751e-08
Position 683: 6.264455361757161e-08
Position 122: 5.8393578761529145e-08
Position 142: 3.372950012100877e-08
Position 685: 2.4695229726846335e-08
Position 536: 2.3349641986346572e-08
Position 1335: 1.2591726300105796e-08
Position 234: 1.0746187635580088e-08
Position 1361: 1.0529834805611025e-08
Position 1217: 7.312895660945206e-09
Position 1438: 3.5639289034104613e-09
Position 1169: 1.8066486753918871e-09
Position 291: 2.8616108999844444e-12
Position 352: 2.0622573810635091e-13
Position 344: 3.959643379115816e-14
Position 504: 2.6774324766439456e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 1480: 0.9981235713318974
Position 1201: 0.0865595261758227
Position 249: 0.04318372387664521
Position 1356: 0.028912569933933353
Position 1793: 0.02551980145922682
Position 1298: 0.01287180381591245
Position 934: 0.011157770996560448
Position 826: 0.00605952636886494
Position 1321: 0.003524847738097838
Position 1255: 0.0031768487495722505
Position 532: 0.0030092330614090667
Position 1095: 0.002655453615168121
Position 1309: 0.0021614247852224273
Position 1228: 0.001824147331149902
Position 305: 0.0017712337001342842
Position 958: 0.0017248446727629126
Position 1121: 0.001711325992896842
Position 1006: 0.0016064849498860397
Position 1042: 0.0010951599371015561
Position 372: 0.001081835310437164
Position 915: 0.0007271063103071792
Position 748: 0.000635783722209295
Position 637: 0.0004455329276259439
Position 1456: 0.00034296244805832654
Position 1767: 0.0003020094299944111
Position 1732: 0.00019185821811225272
Position 1132: 0.00019104570957572946
Position 1231: 0.0001868300653460836
Position 529: 0.0001716200024194978
Position 541: 0.00014457750688399843
Position 850: 0.0001134948379907012
Position 1054: 9.599919885000364e-05
Position 465: 9.285193858912674e-05
Position 334: 7.217232679672794e-05
Position 331: 7.170251155974926e-05
Position 1528: 6.082017778911498e-05
Position 820: 6.069872377504618e-05
Position 1499: 4.3309871439996066e-05
Position 1381: 3.984268225441826e-05
Position 604: 2.7583121466550478e-05
Position 883: 1.2382023256413921e-05
Position 211: 1.215477606237716e-05
Position 82: 1.1558969625204137e-05
Position 565: 1.1326239929080142e-05
Position 700: 9.090658553732921e-06
Position 1694: 7.985089683463452e-06
Position 889: 7.393269616634425e-06
Position 202: 6.271573172052752e-06
Position 715: 5.54909962476633e-06
Position 199: 5.511444624364532e-06
Position 676: 4.987107548942231e-06
Position 65: 4.2663869615597735e-06
Position 1543: 3.8743301641176385e-06
Position 1618: 2.9870537579980268e-06
Position 553: 3.1086993478187076e-07
Position 550: 2.862226469305372e-07
Position 259: 1.9391638432950542e-07
Position 107: 4.369291279359087e-08
Position 229: 4.079734760580138e-08
Position 338: 3.6344918979103594e-08
Position 283: 3.206238735482159e-08
Position 91: 1.658635809215094e-08
Position 88: 1.1317926145451535e-08
Position 274: 9.267827121334897e-09
Position 694: 4.2561539611533465e-09
Position 126: 3.894388435135202e-09
Position 109: 1.483527540315952e-09
Position 640: 1.0111768227114316e-09
Position 277: 2.7700406816307847e-10
Position 173: 4.9888922800565e-12
Position 154: 2.642869312778119e-13
Position 169: 9.458470454853343e-14
Position 120: 3.797174933872157e-14
Position 177: 5.334113764817771e-15
