Gene = Ndfip
index = 1313
Annotated 5SS: [289]
Annotated 3SS: [5033]
SMsplice 5SS: [289]
SMsplice 3SS: [5033]
top_k =  500
Partition function (log Z): -11.517797588496435

Sorted 5' Splice Sites (High to Low Probability):
Position 3450: 0.7019017507211566
Position 289: 0.675113891905315
Position 3722: 0.3188911152152489
Position 1344: 0.2879374556479367
Position 1825: 0.2836283685216449
Position 465: 0.04366360727902279
Position 59: 0.03920255646271938
Position 4903: 0.02888956608080932
Position 6405: 0.02625214617947414
Position 3954: 0.02515510094430793
Position 4047: 0.02399484940688207
Position 4297: 0.01743031925245054
Position 5144: 0.016975287718738553
Position 475: 0.01658090919779967
Position 473: 0.01395516587702685
Position 3274: 0.009690033613884597
Position 631: 0.008711314578723197
Position 469: 0.008350840926050212
Position 219: 0.006587991840032377
Position 4841: 0.005612030584601456
Position 1680: 0.005609913359375682
Position 1603: 0.0054792779336019
Position 4270: 0.0044631141620019125
Position 161: 0.0042639150906785715
Position 3985: 0.00283749562448199
Position 1875: 0.002381213440051443
Position 5300: 0.002150759907523189
Position 5767: 0.002122504424258559
Position 5290: 0.0020785342254937295
Position 4022: 0.0020596162981402237
Position 3565: 0.0019331723210969922
Position 479: 0.001613476240804567
Position 349: 0.0013950310827448846
Position 4120: 0.0008247347750494688
Position 776: 0.0007203800212728055
Position 1174: 0.000704635590945789
Position 4559: 0.0006110719596038288
Position 544: 0.0005272156507883
Position 462: 0.0003106314435421044
Position 2510: 0.0002778765256013995
Position 766: 0.00026356734065322295
Position 3544: 0.00023974329086116452
Position 600: 0.00020735321427530328
Position 770: 0.00019073433873322863
Position 1660: 0.00011289541854743203
Position 594: 9.272422129977964e-05
Position 28: 5.110008237978134e-05
Position 1374: 4.881951583367969e-05
Position 1831: 3.328277589440354e-05
Position 150: 2.7443058307612487e-05
Position 94: 1.9490154137626675e-05
Position 89: 1.8059285880732408e-05
Position 598: 6.9152896441565755e-06
Position 400: 6.197033816046644e-06
Position 485: 5.466860406686789e-06
Position 477: 4.117899655765491e-06
Position 566: 3.964704850043722e-06
Position 1246: 2.7895098790211518e-06
Position 25: 2.313582534926837e-06
Position 22: 1.6619312211818652e-06
Position 68: 1.03718436869507e-06
Position 167: 1.7065965044208955e-07
Position 36: 1.555715426220033e-07
Position 182: 1.3974444973208097e-07
Position 363: 9.881130889950631e-08
Position 159: 6.923020602433756e-08
Position 165: 1.8180841731099665e-08
Position 582: 9.582247013311123e-09
Position 487: 6.525341180063706e-09
Position 493: 3.941051665917481e-09
Position 130: 3.5281251279648585e-09
Position 498: 1.926646358663005e-09
Position 606: 1.9209976407967074e-09
Position 653: 1.6123722393609434e-09
Position 124: 6.908627018571113e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 3520: 0.6600286932147392
Position 5033: 0.587032405812332
Position 3319: 0.332179847539038
Position 1400: 0.15057536364351537
Position 354: 0.0825894882443442
Position 3134: 0.07186759174925295
Position 1419: 0.06640726458009634
Position 4832: 0.06619597605424893
Position 529: 0.06450595490414522
Position 3653: 0.0594735011178152
Position 3131: 0.05317173699116575
Position 1738: 0.03640901223630863
Position 2503: 0.033414664948354184
Position 2461: 0.033334178994408575
Position 6199: 0.03263895666660792
Position 3400: 0.029304639304181822
Position 6479: 0.0266233136854555
Position 2741: 0.025717366469878537
Position 1824: 0.018916215105827264
Position 797: 0.017344252495482583
Position 2378: 0.015638230734846704
Position 698: 0.013868486485676092
Position 1693: 0.013838365945754634
Position 5365: 0.013697592034247485
Position 2277: 0.01298579098718662
Position 1212: 0.007784727626196245
Position 1250: 0.007458823371653925
Position 5368: 0.007137304217196777
Position 406: 0.006498715441684135
Position 6488: 0.006163100860525354
Position 2924: 0.005480963466293613
Position 853: 0.00498547718677258
Position 1924: 0.004577306880595118
Position 1505: 0.0042123792105131655
Position 828: 0.0037329616572028346
Position 6306: 0.0030327215766389223
Position 1562: 0.002925314153935874
Position 5839: 0.002122504424258559
Position 4771: 0.0020938263777418842
Position 5982: 0.0018926090295120059
Position 832: 0.0018354142437061278
Position 5053: 0.0016001683573728185
Position 360: 0.0015364707829817017
Position 503: 0.001359772504499982
Position 130: 0.001239362691478313
Position 1343: 0.0008800299797035986
Position 543: 0.0008370322899312832
Position 448: 0.0007771927213356049
Position 1282: 0.000759783217192823
Position 150: 0.0005917610732660977
Position 1441: 0.0005306256186986917
