Gene = Ufd1-like
index = 1582
Annotated 5SS: [295]
Annotated 3SS: [351]
SMsplice 5SS: [295]
SMsplice 3SS: [351]
top_k =  500
Partition function (log Z): -5.816907252848559

Sorted 5' Splice Sites (High to Low Probability):
Position 295: 0.9954242658032344
Position 949: 0.13227815215157798
Position 529: 0.08472031968626197
Position 936: 0.003975233858515117
Position 996: 0.0012135880033982758
Position 1180: 0.0012076088185225145
Position 467: 0.0006381795483460994
Position 1147: 0.0005962835116682793
Position 34: 0.0005296878793748012
Position 308: 0.0005153532065265356
Position 299: 0.00018681758606013994
Position 698: 0.00010204650277539428
Position 524: 9.96148674036719e-05
Position 722: 8.552624507159017e-05
Position 106: 6.715323319812571e-05
Position 711: 5.617539086768737e-05
Position 9: 5.4656335994848406e-05
Position 459: 5.443803376020413e-05
Position 1189: 4.779428179190651e-05
Position 276: 4.359933410180157e-05
Position 429: 2.871173115537411e-05
Position 767: 2.853069013853764e-05
Position 971: 2.7482634703998183e-05
Position 11: 2.421235112680662e-05
Position 1195: 2.1470686997296866e-05
Position 753: 1.884016108570437e-05
Position 1011: 1.4174863045619168e-05
Position 306: 1.4048595214312308e-05
Position 243: 1.0916274150542654e-05
Position 587: 1.0203402156192154e-05
Position 233: 9.726299345124863e-06
Position 17: 6.477436701805663e-06
Position 556: 6.1962783282626095e-06
Position 119: 5.812984615607937e-06
Position 401: 5.3993805945869685e-06
Position 636: 2.22502231238483e-06
Position 850: 1.4603013408696462e-06
Position 170: 8.78112438524927e-07
Position 780: 7.392580929076779e-07
Position 928: 5.872797845270975e-07
Position 864: 4.675893780217662e-07
Position 1072: 4.5070059751099716e-07
Position 558: 3.8801692523519603e-07
Position 328: 3.5747762470772557e-07
Position 351: 2.3746495816678838e-07
Position 197: 2.142012555924749e-07
Position 570: 1.907391176274801e-07
Position 684: 1.6422428066305383e-07
Position 396: 8.657755958363977e-08
Position 471: 7.858776895210235e-08
Position 413: 4.0245112722994915e-08
Position 984: 1.633041914098804e-08
Position 940: 8.031566537898413e-09
Position 909: 1.5478339388886574e-09
Position 251: 7.975592931246862e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 351: 0.992076049089862
Position 601: 0.08361327910054182
Position 1017: 0.05816513588680915
Position 1031: 0.05325447619258757
Position 1240: 0.013922140266687828
Position 1217: 0.006305223293212412
Position 1072: 0.004003219285093956
Position 1078: 0.0021803139393973513
Position 676: 0.0017189845304939814
Position 401: 0.001232084203367898
Position 587: 0.0012047023656597095
Position 995: 0.0009709872825843229
Position 1189: 0.0007961000464199001
Position 827: 0.00048526859589862435
Position 142: 0.0003055363906241959
Position 1101: 0.0002733733092338426
Position 419: 0.00023524159979527691
Position 992: 0.0001684803427015205
Position 181: 0.00015359287837476236
Position 632: 0.00015297459162003072
Position 753: 0.00013231796395799094
Position 1226: 0.00011830727863657364
Position 81: 0.00011250894257383608
Position 1195: 0.00010678469284548678
Position 1081: 0.00010062406420837594
Position 104: 5.879747828403138e-05
Position 757: 4.417195634636179e-05
Position 848: 3.6182976009732426e-05
Position 1246: 2.9173417861955385e-05
Position 119: 2.8066771415679895e-05
Position 791: 2.2957243764470205e-05
Position 740: 2.2026196646238473e-05
Position 734: 2.1547962767840564e-05
Position 845: 1.956810790156569e-05
Position 434: 1.194297191614151e-05
Position 710: 1.0077205934248426e-05
Position 1160: 9.882792636688035e-06
Position 906: 5.034800109598241e-06
Position 258: 4.863181168438741e-06
Position 1175: 4.516755864779206e-06
Position 166: 3.888756565332288e-06
Position 96: 3.531951212825971e-06
Position 1086: 3.389304049646875e-06
Position 1089: 3.329630175066439e-06
Position 133: 2.622867592617938e-06
Position 69: 1.2018308019929286e-06
Position 233: 5.471110374190998e-07
Position 150: 4.260655006968604e-07
Position 554: 4.0621698314431865e-07
Position 707: 3.4199720783443614e-07
Position 809: 2.7387674099069947e-07
Position 690: 2.2542123527277518e-07
Position 467: 1.730003270785949e-07
Position 157: 1.5857596897913975e-07
Position 698: 1.3572389896526846e-07
Position 284: 3.736209067956986e-08
Position 115: 3.167898583350822e-08
Position 644: 3.054070869025747e-08
Position 311: 9.285857599992888e-09
Position 206: 8.411534714680671e-09
Position 293: 3.3820526538093912e-09
Position 320: 8.504889024502061e-10
Position 306: 7.440057947248106e-10
Position 926: 8.723565063935379e-12
Position 266: 8.15723057287801e-12
Position 299: 1.944405448367418e-14
Position 295: 2.8398636937211416e-17
