Gene = Arv1
index = 29
Annotated 5SS: [188 368 564]
Annotated 3SS: [247 424 628]
SMsplice 5SS: [188 564]
SMsplice 3SS: [247 628]
top_k =  500
Partition function (log Z): -2.9282968629012838

Sorted 5' Splice Sites (High to Low Probability):
Position 564: 0.9627444000672813
Position 188: 0.9032835083547427
Position 376: 0.30975751895455467
Position 368: 0.07405532112261215
Position 115: 0.008032701646773588
Position 19: 0.00799036826224345
Position 137: 0.007953788745697916
Position 583: 0.002914384097470108
Position 577: 0.0010488429828665268
Position 10: 0.0002941386557087932
Position 225: 0.00024936708331486376
Position 906: 0.00023993112710683876
Position 395: 0.00018705886547204636
Position 119: 0.00015852578622629557
Position 677: 0.00011305122156583568
Position 1010: 8.730034437595076e-05
Position 877: 6.490368348298676e-05
Position 48: 5.779879593748751e-05
Position 113: 3.6172455649351934e-05
Position 148: 3.345015881515591e-05
Position 328: 3.096290111869014e-05
Position 437: 2.9223860711876545e-05
Position 859: 1.958461696204916e-05
Position 94: 1.5686279910748655e-05
Position 960: 1.012021060141322e-05
Position 419: 9.993351543903583e-06
Position 46: 9.17015883272741e-06
Position 393: 8.473310243807654e-06
Position 922: 8.015756616774464e-06
Position 446: 7.920595728579777e-06
Position 126: 5.894531161326215e-06
Position 976: 5.36318315852192e-06
Position 964: 5.293207388937157e-06
Position 283: 5.191715180620044e-06
Position 781: 4.408188807684691e-06
Position 973: 3.872686766832484e-06
Position 733: 2.676859218756164e-06
Position 449: 2.4440528397873965e-06
Position 292: 2.29417121950881e-06
Position 223: 1.9831814606702707e-06
Position 5: 1.3189032929697677e-06
Position 832: 1.0412452036092859e-06
Position 518: 6.704471502826591e-07
Position 636: 6.145191991917879e-07
Position 802: 4.1095762886481793e-07
Position 52: 3.491039610769035e-07
Position 759: 2.717591124179267e-07
Position 384: 6.577360093747526e-08
Position 255: 1.7872003239958776e-08
Position 475: 1.760209203507448e-08
Position 736: 6.27581987245107e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 628: 0.9814636013743432
Position 247: 0.9210014905708073
Position 424: 0.3320237568713747
Position 436: 0.038779647819856336
Position 308: 0.0027178157262305077
Position 64: 0.001019518848860122
Position 323: 0.000637995702637547
Position 733: 0.0003339333423669688
Position 367: 0.00024162370456300695
Position 1055: 0.0002275658137818141
Position 759: 0.00021642566909368515
Position 931: 0.00018266552410425963
Position 693: 0.00011328229640696966
Position 135: 0.00011188021321396628
Position 103: 7.547248209027803e-05
Position 529: 7.446164143190626e-05
Position 106: 5.9949614367696885e-05
Position 1101: 5.836431669927833e-05
Position 1051: 3.617413974098453e-05
Position 1097: 3.308477603975877e-05
Position 700: 2.8679411767972995e-05
Position 873: 2.2910931572584714e-05
Position 999: 5.886242640075944e-06
Position 973: 5.021457994190365e-06
Position 289: 4.880136268048399e-06
Position 192: 4.601072199011307e-06
Position 945: 3.4725050796438163e-06
Position 996: 3.434697962175297e-06
Position 162: 2.9406490462052506e-06
Position 292: 2.207885589034285e-06
Position 137: 1.1296079326479316e-06
Position 154: 8.320458402184332e-07
Position 204: 5.41525416541468e-07
Position 1105: 3.1894146058290994e-07
Position 960: 2.799467376334881e-07
Position 143: 3.554736542989353e-08
Position 283: 3.860614884806195e-10
Position 208: 3.8429396373375793e-11
Position 206: 5.97673269592254e-16
