Gene = abo
index = 1607
Annotated 5SS: [1026]
Annotated 3SS: [1082]
SMsplice 5SS: [1026]
SMsplice 3SS: [1082]
top_k =  500
Partition function (log Z): -9.665989772030313

Sorted 5' Splice Sites (High to Low Probability):
Position 1026: 0.5291737445593183
Position 817: 0.3650260776830079
Position 647: 0.08453979932817775
Position 1022: 0.046221004768135766
Position 1202: 0.03161581753858035
Position 363: 0.019947535788618204
Position 611: 0.012955696091532581
Position 606: 0.009934927895040026
Position 788: 0.0037975093549403637
Position 1505: 0.002453384247790761
Position 1236: 0.0014654653827233292
Position 1030: 0.0014639238258734879
Position 1233: 0.0013066138035273756
Position 212: 0.0012804567597451703
Position 1162: 0.0011743721830671302
Position 390: 0.001160113082465999
Position 958: 0.001064246724273526
Position 994: 0.0010205974994541346
Position 807: 0.0009035995854011288
Position 663: 0.0008587409608073357
Position 156: 0.0004524582515401527
Position 526: 0.00037036783982841154
Position 75: 0.000273946544527203
Position 633: 0.00026683273038579167
Position 1206: 0.00020765754563762556
Position 346: 0.00016258244013550208
Position 623: 0.0001471553998311565
Position 367: 0.00011271963463755636
Position 953: 0.00010946665075728883
Position 1327: 0.00010739064222679267
Position 909: 8.976968011990515e-05
Position 1754: 8.794854746161258e-05
Position 762: 6.639237521843813e-05
Position 352: 6.633297719806346e-05
Position 199: 6.633257331550351e-05
Position 1001: 5.731306336120244e-05
Position 576: 5.399775208986258e-05
Position 1242: 4.418334243612944e-05
Position 681: 1.615415656638294e-05
Position 322: 1.5016849369310489e-05
Position 272: 1.4311249960447801e-05
Position 412: 1.1708727811411052e-05
Position 296: 6.606237384105357e-06
Position 521: 5.824903320584665e-06
Position 653: 5.613150002673377e-06
Position 651: 4.9473376436977446e-06
Position 594: 4.527236745228088e-06
Position 355: 3.865696640024591e-06
Position 573: 3.842227520316854e-06
Position 185: 3.615077990111183e-06
Position 404: 3.1759658004244213e-06
Position 140: 1.1902135689516074e-06
Position 544: 1.1354122048101567e-06
Position 1004: 7.206127094805084e-07
Position 3: 6.651055569389292e-07
Position 749: 4.483514632910525e-07
Position 747: 4.0490815165903944e-07
Position 792: 4.0036178808800746e-07
Position 684: 2.3220639906843833e-07
Position 720: 2.2713401200850997e-07
Position 976: 2.170705761901712e-07
Position 397: 2.1274665632565718e-07
Position 1116: 1.0083380807533365e-07
Position 117: 5.877911765008657e-08
Position 530: 9.193209362454893e-10
Position 528: 6.233928998365128e-10
Position 547: 2.0225002516713687e-10
Position 455: 5.551823613614627e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1082: 0.8061500831910768
Position 1363: 0.10400473679920666
Position 1086: 0.08005306754477036
Position 762: 0.04104283022175104
Position 935: 0.025495619464523223
Position 909: 0.011393291823496786
Position 872: 0.007664640868771189
Position 1444: 0.005152857090444501
Position 674: 0.0045732554806656245
Position 1149: 0.004559741005471625
Position 1432: 0.0037860264878227835
Position 690: 0.0037748828283224968
Position 1492: 0.0036449943929795377
Position 1677: 0.0030560722819695982
Position 833: 0.0021380429598360073
Position 468: 0.0020851529163784456
Position 1591: 0.0017281118638482708
Position 1043: 0.0014062839115841466
Position 1501: 0.0013833235733495223
Position 788: 0.0008946145834422121
Position 882: 0.0007391234645655391
Position 1478: 0.0005577732227599443
Position 946: 0.000541598849300346
Position 694: 0.0004998704814155164
Position 678: 0.00042915849552930554
Position 470: 0.00035694617415527556
Position 821: 0.00034553773720281066
Position 618: 0.0003259688682042957
Position 830: 0.00032257275383371304
Position 311: 0.00029595309118330456
Position 131: 0.0002706629529651354
Position 1738: 0.0002579518547363667
Position 1813: 0.0002190266768785494
Position 976: 0.00019901839231961028
Position 415: 0.00018615432314438824
Position 439: 0.00016620146353058397
Position 850: 0.00010627132396279166
Position 1586: 9.476520877911859e-05
Position 489: 7.271878014907954e-05
Position 289: 4.8245584225442556e-05
Position 1233: 4.414513074786205e-05
Position 521: 3.550382366490261e-05
Position 383: 3.0089620248093286e-05
Position 526: 2.7542691939865148e-05
Position 836: 1.8324555768071202e-05
Position 212: 1.4610702935753282e-05
Position 337: 4.125815738941968e-06
Position 540: 3.4524145526182523e-06
Position 317: 3.4177063094344168e-06
Position 272: 2.2513121492105096e-06
Position 352: 1.7427105318230228e-06
Position 434: 1.1740931238265257e-06
Position 633: 1.008720498625934e-06
Position 436: 5.790519198739229e-07
Position 69: 2.6252259884057305e-07
Position 412: 2.4639832577602146e-07
Position 419: 3.178385430538561e-08
Position 393: 2.3177526341932618e-08
Position 167: 1.51026292622074e-08
Position 58: 3.032856097360498e-09
