Gene = Akh
index = 17
Annotated 5SS: [188]
Annotated 3SS: [255]
SMsplice 5SS: [188]
SMsplice 3SS: [255]
top_k =  500
Partition function (log Z): -2.66667760194

Sorted 5' Splice Sites (High to Low Probability):
Position 188: 0.9994475084401132
Position 192: 0.0005349785587428247
Position 534: 0.0002502171566347185
Position 433: 5.18723056720901e-05
Position 74: 5.0360798821947553e-05
Position 452: 4.5503305709859006e-05
Position 289: 1.8307796574338334e-05
Position 423: 1.81822711853719e-05
Position 183: 1.3928890520211992e-05
Position 470: 3.3067407468710004e-06
Position 512: 1.538641309438068e-06
Position 525: 8.101245169160757e-07
Position 176: 6.725767431668131e-07
Position 181: 5.446315275172509e-07
Position 34: 3.355118909822434e-07
Position 97: 2.792550974036039e-07
Position 32: 1.8293829442298525e-07
Position 137: 1.4322037851712042e-07
Position 302: 1.2362848249347388e-07
Position 27: 7.937504735795114e-08
Position 540: 5.6842185648570054e-08
Position 152: 4.9474970701424035e-08
Position 537: 2.6814063223546015e-08
Position 379: 1.8559502893035186e-08
Position 284: 1.2748369006054082e-08
Position 52: 1.2164994807964565e-08
Position 543: 1.161289872295408e-08
Position 255: 4.4645008401091015e-09
Position 230: 4.880958617841104e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 255: 0.997508424070799
Position 390: 0.0010108455210796744
Position 327: 0.0008525270482362086
Position 590: 0.000271483149435427
Position 330: 0.00026053487706066
Position 396: 0.0001459337167617221
Position 521: 0.0001383476827698325
Position 321: 9.257644800974461e-05
Position 282: 7.543571063073172e-05
Position 149: 2.8976066459754758e-05
Position 130: 1.7155170471828274e-05
Position 554: 1.580076432672214e-05
Position 533: 4.669444431091043e-06
Position 137: 3.4916342582242877e-06
Position 298: 3.166373000985589e-06
Position 414: 2.518058492442423e-06
Position 366: 2.319876143904112e-06
Position 475: 1.9187543294655966e-06
Position 537: 5.588906592160547e-07
Position 342: 5.392761444686817e-07
Position 426: 5.356929830204894e-07
Position 445: 4.0001714262281275e-07
Position 97: 2.5156271644450777e-07
Position 543: 2.19037635606384e-07
Position 213: 1.5297948537700716e-07
Position 82: 8.684211216538367e-08
Position 105: 7.693957838564168e-08
Position 110: 6.04479909212733e-08
Position 117: 2.0897888512902362e-08
Position 436: 2.06344266776364e-08
Position 430: 8.791213262188609e-09
Position 181: 7.350387482037103e-09
Position 423: 5.473811908315284e-09
Position 132: 1.3634422574806528e-10
Position 188: 3.733740885095301e-13
Position 192: 1.1333375528496091e-16
