Gene = comm2
index = 1653
Annotated 5SS: [649]
Annotated 3SS: [1389]
SMsplice 5SS: [649]
SMsplice 3SS: [1389]
top_k =  500
Partition function (log Z): -5.790945087137117

Sorted 5' Splice Sites (High to Low Probability):
Position 649: 0.9941117051984281
Position 1964: 0.0037725534317442837
Position 182: 0.0030871973268592153
Position 1288: 0.0028290990178257134
Position 346: 0.00277949997751102
Position 1310: 0.0026918632024728333
Position 107: 0.0015885384711388708
Position 549: 0.0009336671710717727
Position 2056: 0.0009326354462183116
Position 527: 0.0005639079245203243
Position 1958: 0.0005585146209186872
Position 1232: 0.0005396547200022733
Position 480: 0.0004886028098094202
Position 34: 0.000383258390442456
Position 1127: 0.000368341014708758
Position 653: 0.00036390646780430283
Position 851: 0.00030691562837199696
Position 38: 0.0002658597819239051
Position 1181: 0.00025806938569410137
Position 617: 0.00025660104781436745
Position 1491: 0.0001229869968722821
Position 1573: 0.00011693375010574045
Position 591: 0.00010978665123610132
Position 1875: 9.660184631165817e-05
Position 1817: 8.701143369800298e-05
Position 694: 8.227977942695594e-05
Position 420: 7.755518297853196e-05
Position 896: 7.441744955930442e-05
Position 626: 6.218165396662782e-05
Position 1026: 5.707002502043463e-05
Position 910: 5.660386175174356e-05
Position 101: 5.214692057781329e-05
Position 1004: 5.133001788371158e-05
Position 292: 5.08839474740735e-05
Position 2091: 4.202893844216784e-05
Position 1761: 3.5537230852926695e-05
Position 1473: 3.410950677708151e-05
Position 1165: 2.9987224946764492e-05
Position 2074: 2.6190074522667908e-05
Position 679: 2.0952388479988147e-05
Position 922: 1.990673861538281e-05
Position 1970: 1.775374258711974e-05
Position 109: 1.7182305077051623e-05
Position 6: 1.5769090784058955e-05
Position 2147: 1.4363356251029449e-05
Position 704: 1.4352891685749703e-05
Position 256: 1.4282126857755974e-05
Position 1054: 1.4035844893031418e-05
Position 32: 1.3855227041027917e-05
Position 1547: 1.3628088375382888e-05
Position 1075: 1.2894846281868048e-05
Position 1770: 8.998783355490302e-06
Position 2016: 8.867395408260774e-06
Position 806: 7.870461129803234e-06
Position 929: 7.472154405961749e-06
Position 1154: 6.563893583441079e-06
Position 382: 5.477269267881533e-06
Position 868: 4.786552139769327e-06
Position 990: 4.654182988027683e-06
Position 521: 3.1094859830110874e-06
Position 1428: 2.8545853116661964e-06
Position 501: 2.2267684201022625e-06
Position 2122: 1.6813158448543377e-06
Position 42: 1.3371124773580719e-06
Position 10: 4.0455699806509536e-07
Position 564: 3.1172402268665294e-07
Position 993: 2.0213009252952327e-07
Position 166: 1.8364009385777405e-07
Position 963: 1.453833654924215e-07
Position 958: 9.714180072738413e-08
Position 551: 7.72536743944816e-08
Position 499: 3.284951052002022e-08
Position 22: 2.2074755446477732e-08
Position 1051: 1.051943952048244e-08
Position 750: 9.354150149713686e-09
Position 1461: 5.638413637628406e-09
Position 736: 1.846460659127247e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1389: 0.9779164324441557
Position 1025: 0.007322094219427168
Position 1054: 0.005087007254057895
Position 719: 0.0027496637876117695
Position 2126: 0.002659519422664347
Position 404: 0.0025847265255099306
Position 2169: 0.0022538578100057033
