Gene = del
index = 1668
Annotated 5SS: [ 346 1607]
Annotated 3SS: [ 409 1660]
SMsplice 5SS: [ 346  600 1607]
SMsplice 3SS: [ 409  722 1660]
top_k =  500
Partition function (log Z): -4.500319911446432

Sorted 5' Splice Sites (High to Low Probability):
Position 346: 0.9753273159583988
Position 600: 0.5990564646994071
Position 1607: 0.589627775725383
Position 1859: 0.381540055110964
Position 657: 0.2383691094753589
Position 2739: 0.14839202823217468
Position 1598: 0.13159380698254156
Position 2452: 0.05719125783585148
Position 588: 0.047660102101375314
Position 927: 0.03492281320174911
Position 579: 0.025008548670576846
Position 1262: 0.02386021192362564
Position 2378: 0.023847084665792287
Position 2748: 0.019850899034673734
Position 140: 0.014209860216328743
Position 1724: 0.012897431852717831
Position 1563: 0.010021876215237873
Position 643: 0.007404064305375891
Position 1506: 0.0063601917847076386
Position 24: 0.004319752797117668
Position 2357: 0.00410666208858099
Position 2390: 0.003620665845376295
Position 756: 0.003347859268044935
Position 1415: 0.0030937055935615736
Position 621: 0.002834555046808611
Position 963: 0.0027459148420003483
Position 1055: 0.0025147668244323847
Position 329: 0.0013144515001052065
Position 101: 0.0011495102980911933
Position 819: 0.0011451915378060053
Position 959: 0.0008906884019551234
Position 690: 0.000662434394437613
Position 311: 0.0006219477354600639
Position 1853: 0.0005484938082323339
Position 623: 0.0005465597264975859
Position 2522: 0.0005392996443897981
Position 1023: 0.00044607802889130415
Position 1556: 0.00037509130562772433
Position 1464: 0.0003689127686911918
Position 155: 0.00034041871490706784
Position 565: 0.0002734563266915771
Position 2418: 0.0002623659803962224
Position 300: 0.0001845970198916771
Position 1242: 0.00014983711235170636
Position 591: 0.0001408790768615646
Position 2463: 0.00013477889275340422
Position 2198: 0.00012713755448329444
Position 1822: 0.0001229609689904521
Position 1358: 0.00010736367575113946
Position 543: 0.00010714775654993874
Position 192: 9.077676771158525e-05
Position 52: 8.091654243697103e-05
Position 12: 7.692097397770238e-05
Position 57: 5.8620696107591895e-05
Position 443: 5.5206946882140804e-05
Position 905: 4.685004836722392e-05
Position 149: 4.665410004577581e-05
Position 1132: 4.623846086827752e-05
Position 2023: 3.597696512942938e-05
Position 1281: 2.9637658363087206e-05
Position 2182: 2.5974464960235433e-05
Position 891: 2.0978044056752117e-05
