Gene = Nfs1
index = 1317
Annotated 5SS: [201]
Annotated 3SS: [258]
SMsplice 5SS: [201]
SMsplice 3SS: [258]
top_k =  500
Partition function (log Z): -7.102842036585838

Sorted 5' Splice Sites (High to Low Probability):
Position 201: 0.9981199190335176
Position 614: 0.01235241204085609
Position 546: 0.0030103646023899753
Position 276: 0.002475772582940452
Position 756: 0.001645102822858912
Position 430: 0.001251875117418225
Position 588: 0.001006430664082706
Position 360: 0.0008828915636719084
Position 310: 0.00046294224734835896
Position 852: 0.0003997653627552486
Position 774: 0.0003945578387934209
Position 143: 0.00018071411445797338
Position 1081: 0.00017944713639123024
Position 553: 0.00017559326118206508
Position 861: 0.00016376905116755253
Position 358: 0.00013493406893584333
Position 1174: 8.835028555777643e-05
Position 471: 8.550008827446775e-05
Position 18: 5.581774211640657e-05
Position 6: 5.2428214205388826e-05
Position 562: 4.703052354077105e-05
Position 251: 3.48876183032081e-05
Position 415: 3.0741773997935164e-05
Position 1198: 2.344228571983837e-05
Position 1470: 2.1067882913193182e-05
Position 27: 2.0623176487720707e-05
Position 1460: 1.4271902504606907e-05
Position 934: 1.2950324039997878e-05
Position 140: 1.2577396451139494e-05
Position 443: 1.1833156715708407e-05
Position 936: 8.279496345089659e-06
Position 450: 8.068032250769922e-06
Position 1519: 8.020353899141134e-06
Position 530: 7.872475111161314e-06
Position 104: 1.1531387176110618e-06
Position 80: 1.3496408417395026e-07
Position 245: 1.0514540560678789e-07
Position 226: 1.0070750678408496e-07
Position 255: 1.69259158763703e-08
Position 618: 1.5558075115644786e-08
Position 634: 8.608222340931553e-09
Position 660: 5.399679710707341e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 258: 0.9498953420595591
Position 642: 0.017072061367471022
Position 675: 0.012579390162605586
Position 453: 0.010108190068366529
Position 302: 0.005590597098518401
Position 704: 0.004231818102951252
Position 275: 0.00409509060702576
Position 441: 0.0032508093883353677
Position 1256: 0.002997213201893955
Position 335: 0.0026438911635406352
Position 932: 0.001905024565576903
Position 848: 0.0016807736500608708
Position 470: 0.0013527454705694693
Position 602: 0.0012557911634218607
Position 293: 0.0010001582534056727
Position 991: 0.0006727457115478242
Position 546: 0.0005004407737198068
Position 961: 0.00041842584367771655
Position 578: 0.00030089364557534074
Position 1138: 0.00027864981091610316
Position 1354: 0.00027502545410348857
Position 551: 0.00021597380600140128
Position 1168: 0.00019854244118763507
Position 1533: 0.0001467356697758992
Position 313: 0.0001288762696510781
Position 500: 0.00011987583915329417
Position 660: 7.057715938707443e-05
Position 69: 6.914459934799909e-05
Position 308: 6.85015008479345e-05
Position 1273: 4.9355343547236196e-05
Position 58: 2.4765474560719444e-05
Position 608: 2.2537591905615685e-05
Position 458: 2.1949903888904225e-05
Position 581: 2.1413869050048395e-05
Position 1566: 2.0740683765895698e-05
Position 80: 1.6977383819209004e-05
Position 503: 1.670390556599208e-05
Position 731: 1.1228072467709762e-05
Position 200: 8.987859074468208e-06
Position 49: 8.590297773371039e-06
Position 1561: 6.938480978347626e-06
Position 794: 6.580196452148326e-06
Position 614: 6.168086431856614e-06
Position 1587: 4.986778221981861e-06
Position 103: 4.6711220331308774e-06
Position 97: 4.364145171500956e-06
Position 168: 1.0585594694742306e-06
Position 134: 2.3743163050835202e-07
Position 147: 2.0220847440510934e-07
Position 154: 8.303373870920628e-09
Position 650: 7.513373216746476e-09
Position 173: 6.241035724250234e-09
Position 269: 3.1871594596652876e-09
Position 185: 3.020418749920108e-09
Position 205: 2.9545608038545107e-09
Position 226: 8.792344909549717e-10
Position 218: 3.4317059316323126e-10
Position 271: 3.55496704641681e-15
