Gene = dgt2
index = 1669
Annotated 5SS: [320]
Annotated 3SS: [376]
SMsplice 5SS: [320 620 837]
SMsplice 3SS: [376 696 904]
top_k =  500
Partition function (log Z): -5.39792492306812

Sorted 5' Splice Sites (High to Low Probability):
Position 620: 0.7472597571074698
Position 320: 0.6750037796754776
Position 837: 0.4642517090627381
Position 430: 0.4319740641392614
Position 862: 0.15090708190587623
Position 313: 0.10972177358010055
Position 855: 0.0742775262289565
Position 302: 0.009267057354604065
Position 799: 0.0018242997477531133
Position 328: 0.0013747189886254524
Position 604: 0.0008701072809741905
Position 62: 0.0007305456804941262
Position 166: 0.0005809308880681457
Position 211: 0.0005668874436019922
Position 892: 0.0002405612519161258
Position 590: 0.00019072565403448303
Position 624: 0.0001314223031016934
Position 227: 5.7157745822495094e-05
Position 906: 4.600835458062222e-05
Position 14: 3.896288080666153e-05
Position 335: 3.646617880167164e-05
Position 269: 3.334313973559415e-05
Position 3: 2.9884545692706934e-05
Position 434: 2.7697593026443225e-05
Position 351: 2.213567360951528e-05
Position 8: 1.2541786528059515e-05
Position 909: 1.136961182251259e-05
Position 377: 9.757115550002697e-06
Position 444: 8.795809848735014e-06
Position 781: 6.701463804531697e-06
Position 256: 5.853837597465307e-06
Position 486: 4.80918440407091e-06
Position 184: 3.7853584183670036e-06
Position 669: 3.239739381638634e-06
Position 712: 5.341756201962493e-07
Position 395: 8.220834285843905e-08
Position 507: 6.6210936238062715e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 376: 0.7840551943735091
Position 696: 0.6477060419420723
Position 494: 0.4308631955457207
Position 904: 0.40161703705235374
Position 918: 0.16979624472114369
Position 933: 0.09843895142655307
Position 959: 0.06903639499019958
Position 669: 0.026307705518349576
Position 727: 0.0194681595472796
Position 724: 0.01062060955215968
Position 702: 0.0035147304763546916
Position 779: 0.0028375387774452806
Position 968: 0.0015747401971729358
Position 528: 0.0010982894274177654
Position 130: 0.0007192380071700927
Position 426: 0.0005009028626667105
Position 555: 0.00025120081910838554
Position 269: 0.00015206153206292144
Position 395: 0.00013590586915152576
Position 1005: 0.00012098682293046635
Position 351: 0.00012031746749593669
Position 531: 9.432108440654568e-05
Position 348: 8.99609877364127e-05
Position 1008: 8.649030595480414e-05
Position 1034: 7.621018085849303e-05
Position 72: 6.090744813006908e-05
Position 756: 6.07832823325084e-05
Position 642: 3.359811589510717e-05
Position 981: 1.66525001052712e-05
Position 392: 1.3792732858964148e-05
Position 504: 1.2527005728560901e-05
Position 558: 1.2384524868491655e-05
Position 386: 1.0963758323515781e-05
Position 242: 1.045781398246146e-05
Position 870: 7.073902991083065e-06
Position 624: 3.7504153224249196e-06
Position 639: 2.3600296089099888e-06
Position 156: 1.2315923571386897e-06
Position 507: 1.0349770334625734e-06
Position 1016: 1.0245424325391596e-06
Position 227: 7.086386105723463e-07
Position 542: 1.0556784092748173e-07
Position 162: 1.0093090131319007e-07
Position 294: 6.555974145099075e-08
Position 573: 3.050533197969573e-08
Position 165: 1.8874677101188354e-08
Position 312: 1.7524004548652952e-08
Position 306: 1.5561115001922516e-08
Position 288: 9.924792562951467e-09
Position 576: 8.847109749947247e-09
Position 174: 8.736111705875363e-09
Position 335: 8.329084325757544e-09
Position 200: 3.927466231074363e-09
Position 184: 3.162338003460811e-09
Position 244: 1.1385085366177877e-09
Position 323: 1.1345250001156048e-09
Position 309: 6.061481583060896e-10
Position 180: 2.1808665286383358e-10
Position 298: 1.9017039049885378e-12
Position 195: 1.4839991506793282e-15
