Gene = MYPT-75D
index = 1268
Annotated 5SS: [16405 36085 37368 37659 37796 38302 38862]
Annotated 3SS: [35397 36664 37532 37719 38180 38364 39738]
SMsplice 5SS: [ 1073 36085 37368 37659 37796 38289 38862]
SMsplice 3SS: [35397 36664 37532 37719 38180 38364 40056]
top_k =  500
Partition function (log Z): 2.8064451965213317

Sorted 5' Splice Sites (High to Low Probability):
Position 37659: 0.998079500230475
Position 36085: 0.9964650819043726
Position 37796: 0.9727407075826153
Position 37368: 0.9709962880552444
Position 38862: 0.9672563682911587
Position 1073: 0.6755687080887482
Position 118: 0.32443129191125364
Position 38273: 0.14567249958804723
Position 39151: 0.10279885721131313
Position 39339: 0.06858475304575223
Position 39259: 0.0635036131241187
Position 39521: 0.058706694613841585
Position 39562: 0.0511534404568859
Position 41029: 0.039155534956552454
Position 37398: 0.022022323546655075
Position 38104: 0.01487137444252049
Position 39176: 0.014558674690421314
Position 39042: 0.013031992737321295
Position 38996: 0.012246559573034966
Position 38858: 0.012025609922083092
Position 39203: 0.011091029050699894
Position 37814: 0.010902755437360915
Position 40412: 0.009171960398742535
Position 39361: 0.008993407353486608
Position 40783: 0.008178746829746746
Position 39036: 0.005830095595741981
Position 39048: 0.003906296231997759
Position 39286: 0.0038143522300346498
Position 40824: 0.0036487381461057715
Position 38772: 0.003531507997613432
Position 39007: 0.003485053346819809
Position 39299: 0.0030098292049315443
Position 39220: 0.0020423913781839748
Position 39055: 0.001794941088064411
Position 37957: 0.0017026639004361459
Position 39513: 0.001656287673287588
Position 38990: 0.0015208375463516477
Position 37663: 0.0012646425537368256
Position 37834: 0.0010828749765629006
Position 40324: 0.0010813513286712854
Position 39256: 0.001077427866905485
Position 37910: 0.000748308892262941
Position 39253: 0.0007264426360387073
Position 39816: 0.0005074037907846688
Position 38084: 0.00045394807426078033
Position 39476: 0.0004431349167506256
Position 38042: 0.0003870400810226646
Position 40277: 0.0003462355270448506
Position 38846: 0.00018924108589925514
Position 39247: 0.0001728920819738145
Position 39034: 0.00017062678847737045
Position 38712: 0.00015867602086910038
Position 38062: 0.00014658650553630505
Position 41051: 0.00014640186467930352
Position 37936: 0.00013392762987757064
Position 37648: 0.00011805219209196377
Position 37885: 7.780907302986997e-05
Position 38027: 7.702216582290011e-05
Position 38047: 6.251904700147428e-05
Position 39329: 6.214508415472034e-05
