Gene = Cpr23B
index = 1091
Annotated 5SS: [75]
Annotated 3SS: [145]
SMsplice 5SS: [75]
SMsplice 3SS: [145]
top_k =  500
Partition function (log Z): -2.282561570940946

Sorted 5' Splice Sites (High to Low Probability):
Position 75: 0.9997498077290345
Position 231: 0.004906702840057461
Position 680: 0.002413167286486704
Position 541: 0.0007203789545128202
Position 363: 0.0006196584297538702
Position 749: 0.00048502162718300137
Position 479: 0.0003428019869020486
Position 548: 0.0003317108895852052
Position 672: 0.0002443925467400779
Position 79: 0.00023312914335807928
Position 770: 0.0002290208915545938
Position 584: 0.00019803255031152655
Position 767: 0.00018954943217979207
Position 639: 0.00012248705492510812
Position 346: 0.0001030992283755447
Position 677: 8.702161490540358e-05
Position 728: 8.504699269591118e-05
Position 518: 3.624071383384354e-05
Position 545: 2.589107159202958e-05
Position 374: 1.6648792766097662e-05
Position 82: 7.98028141695838e-06
Position 326: 6.763656577012769e-06
Position 532: 6.553487012688989e-06
Position 482: 3.845959674955327e-06
Position 800: 2.4207648163259726e-06
Position 779: 2.2220121647075988e-06
Position 408: 1.864308919911632e-06
Position 7: 1.803781692065392e-06
Position 903: 1.7416882811755333e-06
Position 1029: 8.895018875583733e-07
Position 620: 7.770346896151877e-07
Position 965: 3.8281038370768823e-07
Position 1043: 3.470843733762712e-07
Position 240: 3.231974129428293e-07
Position 22: 2.983906970162778e-07
Position 1052: 2.632354170321714e-07
Position 865: 2.5022243118227313e-07
Position 235: 2.459204299202798e-07
Position 821: 8.342343731614174e-08
Position 193: 2.6224334168917253e-09
Position 372: 1.4648784752637767e-09
Position 136: 1.4413657849297208e-09
Position 428: 3.184530761606498e-10
Position 160: 6.5330041102545884e-12
Position 452: 2.2157397744256736e-12
Position 145: 3.4085224188577526e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 145: 0.9985274374852425
Position 820: 0.0065649560007930334
Position 397: 0.002483966310241311
Position 183: 0.001139906027851044
Position 600: 0.0008850281576707784
Position 469: 0.00033068993869400204
Position 606: 0.00022589356549435435
Position 279: 0.0002068625181129057
Position 360: 0.00019648377442906575
Position 301: 0.00017709288761962098
Position 796: 0.00012470256181057205
Position 696: 8.734327581940568e-05
Position 829: 3.430653268210532e-05
Position 499: 2.9872896416717143e-05
Position 339: 2.611409856180351e-05
Position 1103: 1.491295314302213e-05
Position 496: 1.4333930620180072e-05
Position 502: 1.3031650601215708e-05
Position 721: 1.2706318311516395e-05
Position 568: 1.1961593604368799e-05
Position 214: 1.1331614335196411e-05
Position 552: 9.47684021204507e-06
Position 574: 8.516866485809892e-06
Position 188: 8.062892109187067e-06
Position 211: 6.293968158424123e-06
Position 408: 4.984083366613249e-06
Position 649: 4.133617200586276e-06
Position 652: 3.703064137369222e-06
Position 865: 3.347757802272868e-06
Position 990: 3.086648214366074e-06
Position 466: 2.295415598329586e-06
Position 379: 2.2233141043830515e-06
Position 532: 1.936389562150396e-06
Position 899: 1.0662492566157714e-06
Position 1010: 5.931912954393975e-07
Position 193: 2.1757560601427165e-07
Position 372: 1.5003835310617153e-10
Position 220: 7.461350320465812e-11
Position 505: 5.605885295610499e-11
Position 231: 5.52862841569255e-11
Position 240: 4.9208746790854004e-11
Position 208: 4.130749019923183e-11
Position 69: 1.1859761243104904e-12
Position 74: 7.458498343530397e-13
Position 89: 6.977465419005313e-13
Position 250: 2.0777505443621584e-13
Position 62: 9.345246607802923e-14
Position 346: 5.3207009579755453e-14
Position 261: 2.3751329454566238e-14
Position 97: 3.7559270170803556e-15
Position 79: 2.8029456988665827e-16
