Gene = Pvf2
index = 1395
Annotated 5SS: [  154  1450 10382 14215]
Annotated 3SS: [  906 10278 13688 14323]
SMsplice 5SS: [ 1450 14215]
SMsplice 3SS: [13688 14323]
top_k =  500
Partition function (log Z): -4.1240934429044955

Sorted 5' Splice Sites (High to Low Probability):
Position 14215: 0.9925053593562293
Position 1450: 0.8913886113121463
Position 10382: 0.4583898999456181
Position 5451: 0.3829264928074092
Position 5691: 0.32919362647482786
Position 6375: 0.19909823305617577
Position 298: 0.17023774271575684
Position 154: 0.15496297896745467
Position 14652: 0.13817414035880327
Position 8773: 0.13628863449477388
Position 9491: 0.11908761007053856
Position 315: 0.11512934878456521
Position 806: 0.10772605495321469
Position 14665: 0.08022160933790068
Position 11051: 0.06333398808430264
Position 495: 0.051020479213924885
Position 788: 0.04922970162514565
Position 2131: 0.04394652496675902
Position 6: 0.018172055667542493
Position 14649: 0.0132668171216311
Position 165: 0.012849346043161715
Position 14656: 0.012421014815045423
Position 305: 0.011213057458498347
Position 1627: 0.01047317842513633
Position 279: 0.009595935904769376
Position 289: 0.008515583740053415
Position 14455: 0.007182836216665758
Position 14226: 0.005863613974604143
Position 4556: 0.004602259697539962
Position 4426: 0.004353984824677529
Position 14606: 0.0038005611894668685
Position 286: 0.0035523767353892615
Position 648: 0.003056913895985989
Position 5887: 0.0029516476470125073
Position 8002: 0.0020501366409541467
Position 3282: 0.0017426565840683841
Position 14644: 0.0016123783786892217
Position 8529: 0.0016033623910143965
Position 5662: 0.0014458760516239707
Position 493: 0.0013642851040834379
Position 1363: 0.0012808205278320175
Position 8588: 0.0011626005723011452
Position 14899: 0.0011514087512344677
Position 6452: 0.0008720823584792418
Position 30: 0.0006605820642266778
Position 5712: 0.0006487576137668091
Position 1036: 0.0006344888132961961
Position 131: 0.0006254425506998211
Position 122: 0.0005494593687844583
Position 393: 0.0005419164916360173
Position 5715: 0.0005066668790559837
Position 776: 0.0005051777848551016
Position 5671: 0.0004944640515246682
Position 14440: 0.0004337174092828194
Position 234: 0.0004255219891091396
Position 5064: 0.0003758259701193609
Position 521: 0.0003028261148761079
Position 5668: 0.0002909417325402335
Position 674: 0.0002615050242095082
Position 176: 0.0002557467940369651
Position 5823: 0.00025202528778898265
Position 464: 0.00019908841504233607
Position 302: 0.00017825468359439813
Position 514: 0.00016327702409509457
Position 15012: 0.00016300372659311648
Position 3310: 0.00015716841267663485
Position 5513: 0.00015304855742882714
Position 42: 0.00014271683593824298
Position 3877: 0.0001244724768717018
Position 586: 0.00011489413641091439
Position 1895: 8.950384844653308e-05
Position 351: 8.8057933143319e-05
Position 4601: 8.78728266616023e-05
Position 146: 8.431504560723879e-05
Position 319: 8.31361071552811e-05
Position 398: 7.275775759192e-05
Position 726: 6.2888416286541e-05
Position 86: 5.750320271085615e-05
Position 456: 5.262500645393116e-05
Position 3: 4.28199485906737e-05
Position 3728: 4.0357869857972924e-05
Position 601: 2.9264590324164497e-05
Position 10: 2.705113417502406e-05
Position 1066: 2.5443588371390935e-05
Position 2272: 2.4896367439527332e-05
Position 435: 1.9879235910446394e-05
Position 715: 1.5016416187265806e-05
Position 1210: 1.1354661525818407e-05
Position 1059: 1.0291588820653111e-05
Position 14379: 2.536668252983112e-07
Position 1305: 1.4458386009767615e-07
Position 349: 1.0833410799229592e-07
Position 404: 8.848423102789398e-08
Position 442: 7.700431680900765e-08
Position 951: 5.636440459201161e-08
Position 569: 1.4443919425998964e-08
Position 411: 3.509633942510531e-09
Position 524: 1.8474871282146177e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 13688: 0.9928793052853119
Position 14323: 0.9920094912104694
Position 5332: 0.5482148644930661
Position 906: 0.5013076219976095
Position 10278: 0.4390095546923182
Position 14729: 0.2499797213597184
Position 8439: 0.20182705932259268
Position 5922: 0.15823223377669857
Position 5501: 0.1420776830151122
Position 9292: 0.03262455111357491
Position 557: 0.031269803539992286
Position 203: 0.02845069870853552
Position 8954: 0.028008117591865868
Position 8918: 0.027717617809890772
Position 1942: 0.027422188319264594
Position 1124: 0.02549651150230413
Position 1103: 0.020786248784011054
Position 10437: 0.02030426932979777
Position 10820: 0.019165629607312072
Position 5537: 0.013881361438241788
Position 5765: 0.01341262564562846
Position 5513: 0.013328165591934168
Position 4339: 0.008768541739679196
Position 5294: 0.007882000543399399
Position 6063: 0.007371073024515946
Position 9847: 0.007218101384184096
Position 422: 0.007025331875252496
Position 381: 0.0052173293478713955
Position 1083: 0.004856835297729583
Position 5929: 0.0048441542527969525
Position 1267: 0.004511181602395595
Position 1792: 0.003774983802951034
Position 14529: 0.0033600913722496286
Position 4207: 0.0031965286585058767
Position 8414: 0.0031780073651803513
Position 12673: 0.0028700047583910637
Position 14760: 0.002768043917608196
Position 14281: 0.0026534577883557827
Position 5574: 0.0025302353149567777
Position 5166: 0.0024643174480910865
Position 1890: 0.0023256936361640023
Position 7800: 0.0020503651154827112
Position 3151: 0.001989919553594251
Position 14715: 0.0019671834722339242
Position 12071: 0.0018285898434748304
Position 14967: 0.0017275453212164836
Position 1684: 0.001606761274015199
Position 1718: 0.0015115989792358856
Position 14335: 0.0014019317408647577
Position 15092: 0.0013917419461995395
Position 1734: 0.0013395842063634671
Position 5191: 0.0010232568794097943
Position 981: 0.0010136304793463306
Position 12128: 0.000949037289593121
Position 8444: 0.0008202391706778665
Position 4666: 0.000808534363171847
Position 715: 0.0005521867165856511
Position 14913: 0.0005365907272695264
Position 864: 0.00047605589100502537
Position 14687: 0.00027229803875550795
Position 464: 0.000184967576197674
Position 1953: 0.00011393719993536261
Position 14579: 0.00010963471730957735
Position 1374: 0.00010467986517256675
Position 579: 0.00010369656914008386
Position 1863: 9.524565222406351e-05
Position 5298: 9.312254740796381e-05
Position 5196: 8.938790330943778e-05
Position 14343: 7.993549156102131e-05
Position 934: 6.621645418671297e-05
Position 1845: 6.39122324341005e-05
Position 1748: 5.971492780263951e-05
Position 1902: 5.7291273531780225e-05
Position 1500: 5.5310916129728764e-05
Position 1382: 5.202981773300321e-05
Position 3629: 4.3196099019117915e-05
Position 910: 3.647387684528731e-05
Position 5843: 3.587224500948191e-05
Position 2205: 2.4587243881919834e-05
Position 2070: 2.337462922097282e-05
Position 234: 2.1659230632928724e-05
Position 52: 2.0295533192570338e-05
Position 319: 1.3814241954473313e-05
Position 1626: 1.313658988421242e-05
Position 726: 9.84139676820898e-06
Position 624: 9.13476511767217e-06
Position 393: 9.042656861395457e-06
Position 480: 6.6423385811831726e-06
Position 11117: 4.6395233610677285e-06
Position 743: 3.599553418895371e-06
Position 861: 2.481389069375124e-06
Position 652: 1.8069082890270884e-06
Position 315: 1.7243455899175036e-06
Position 154: 1.4769615960112075e-06
Position 1519: 1.2298365733438273e-06
Position 103: 1.2235423742697453e-06
Position 1608: 5.443760566904131e-07
Position 326: 4.2798849869067555e-07
Position 1427: 4.222780218499546e-07
Position 811: 2.49770572788859e-07
Position 286: 1.4943490835306752e-07
Position 302: 6.397109232479071e-08
Position 243: 3.617486695276562e-08
Position 6524: 2.21596125241602e-08
Position 1866: 2.0172808122962995e-08
Position 6650: 1.1904256983531515e-08
Position 1854: 9.874841663020722e-09
Position 419: 9.695273986946312e-09
Position 6432: 2.67276257739173e-09
Position 60: 2.169112290831267e-09
Position 3172: 1.762898094857137e-09
Position 122: 8.927998795022392e-10
Position 165: 8.902321034014364e-10
Position 128: 6.874997725955249e-10
Position 298: 3.078592434345468e-11
Position 131: 2.9607967335578226e-12
Position 158: 2.6689528498703005e-13
Position 1776: 4.372006933054126e-14
