Gene = SmB
index = 1506
Annotated 5SS: [134]
Annotated 3SS: [502]
SMsplice 5SS: [134]
SMsplice 3SS: [502]
top_k =  500
Partition function (log Z): -4.296060837899566

Sorted 5' Splice Sites (High to Low Probability):
Position 134: 0.967263600350011
Position 69: 0.028746645239608206
Position 427: 0.004323351445559914
Position 418: 0.001981460973203457
Position 86: 0.0010832176507479026
Position 74: 0.0008674279595813527
Position 138: 0.0007755616609867727
Position 671: 0.00045867745546594485
Position 379: 0.00033457321116389904
Position 172: 0.00016362169075319918
Position 376: 0.00014872637089358598
Position 585: 0.00010290020569340441
Position 707: 9.68055576355113e-05
Position 230: 7.28420392566789e-05
Position 66: 6.87572099790048e-05
Position 743: 6.409871876262821e-05
Position 1089: 3.58660056879349e-05
Position 190: 3.438225053517679e-05
Position 286: 2.9752933531374655e-05
Position 177: 2.38259170763722e-05
Position 891: 2.204182655477719e-05
Position 884: 2.092027869592211e-05
Position 1065: 2.0752280685214187e-05
Position 548: 2.0055595407704518e-05
Position 314: 1.628487858516763e-05
Position 731: 1.586723351452931e-05
Position 219: 1.5747703301062638e-05
Position 334: 1.4118762998778021e-05
Position 819: 9.875316803046242e-06
Position 187: 8.547743049727721e-06
Position 182: 7.77447366716826e-06
Position 149: 7.242836655014909e-06
Position 807: 5.2728801543206525e-06
Position 573: 3.6061528168592186e-06
Position 464: 3.121097572387775e-06
Position 695: 2.917057278861325e-06
Position 1023: 1.246080403619855e-06
Position 870: 1.1948703893400755e-06
Position 960: 1.132301572488462e-06
Position 853: 8.262129283253046e-07
Position 860: 6.748866871691764e-07
Position 640: 6.454420050250134e-07
Position 938: 1.5183990068525738e-07
Position 893: 9.47323438656501e-08
Position 879: 6.040999724667293e-08
Position 824: 1.4178482474778915e-11
Position 557: 1.7238654267343433e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 502: 0.9735534848825612
Position 203: 0.02382798977498478
Position 334: 0.004210849185010143
Position 187: 0.002441737543639689
Position 416: 0.0008893930864476812
Position 800: 0.0008049667438641618
Position 565: 0.0002801523425958107
Position 241: 0.00021137505344503136
Position 532: 0.00020238526463654003
Position 1132: 0.000156994551678931
Position 913: 9.830455866720543e-05
Position 670: 4.4595261352450155e-05
Position 596: 4.3346523730288e-05
Position 1007: 3.5768264288613144e-05
Position 437: 2.3010022020655026e-05
Position 866: 9.283945109983992e-06
Position 649: 6.164492774234202e-06
Position 661: 6.076588520137406e-06
Position 731: 5.864226366230759e-06
Position 514: 5.493561055810333e-06
Position 177: 4.715500724219199e-06
Position 764: 3.681243216665317e-06
Position 637: 2.2162989782847375e-06
Position 118: 1.6725343275140338e-06
Position 156: 1.577809289646427e-06
Position 356: 1.4493911438218047e-06
Position 877: 1.421655465050913e-06
Position 679: 8.574179485596566e-07
Position 691: 5.368754907378564e-07
Position 640: 3.842890127442535e-07
Position 797: 2.108831788645412e-07
Position 766: 1.7691294691043273e-07
Position 938: 1.2143412320639355e-07
Position 138: 9.637407571908796e-09
