Gene = dsx-c73A
index = 1679
Annotated 5SS: [ 1812 25192 25382 27791]
Annotated 3SS: [25042 25302 27639 27858]
SMsplice 5SS: [  450  1812 25192 25382 27791]
SMsplice 3SS: [ 1580 25042 25256 27639 27858]
top_k =  500
Partition function (log Z): 1.1205964906182222

Sorted 5' Splice Sites (High to Low Probability):
Position 27791: 0.9998756624967943
Position 1812: 0.9970529390018317
Position 25192: 0.8554916421158584
Position 25382: 0.8402214436929619
Position 18024: 0.5341798928021441
Position 450: 0.45893123007470304
Position 13055: 0.2061717868182877
Position 147: 0.17608458251239548
Position 228: 0.16259037066665688
Position 25813: 0.1383364930371815
Position 28026: 0.1304186048511588
Position 13499: 0.11402018698635054
Position 13297: 0.09737343885437982
Position 1308: 0.08879213975819193
Position 25722: 0.026598219632586132
Position 206: 0.018519880015541144
Position 17932: 0.016120699623690934
Position 114: 0.014534825541559906
Position 26017: 0.014321927039669266
Position 28702: 0.014317556331787735
Position 108: 0.01384256813314464
Position 18043: 0.012580883397941982
Position 27980: 0.012108722181984914
Position 5742: 0.01177342898236451
Position 523: 0.01174367069213724
Position 577: 0.011343840918138033
Position 110: 0.01012791403482856
Position 6448: 0.009131063388664496
Position 28718: 0.008891347729968553
Position 6010: 0.006612324016813221
Position 27926: 0.006148776514878743
Position 6753: 0.005913574342401118
Position 1291: 0.005643597375371109
Position 26400: 0.005503162373903109
Position 28147: 0.00440705670478604
Position 28740: 0.0035806126529551925
Position 28730: 0.003513880196246536
Position 13397: 0.0031389205021096363
Position 6454: 0.0026646577202751732
Position 14625: 0.002559430533008488
Position 27948: 0.0023612161677827952
Position 399: 0.002343401460223928
Position 28014: 0.0021998837645175427
Position 5544: 0.0021584806397976805
Position 28180: 0.002038786995092406
Position 996: 0.0015616029495748279
Position 118: 0.001537363133831443
Position 28735: 0.001293918417356131
Position 126: 0.0011528950477209445
Position 6001: 0.000987531580106904
Position 736: 0.0009671101984043981
Position 395: 0.0009238095253320821
Position 348: 0.0008295918659668164
Position 1480: 0.0007852129744164361
Position 28707: 0.0007738434092284429
Position 28144: 0.000767712810217176
Position 2121: 0.0006988964055596161
Position 5103: 0.0006802460945035782
Position 21: 0.0006492010909588699
Position 28182: 0.0005959801759193859
Position 454: 0.0005609249932700432
Position 1458: 0.0004917194538139381
Position 28723: 0.0004173813500132152
Position 2692: 0.0004060353659144805
Position 141: 0.00035249931055097007
Position 739: 0.0003444807035654715
Position 973: 0.0003090767666587324
Position 1063: 0.00028603712457250574
Position 7946: 0.000276656031072814
Position 561: 0.0002710695315110865
Position 1195: 0.00025888246454950297
Position 5167: 0.00025329687198178975
Position 10221: 0.00021074729377518463
Position 6425: 0.0001854127764038103
Position 353: 0.00015255262515108566
Position 286: 0.00014726330738931207
Position 1477: 0.00014029103563131576
Position 28151: 0.00013401640823389156
Position 173: 0.00013323097119943725
Position 6433: 0.00013125859357600485
Position 28066: 0.0001233215064966288
Position 27795: 0.0001225664151752618
Position 4552: 0.00010991265916359879
Position 4107: 0.00010521049450107722
Position 28157: 9.183172930979463e-05
Position 3860: 6.504233316435017e-05
Position 4388: 6.0475615388375755e-05
Position 4411: 5.079277863484547e-05
Position 5595: 4.0203874813990916e-05
Position 2492: 2.2091267638220196e-05
Position 1957: 1.8023658577399938e-05
Position 2366: 1.5876113356293717e-05
Position 4432: 1.3023859172495346e-05
Position 2341: 1.0457301790704663e-05
Position 3478: 9.587530113839566e-06
Position 219: 6.607100654134978e-06
Position 1704: 2.725111044871203e-07
Position 11: 1.8291508472913714e-07
Position 589: 1.2696583456869907e-07
Position 112: 1.1533174030761804e-07
Position 124: 9.533061987592041e-08
Position 151: 9.115886935126741e-08
Position 28: 9.047939511097729e-08
Position 1895: 7.177414164836844e-08
Position 599: 6.201336781330171e-08
Position 358: 3.9544293502889004e-08
Position 55: 1.4856159850927145e-08
Position 70: 1.3855658422588118e-08
Position 57: 5.330390155037565e-09
Position 39: 4.696201638154774e-09
Position 436: 1.235139087986189e-09
Position 339: 1.2855995149672102e-10
Position 438: 6.86575056089506e-11
Position 336: 4.189231968696056e-11
Position 376: 2.6616582128960597e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 27858: 0.9997967503755999
Position 27639: 0.9982501309494052
Position 24677: 0.8730250774474917
Position 1580: 0.615812448974266
Position 25256: 0.5718790837172936
Position 17822: 0.5628814758237769
Position 25302: 0.262664092950097
Position 13109: 0.2170919768758485
Position 12896: 0.17067519523941602
Position 28243: 0.12349554372248196
Position 1599: 0.10909930694359792
Position 25432: 0.07117901783419359
Position 1635: 0.06639988151427008
Position 25444: 0.06557024096828286
Position 1602: 0.06555383203857111
Position 28781: 0.03889103056437965
Position 1605: 0.036554947284320176
Position 12382: 0.035496591578871695
Position 286: 0.024400300726595228
Position 25908: 0.02140532522799294
Position 25541: 0.016498199433464842
Position 518: 0.016235301800838563
Position 597: 0.012505018102228472
Position 4959: 0.011833825095524275
