Gene = Rpn10
index = 1456
Annotated 5SS: [139 381]
Annotated 3SS: [239 440]
SMsplice 5SS: [139 381]
SMsplice 3SS: [239 440]
top_k =  500
Partition function (log Z): -3.6709124626900547

Sorted 5' Splice Sites (High to Low Probability):
Position 381: 0.991818075027555
Position 139: 0.8800983046609765
Position 679: 0.017416130924781507
Position 126: 0.008114819569710944
Position 784: 0.007514481257311057
Position 79: 0.0028361107003199416
Position 92: 0.0027420376430146577
Position 116: 0.0018334544391594132
Position 694: 0.000906376174149628
Position 685: 0.0006621274257668523
Position 704: 0.0005775797127607295
Position 188: 0.0003722848857493339
Position 604: 0.00031438295373814617
Position 394: 0.00021095605559333917
Position 646: 0.0001726610461268025
Position 149: 0.0001382128596725342
Position 358: 0.0001319897509090054
Position 610: 0.00013166520002100436
Position 39: 0.00012680088437138853
Position 1318: 8.559291291370575e-05
Position 385: 7.153003984952777e-05
Position 1508: 4.721087044759427e-05
Position 180: 4.1076246783395115e-05
Position 559: 4.080932476694408e-05
Position 790: 3.9233922089138966e-05
Position 8: 2.8195329337639933e-05
Position 1390: 2.7078253333027157e-05
Position 84: 2.0809162905434893e-05
Position 938: 1.845715336979842e-05
Position 387: 1.433773882436877e-05
Position 1402: 1.0220050992990111e-05
Position 1406: 8.959693876051377e-06
Position 1495: 6.373009988445129e-06
Position 210: 5.870066471523091e-06
Position 601: 4.8158254776657955e-06
Position 319: 4.1682866805496556e-08
Position 375: 2.8011823834616463e-08
Position 398: 2.2785712636113356e-08
Position 451: 2.0998630937622505e-08
Position 445: 1.649779286166392e-08
Position 505: 1.4719153173622441e-08
Position 338: 1.2926478960911815e-08
Position 422: 7.117268614743092e-09
Position 428: 2.0746599963345104e-09
Position 1121: 9.132406653091242e-10
Position 1073: 8.967756599124522e-10
Position 896: 8.063455849522881e-10
Position 898: 8.024864565345284e-10
Position 983: 7.573579158859962e-10
Position 295: 1.7549898966070787e-10
Position 287: 1.1557477986852132e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 440: 0.9319473450256693
Position 239: 0.8609185168600917
Position 843: 0.01603565228912187
Position 736: 0.015153375933632583
Position 210: 0.014039673941581782
Position 510: 0.012911231391091217
Position 470: 0.01247647320619327
Position 261: 0.012176789723069726
Position 1224: 0.006943208249775568
Position 300: 0.004603709036349017
Position 478: 0.0045408316949394545
Position 251: 0.004454392336212181
Position 1344: 0.003607752317382002
Position 901: 0.00354647055484196
Position 1212: 0.0028378822470655177
Position 1251: 0.001962811231661611
Position 495: 0.0011509543250675315
Position 516: 0.0011365729982793632
Position 788: 0.0011032604965735017
Position 451: 0.0010405520361085943
Position 762: 0.000809882390413267
Position 1255: 0.0005913578557604169
Position 1556: 0.0005596359840997215
Position 1532: 0.0005516337306475529
Position 1380: 0.0004489124946185912
Position 1194: 0.0004438266735157015
Position 567: 0.0003782604018125036
Position 180: 6.966139507960828e-05
Position 805: 2.5788897296313682e-05
Position 1386: 1.689046605734318e-05
Position 1084: 1.6187036270158124e-05
Position 1069: 1.4153954625137413e-05
Position 633: 9.795124186561698e-06
Position 1260: 8.553684657336685e-06
Position 1502: 8.139607269115662e-06
Position 1269: 7.294583687466058e-06
Position 951: 7.277621812110285e-06
Position 333: 6.8800923260963296e-06
Position 654: 6.528151234857894e-06
Position 726: 6.123338411043124e-06
Position 672: 4.61277258879626e-06
Position 1491: 3.887476941000234e-06
Position 582: 3.054267287497446e-06
Position 577: 2.6619933920905244e-06
Position 168: 2.534314591530693e-07
Position 79: 2.1880888284766982e-07
Position 351: 1.553222652242469e-07
Position 158: 5.996339651682755e-08
Position 304: 2.6526897886085855e-08
Position 302: 8.472261438169955e-09
Position 124: 4.525080745127783e-09
Position 92: 3.3625524394737037e-09
Position 271: 3.162864959815483e-09
Position 84: 1.6097819726021312e-09
Position 381: 3.833617429865848e-10
Position 53: 3.786221183460772e-10
Position 99: 2.0882169894533739e-10
Position 126: 5.567580324294586e-12
Position 170: 4.1635967837485105e-12
Position 385: 6.100209340367488e-14
Position 392: 4.404778819526139e-14
