Gene = bib
index = 1628
Annotated 5SS: [ 502 2311 3083 7818]
Annotated 3SS: [2143 2955 7609 8621]
SMsplice 5SS: [ 502 2311 3083 7818]
SMsplice 3SS: [2143 2955 7609 8621]
top_k =  500
Partition function (log Z): 4.703792702802224

Sorted 5' Splice Sites (High to Low Probability):
Position 502: 0.9990311673244755
Position 2311: 0.9894463240829228
Position 7818: 0.9854833036649259
Position 3083: 0.9844063453011882
Position 7120: 0.159476925300838
Position 3696: 0.07132555091201305
Position 3762: 0.05868504907213506
Position 8561: 0.030122285824027838
Position 8941: 0.023953623889528847
Position 8030: 0.023500025877402422
Position 7325: 0.02246209791767395
Position 8040: 0.01858645215805781
Position 7516: 0.013140309708266044
Position 4251: 0.011766948509056716
Position 9047: 0.010442294576375098
Position 8995: 0.007993038582422922
Position 6192: 0.007488272800623575
Position 9146: 0.005320570847998551
Position 9749: 0.0046897252567595325
Position 4446: 0.004657092897933001
Position 7107: 0.004330458994828823
Position 10145: 0.004193769940755979
Position 8979: 0.003994424809158446
Position 9071: 0.003039084859554655
Position 864: 0.0030301778111102573
Position 8235: 0.002843189293200674
Position 1951: 0.0028412278844203893
Position 1396: 0.002715265571570073
Position 9816: 0.0027007021600454033
Position 8738: 0.0026809525278566034
Position 10412: 0.002466019717364328
Position 10712: 0.0024458839932872444
Position 8315: 0.0021554489789976923
Position 8712: 0.0017389654848561217
Position 7309: 0.0017387762230678709
Position 1902: 0.0017099449392045363
Position 1878: 0.0015167263664535582
Position 95: 0.0014042194593405781
Position 1245: 0.0013949554675604192
Position 10725: 0.0013728296224051317
Position 9196: 0.0013204420980580727
Position 8230: 0.0012652048558630406
Position 8867: 0.0012508160128412713
Position 1042: 0.001042496844603398
Position 181: 0.0010281239933212583
Position 2700: 0.0009499118657942099
Position 8809: 0.0009191761001346784
Position 76: 0.0008816042867820314
Position 9578: 0.0008758532865210625
Position 2601: 0.0007932815217473179
Position 8075: 0.0007887916643642261
Position 3149: 0.0007863900571113209
Position 9092: 0.0007489202087394601
Position 7089: 0.0006373661356875543
Position 8019: 0.0005754559145475088
Position 127: 0.0005661979925165603
Position 4157: 0.0005493147642847572
Position 7043: 0.0005436007580352157
Position 1534: 0.0005262557208288736
Position 9076: 0.00045825278270385857
Position 5165: 0.0004559015404299864
Position 10328: 0.00044099334169073347
Position 3934: 0.0004120893806598776
Position 8744: 0.00040092243564014625
Position 6040: 0.000374275480962573
Position 6104: 0.00033900333564636367
Position 762: 0.0003270105380585027
Position 7872: 0.00032096291035607665
Position 9217: 0.0003133045869264674
Position 4258: 0.0002896507569083033
Position 4057: 0.0002874228804188454
Position 9605: 0.0002871995128510206
Position 7716: 0.0002580136604776206
Position 1563: 0.00025329767429979854
Position 3994: 0.00024020663630717446
Position 120: 0.0002386792700194573
Position 941: 0.00022591118508464325
Position 89: 0.0002194267620400104
Position 3820: 0.0002054751038143129
Position 5369: 0.00020535917511088322
Position 2705: 0.0002007325428340937
Position 1313: 0.00019245323893669192
Position 393: 0.00017388096087353282
Position 743: 0.00015865181022567515
Position 4879: 0.0001564363799390682
Position 2867: 0.0001536969463009038
