Gene = Srp19
index = 1519
Annotated 5SS: [178]
Annotated 3SS: [249]
SMsplice 5SS: [178]
SMsplice 3SS: [249]
top_k =  500
Partition function (log Z): -6.283675004074364

Sorted 5' Splice Sites (High to Low Probability):
Position 178: 0.8441487103264262
Position 225: 0.12845266826058466
Position 211: 0.023425500571443627
Position 327: 0.01276195706331041
Position 329: 0.012313092177781289
Position 26: 0.00826206937885735
Position 465: 0.0012693843040190104
Position 237: 0.000204550422684534
Position 303: 0.00017537623982120766
Position 484: 0.00010536894801315775
Position 470: 6.594267633253574e-05
Position 4: 4.944619101479888e-05
Position 449: 3.3491459822292576e-05
Position 64: 2.5732300756934403e-05
Position 367: 2.458974639215027e-05
Position 35: 1.1415066658348109e-05
Position 447: 8.301113424527514e-06
Position 406: 7.399821864789545e-06
Position 441: 6.446739902526654e-06
Position 240: 5.795648668272778e-06
Position 455: 3.3245468033959597e-06
Position 436: 1.784425023997961e-06
Position 371: 1.6382482816399357e-06
Position 362: 1.5356467348394036e-06
Position 125: 6.896577414367394e-07
Position 444: 3.983374107545048e-07
Position 385: 7.651117398302372e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 249: 0.5709335612097192
Position 385: 0.26154511130310604
Position 282: 0.18887019325105237
Position 76: 0.006668007308446699
Position 534: 0.0016473558156815018
Position 98: 0.001223686292918359
Position 397: 0.00014032696428882826
Position 298: 5.499811543394277e-05
Position 342: 4.659634228597277e-05
Position 111: 3.5533036796558564e-05
Position 423: 2.6505549906455256e-05
Position 322: 2.637787399280423e-05
Position 426: 2.463296801629031e-05
Position 592: 2.257624043437428e-05
Position 538: 1.9249539301684644e-05
Position 332: 1.5401509843373686e-05
Position 460: 1.2915726577700409e-05
Position 403: 1.1274668549417157e-05
Position 125: 8.807286100338108e-06
Position 406: 7.485385519928183e-06
Position 289: 6.773987299760191e-06
Position 319: 6.5767148866818895e-06
Position 589: 4.572911423713533e-06
Position 562: 3.1297144339136246e-06
Position 547: 1.6461751679850907e-06
Position 122: 1.4167159155917361e-06
Position 301: 8.800643483885014e-07
Position 604: 3.5196774471859175e-07
Position 511: 2.7806638201144813e-07
Position 553: 2.2811164789158216e-07
Position 53: 6.542062603677307e-08
Position 153: 5.520371501631251e-08
Position 598: 5.365255148146088e-08
Position 676: 3.4948948603195046e-08
Position 181: 1.0261526237341086e-08
Position 175: 7.404331027692917e-09
Position 147: 6.242144981420066e-09
Position 211: 1.8550860462139342e-09
Position 188: 2.4796799704194832e-11
