Gene = fok
index = 1704
Annotated 5SS: [493]
Annotated 3SS: [2054]
SMsplice 5SS: [493]
SMsplice 3SS: [5597]
top_k =  500
Partition function (log Z): -7.955976890808305

Sorted 5' Splice Sites (High to Low Probability):
Position 493: 0.8008525414978459
Position 1996: 0.6451239945698634
Position 2284: 0.5084163019497624
Position 1656: 0.5021270786082022
Position 3136: 0.17114097008838375
Position 2282: 0.16462917686767187
Position 1243: 0.13504773555970598
Position 3589: 0.10422082385221815
Position 1947: 0.0805871395837079
Position 758: 0.07864004610290137
Position 4335: 0.07829127676887328
Position 2394: 0.027210152791079766
Position 3410: 0.0262565068256776
Position 2719: 0.016587428600264627
Position 433: 0.015126697276213491
Position 1428: 0.012331758017206597
Position 5088: 0.00826742886245194
Position 3754: 0.008048472995151167
Position 3322: 0.007734973863919902
Position 1677: 0.007571220155676012
Position 2925: 0.007537127237698352
Position 5065: 0.006496257523991218
Position 3307: 0.006161093385247679
Position 3963: 0.0058489082166046265
Position 4339: 0.004860568138968102
Position 925: 0.004580610499323653
Position 1247: 0.004279675531704347
Position 3140: 0.0036615951617985955
Position 2974: 0.0036296788383474348
Position 1020: 0.0030952621405622572
Position 2288: 0.0029407373374762866
Position 1660: 0.00291736060175761
Position 5698: 0.0028016022759801257
Position 147: 0.0018957872012704904
Position 996: 0.0017487987741971825
Position 125: 0.0014677122955357703
Position 111: 0.0008595682470399327
Position 198: 0.0008358481956379835
Position 1910: 0.0008258739366982595
Position 1665: 0.0008015854957041383
Position 1147: 0.0007811973707375929
Position 1138: 0.0006592176636487674
Position 592: 0.0005717444602376566
Position 2317: 0.0004994759012438389
Position 2844: 0.0004777029840109121
Position 164: 0.0004613638818891362
Position 1339: 0.0004536016139656832
Position 3005: 0.00041851855343658854
Position 585: 0.00037394057925541193
Position 1891: 0.0003647078182578593
Position 1964: 0.0003503283719270998
Position 863: 0.0003280163282584543
Position 2512: 0.0002835540748407252
Position 1510: 0.00028062342686320724
Position 1284: 0.0002754501508644211
Position 932: 0.00021705556784290121
Position 1680: 0.0002115903123195452
Position 1253: 0.0001967019096475529
Position 762: 0.00013069627690475788
Position 3593: 0.00012004334694674273
Position 566: 0.00011918250915346984
Position 1298: 9.390803734564648e-05
Position 1441: 8.957138012297834e-05
Position 1683: 8.76832162925208e-05
Position 481: 8.717152394391443e-05
Position 1636: 7.973457364027701e-05
Position 891: 7.786130240009919e-05
Position 999: 6.113446601126941e-05
Position 1617: 5.8403075997024615e-05
Position 128: 5.5193705851019064e-05
Position 1194: 4.7793726800279616e-05
Position 310: 4.3674343499734904e-05
Position 670: 4.327520074454705e-05
Position 2535: 4.3054570330397673e-05
Position 2348: 1.7818013694717897e-05
Position 281: 1.600056109957224e-05
Position 662: 1.3393833809624812e-05
Position 1032: 8.944469036871648e-06
Position 664: 5.478162844770863e-06
Position 297: 4.727890893944236e-06
Position 94: 4.1838547945157245e-06
Position 682: 3.2720886045429826e-06
Position 1113: 2.496453194249538e-06
Position 666: 1.9337352374914003e-06
Position 680: 1.4122792508462377e-06
Position 678: 1.2455058762380395e-06
Position 342: 1.1101675890165168e-06
Position 465: 1.054597960209861e-06
Position 486: 9.679260459395014e-07
Position 7: 9.298987304601522e-07
Position 674: 8.827037330848977e-07
Position 583: 3.9325083832148863e-07
Position 577: 1.3952283028610212e-07
Position 443: 1.3626529484810226e-07
Position 596: 1.0939640202644851e-07
Position 604: 4.8807904286985475e-08
Position 594: 4.725962858911806e-08
Position 422: 3.567055681724869e-08
Position 357: 2.615148209525721e-08
Position 731: 2.169772718447118e-08
Position 676: 2.0127795015899557e-08
Position 808: 1.8874696930755888e-08
Position 654: 1.881280839903072e-08
Position 783: 1.3962623956221825e-08
Position 947: 8.276758514907035e-09
Position 668: 6.710312481426424e-09
Position 745: 3.5578054761569245e-09
Position 599: 3.159942269036687e-09
Position 607: 3.0312436456422383e-09
Position 386: 2.564412578797368e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 2054: 0.8507279804071696
Position 5597: 0.7754484183519699
Position 1813: 0.509800037155261
Position 1481: 0.27859653400151463
Position 3206: 0.2081116862187486
Position 1798: 0.1532498497120986
Position 993: 0.07880348914607829
Position 2654: 0.0776937007138533
Position 1084: 0.07421110613127412
Position 2627: 0.047822108494245646
Position 4256: 0.04455618483363338
Position 1759: 0.041006702127774006
Position 1581: 0.03890551162737859
Position 1774: 0.03456326123793722
Position 3054: 0.030006366758139964
Position 1456: 0.023749783873752588
Position 1319: 0.022584123411461404
Position 4843: 0.021432428764098028
Position 1173: 0.01717097862833137
Position 3674: 0.01519193140478864
Position 3465: 0.015156645027963355
Position 1384: 0.015049468009512136
Position 2355: 0.011667694778774898
Position 4485: 0.011464146253038794
Position 2898: 0.009928872962930194
Position 1122: 0.009064452587234642
Position 1284: 0.004568922519398749
Position 1301: 0.003711269648775295
Position 2699: 0.0034423806127413994
Position 1465: 0.003413125694643952
Position 4602: 0.0033829343181285797
Position 816: 0.003116518479564682
Position 5448: 0.0030731420122365547
Position 1497: 0.002876027409922481
Position 5752: 0.0028016022759801257
Position 1534: 0.00277330488886466
Position 689: 0.0026845029251496943
Position 891: 0.0024163062100117064
Position 328: 0.0023158542128176025
Position 3008: 0.0020028365700592537
Position 1431: 0.0019374773566460416
Position 3350: 0.001724311495377865
Position 1731: 0.0015997511344271376
Position 715: 0.0013389432291524474
Position 844: 0.0011361048985264212
Position 647: 0.0009128390474673295
Position 630: 0.0008683487808032424
Position 720: 0.000804306637836382
Position 2417: 0.0006076712394039864
Position 995: 0.0005691176559883506
Position 297: 0.00046079865945609585
Position 1367: 0.00039223323158671256
Position 1138: 0.00037750086565457186
Position 2376: 0.00034482374685631655
Position 1093: 0.00025024387196582185
Position 1143: 0.00023147098940516883
Position 1097: 0.00022449759853834908
Position 1509: 0.00020837206110159838
Position 907: 0.0001901531154046434
Position 854: 0.0001746325589571047
Position 662: 0.00015735215014280746
Position 333: 0.00015329614688370114
Position 2764: 0.00012178254334425286
Position 1635: 0.0001019049810738022
Position 361: 9.883307676099306e-05
Position 634: 6.420001203854235e-05
Position 163: 5.5430725811394225e-05
Position 1104: 4.637281789697249e-05
Position 1146: 4.044323649593682e-05
Position 310: 3.0191774662735383e-05
Position 761: 2.540250395198032e-05
Position 2059: 2.524596387848536e-05
Position 963: 2.46697854239872e-05
Position 1041: 2.2339161042092277e-05
Position 397: 2.100362749015774e-05
Position 1019: 1.3593585009921541e-05
Position 514: 1.300825350607503e-05
Position 561: 1.1844296925164606e-05
Position 897: 1.1648598575062604e-05
Position 969: 1.1003049210231628e-05
