Gene = Su(P)
index = 1530
Annotated 5SS: [ 837 1308]
Annotated 3SS: [ 900 1369]
SMsplice 5SS: [ 837 1308]
SMsplice 3SS: [ 900 1369]
top_k =  500
Partition function (log Z): -2.4930964994875175

Sorted 5' Splice Sites (High to Low Probability):
Position 837: 0.9790579094451783
Position 1308: 0.9677180519827552
Position 592: 0.22279610980280615
Position 496: 0.057706711611095474
Position 601: 0.016856288010594165
Position 1317: 0.016527967798977115
Position 446: 0.014574634751188066
Position 583: 0.007568799117055733
Position 579: 0.0023720574989467545
Position 1147: 0.0018839133214568048
Position 403: 0.0014560833896943431
Position 152: 0.0013212536479332015
Position 640: 0.0011591109364894473
Position 441: 0.0006213067025968725
Position 856: 0.0005281238983511477
Position 841: 0.00044569844146518143
Position 1138: 0.00043550585057903894
Position 55: 0.0004215591754426393
Position 289: 0.00031617235678850324
Position 30: 0.0002509607930761429
Position 1433: 0.0002158263194504166
Position 1021: 0.00020166178842778286
Position 631: 0.00017333035292981447
Position 457: 0.00015756303999402973
Position 223: 0.0001462951249280857
Position 817: 9.426754372616317e-05
Position 124: 9.137168819535884e-05
Position 1084: 6.462544889746526e-05
Position 1269: 6.393780651609106e-05
Position 544: 6.332130884660932e-05
Position 535: 5.963714878137339e-05
Position 913: 5.807581325018392e-05
Position 1133: 3.714460642286746e-05
Position 851: 3.6753555118713304e-05
Position 792: 3.4328168548513675e-05
Position 1061: 3.432219090893429e-05
Position 1068: 2.7636746818814907e-05
Position 576: 2.6141257602166407e-05
Position 210: 2.535398634758901e-05
Position 73: 2.5002780226671945e-05
Position 468: 2.483551195844371e-05
Position 1221: 2.2788444091614224e-05
Position 310: 2.185538363936371e-05
Position 424: 2.043929626193004e-05
Position 1071: 1.851797345568075e-05
Position 538: 1.7138810989346856e-05
Position 889: 1.66024070836935e-05
Position 312: 1.6344986701571903e-05
Position 477: 1.4993983918093752e-05
Position 650: 1.2593643696060583e-05
Position 1287: 1.1680890689906036e-05
Position 217: 1.1194745216790818e-05
Position 1028: 1.0621326842183386e-05
Position 61: 1.0202453070291118e-05
Position 1000: 9.049862894729627e-06
Position 321: 8.596808037049495e-06
Position 1238: 8.340689899264408e-06
Position 553: 8.183941197177036e-06
Position 330: 7.673944642680765e-06
Position 941: 6.308180517501235e-06
Position 479: 5.119185890256338e-06
Position 1276: 4.9966547578208825e-06
Position 462: 4.8292899850700285e-06
Position 16: 4.696936968476735e-06
Position 1267: 3.1342358223255945e-06
Position 1247: 2.832332830235018e-06
Position 1003: 2.7734120627976318e-06
Position 717: 2.763761106943904e-06
Position 8: 2.224036914655183e-06
Position 89: 2.0934114817816524e-06
Position 488: 1.6833735205860821e-06
Position 1412: 1.4651456232440685e-06
Position 168: 5.40627112929971e-07
Position 274: 4.7460420708530335e-07
Position 1370: 3.6939574175633226e-07
Position 1335: 3.194827145011836e-07
Position 963: 3.101943790894028e-07
Position 1113: 3.08888965731268e-07
Position 102: 2.8278268239939126e-07
Position 1330: 1.8593862250523513e-07
Position 1419: 1.3735870343703026e-07
Position 982: 1.3090729686321534e-07
Position 1395: 1.2478041068456196e-07
Position 1165: 1.1721630764515226e-07
Position 1399: 2.568737034954943e-08
Position 128: 1.7799354754333415e-09
Position 84: 7.104677632033463e-10
Position 112: 2.38355342481141e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1369: 0.9871828408494205
Position 900: 0.9565256025117276
Position 670: 0.2465516585269329
Position 684: 0.05204914855544841
Position 564: 0.02225552832350861
Position 970: 0.01951142929321294
Position 495: 0.004204574575286418
Position 1216: 0.0013577904406996291
Position 913: 0.0013238464154373818
Position 1094: 0.0012150673343910132
Position 618: 0.0005519086109658475
Position 468: 0.00045201352439586703
Position 887: 0.0003679909004370843
Position 1125: 0.000355634285097825
Position 615: 0.0002512873836503255
Position 1491: 0.00022567413887634975
Position 100: 0.00020118633323125453
Position 544: 0.00019664022634610415
Position 121: 0.00015356221506701787
Position 921: 0.00013887929669515264
Position 1392: 0.0001303783761892641
Position 690: 0.0001135214602488108
Position 474: 9.371949016657e-05
Position 1013: 9.367254961782489e-05
Position 1165: 6.281991722276265e-05
Position 1257: 6.041425758573908e-05
Position 717: 6.000571135843566e-05
Position 210: 5.287578466670277e-05
Position 636: 3.92613663286071e-05
Position 989: 3.286897898942077e-05
Position 292: 2.8429618290987468e-05
Position 933: 2.592503175333812e-05
Position 142: 1.80014284662912e-05
Position 1137: 1.7433671399947754e-05
Position 762: 1.0630242097310945e-05
Position 1188: 9.718825157654025e-06
Position 918: 9.604601933918177e-06
Position 274: 7.861573050043139e-06
Position 591: 5.483316103921418e-06
Position 588: 5.300276479410506e-06
Position 1221: 5.250702646532525e-06
Position 1099: 2.342919175663601e-06
Position 327: 2.3284199896691103e-06
Position 337: 1.940105904341436e-06
Position 1108: 1.78365193039557e-06
Position 1407: 1.6204973922373999e-06
Position 1048: 1.55258875069706e-06
Position 267: 1.4827841689461887e-06
Position 650: 1.2584100920784078e-06
Position 220: 1.176480886830615e-06
Position 813: 1.1076951141449047e-06
Position 759: 1.0273800625088982e-06
Position 435: 8.092115395055519e-07
Position 355: 2.7071458839416396e-07
Position 1456: 2.2899935302076597e-07
Position 1419: 1.619489045780356e-07
Position 363: 9.679304327465341e-08
Position 242: 8.647536120078356e-08
Position 55: 1.3544761553409676e-09
Position 146: 1.2163459276830986e-09
Position 61: 1.1816098887347596e-09
Position 366: 3.967332366506806e-10
Position 403: 2.354108995657448e-10
Position 372: 2.3101770437610947e-10
Position 246: 1.504575563934722e-11
