Gene = PIG-U
index = 1358
Annotated 5SS: [ 187  872 1206]
Annotated 3SS: [ 246  933 1265]
SMsplice 5SS: [ 187  872 1206]
SMsplice 3SS: [ 246  933 1265]
top_k =  500
Partition function (log Z): 4.277325471623626

Sorted 5' Splice Sites (High to Low Probability):
Position 1206: 0.9967743078985442
Position 872: 0.9906342024874416
Position 187: 0.9853292520277651
Position 476: 0.050739723929218314
Position 303: 0.0380970866039402
Position 603: 0.02048071120343452
Position 1516: 0.008183866321293497
Position 191: 0.0044879176069420774
Position 645: 0.0036809208760622027
Position 1449: 0.0019254283445990401
Position 573: 0.0016860191027000704
Position 540: 0.0016667066646367447
Position 865: 0.0010940345664701046
Position 503: 0.0006882003745753267
Position 546: 0.00041756233650180283
Position 1068: 0.0004140388160632444
Position 200: 0.0002866603197544233
Position 344: 0.000263064975685262
Position 792: 0.00025246625314042384
Position 860: 0.00017367056359754958
Position 756: 0.00017226049824974128
Position 1106: 0.00015070562772772977
Position 362: 0.00014969677356051813
Position 424: 0.00014125737144612748
Position 976: 8.962736534316889e-05
Position 901: 8.706998933434787e-05
Position 714: 8.416331240741919e-05
Position 617: 7.186021402937606e-05
Position 1046: 7.165820365653243e-05
Position 1210: 6.879263836983953e-05
Position 562: 6.18657693045583e-05
Position 1197: 5.951302075598444e-05
Position 766: 4.609930756792613e-05
Position 675: 4.3642486012089785e-05
Position 693: 4.2331530358459324e-05
Position 1535: 4.094789161660907e-05
Position 1470: 3.4670138512159043e-05
Position 1562: 2.860635783852717e-05
Position 994: 2.3231007424066436e-05
Position 1508: 1.8865019229865655e-05
Position 150: 1.8634537239631747e-05
Position 435: 1.8214636827859017e-05
Position 223: 1.8102312120808512e-05
Position 1339: 1.761423343832982e-05
Position 738: 1.70282723035078e-05
Position 905: 1.668226565000862e-05
Position 1138: 1.571432934485751e-05
Position 155: 1.1739690532941273e-05
Position 1058: 7.796574859136865e-06
Position 683: 7.527092393472765e-06
Position 1286: 6.480376519774865e-06
Position 813: 5.989993050455411e-06
Position 894: 5.342943624116895e-06
Position 99: 5.316876367098668e-06
Position 1380: 4.0890618755791616e-06
Position 1252: 2.997626003168184e-06
Position 25: 2.572939539408762e-06
Position 799: 2.5702606158059744e-06
Position 1186: 2.5137791845768267e-06
Position 807: 1.4613541828544177e-06
Position 1157: 1.3654409830297412e-06
Position 828: 1.2350249880072305e-06
Position 1529: 1.199772246607916e-06
Position 1294: 1.1126587381445171e-06
Position 1015: 7.766974417008153e-07
Position 796: 6.668652072509668e-07
Position 1224: 5.744339897153113e-07
Position 274: 5.485510312311417e-07
Position 1112: 5.095640861556788e-07
Position 1393: 4.2654710611753975e-07
Position 1442: 3.9714419302729403e-07
Position 1462: 1.8528691944958704e-07
Position 68: 1.9022961654534905e-08
Position 234: 1.6395236981090782e-08
Position 29: 4.341594581259424e-09
Position 115: 4.23704855877972e-09
Position 1304: 3.2130503024294976e-09
Position 246: 1.6330208591743488e-09
Position 1283: 1.1842502378578584e-09
Position 1127: 6.077685405401402e-10
Position 1227: 4.44847746696642e-10
Position 966: 3.8598128230067777e-10
Position 1432: 1.1635098346331247e-10
Position 915: 2.1722575414506183e-11
Position 1453: 9.047076389331754e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 1265: 0.9966964463324381
Position 933: 0.9798976008520907
Position 246: 0.8714877714944856
Position 723: 0.12221280746513599
Position 362: 0.03929103819951131
Position 272: 0.034765576347385224
Position 675: 0.024060365266369083
Position 955: 0.014081378548734095
Position 700: 0.007556777371802373
Position 1567: 0.0063552013685859365
Position 562: 0.004702494318041525
Position 1635: 0.001703551836170984
Position 760: 0.0012028331735133087
Position 1134: 0.0007668141744466255
Position 1593: 0.0007574286932189485
Position 650: 0.0007200669523114848
Position 1529: 0.0006561943826254704
Position 1573: 0.0006227786964151245
Position 1408: 0.00033411326711075526
Position 328: 0.0002206003904098411
Position 440: 0.00015474064691364732
Position 1352: 9.714289608506497e-05
Position 252: 9.547481494042333e-05
Position 838: 8.375715254189818e-05
Position 796: 5.9448015374437404e-05
Position 1535: 5.602172513713194e-05
Position 1516: 4.848414994169572e-05
Position 813: 4.1047434849003514e-05
Position 610: 2.792318538184751e-05
Position 1520: 2.7920927138699083e-05
Position 1100: 2.6991403078620367e-05
Position 449: 2.590556309606621e-05
Position 1068: 2.3741924993686754e-05
Position 424: 2.2690647085418293e-05
Position 446: 1.6952042817412853e-05
Position 1474: 1.2348470534518976e-05
Position 1477: 7.802749096166171e-06
Position 1547: 6.897219099523404e-06
Position 1610: 6.444587049090872e-06
Position 1146: 5.356357842597282e-06
Position 1554: 3.514199590644282e-06
Position 430: 3.3953245834800333e-06
Position 455: 3.13689704831742e-06
Position 1499: 2.672416019605498e-06
Position 1075: 2.4987988256977925e-06
Position 1508: 1.975373304704201e-06
Position 1194: 1.694857223426016e-06
Position 1084: 1.0005705288931167e-06
Position 1615: 8.842803946557234e-07
Position 1227: 1.4964516930944204e-07
Position 1495: 1.1896106028690602e-07
Position 234: 1.0574840945650223e-07
Position 254: 4.021980277397753e-08
Position 458: 1.5455336116203047e-08
Position 214: 5.395503933751348e-09
Position 521: 2.2738548910309512e-09
Position 223: 1.395997934243537e-09
Position 68: 1.2684109453523133e-09
Position 187: 1.532226604896737e-10
Position 274: 1.009204188454723e-10
Position 182: 6.603420351507865e-11
Position 203: 5.755132535942222e-11
Position 464: 2.400546821243383e-11
Position 155: 1.0288330126932293e-11
Position 200: 3.6688126077436835e-12
Position 473: 1.7602273215505348e-12
Position 191: 1.3810256072994991e-13
Position 150: 2.2842230417969468e-15
Position 467: 1.097480195882832e-19
