Gene = PIG-C
index = 1357
Annotated 5SS: [541]
Annotated 3SS: [642]
SMsplice 5SS: [541]
SMsplice 3SS: [598]
top_k =  500
Partition function (log Z): -6.282318747908557

Sorted 5' Splice Sites (High to Low Probability):
Position 541: 0.9909398670435544
Position 194: 0.17580771426032699
Position 161: 0.011359930417738449
Position 13: 0.006474953798547936
Position 1109: 0.004087259770922684
Position 573: 0.0007872316537130129
Position 818: 0.0006633712829492087
Position 1043: 0.0005798408395236654
Position 202: 0.0005309884241739848
Position 833: 0.00045794790676286537
Position 847: 0.0004213194923544745
Position 828: 0.00029407269518531376
Position 43: 0.00026989665850165196
Position 391: 0.0001876580268421323
Position 564: 7.181928239265154e-05
Position 292: 6.800925552694515e-05
Position 394: 6.398633497137312e-05
Position 174: 4.207891849381566e-05
Position 1054: 2.58534041388827e-05
Position 76: 2.256486033260537e-05
Position 327: 2.0546675563188188e-05
Position 344: 1.59549989224171e-05
Position 532: 8.727265049121072e-06
Position 385: 8.52557541951042e-06
Position 705: 7.646759830250421e-06
Position 566: 5.610308762181516e-06
Position 87: 5.56943897400477e-06
Position 299: 5.2899113982457785e-06
Position 523: 4.332948178477894e-06
Position 632: 2.101202130701993e-06
Position 1026: 1.4142374499805041e-06
Position 271: 7.287719450287676e-08
Position 739: 5.1860285971487535e-08
Position 727: 1.0380261531112458e-08
Position 481: 1.3385411873375491e-09
Position 625: 9.850178015118348e-11
Position 273: 7.347855715149951e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 598: 0.5431733757574496
Position 637: 0.3458285641264818
Position 263: 0.1361980255363401
Position 642: 0.06650804637052517
Position 269: 0.02244786123397497
Position 299: 0.01963156024476652
Position 918: 0.013183159440128212
Position 921: 0.010171613658100268
Position 915: 0.009240224079393686
Position 216: 0.006861694066351379
Position 69: 0.006177331477099536
Position 1164: 0.005715371460702305
Position 685: 0.00515853488269348
Position 441: 0.0010510085046674061
Position 391: 0.0008753932947008979
Position 313: 0.00032711900464284965
Position 1175: 0.000322058758087294
Position 1002: 0.00016404980605794946
Position 164: 4.942484330359191e-05
Position 202: 4.621830291478073e-05
Position 449: 3.675498487928795e-05
Position 526: 2.2589325922534912e-05
Position 772: 1.3791369962635496e-05
Position 673: 9.335095772105378e-06
Position 341: 4.909107338061274e-06
Position 1008: 4.6786015751144865e-06
Position 350: 3.784562616904321e-06
Position 128: 3.5940243568282103e-06
Position 1172: 2.7862191506499965e-06
Position 1021: 2.065309326800204e-06
Position 1026: 1.984359961550298e-06
Position 1124: 1.7786899246610646e-06
Position 81: 1.5434038634139228e-06
Position 337: 1.0820933185968168e-06
Position 184: 5.952715432842541e-07
Position 344: 2.104762725084215e-07
Position 138: 9.723625632744735e-08
Position 540: 5.222987538383001e-09
Position 369: 6.713312520058053e-15
