Gene = Csl4
index = 1110
Annotated 5SS: [256]
Annotated 3SS: [309]
SMsplice 5SS: [256]
SMsplice 3SS: [309]
top_k =  500
Partition function (log Z): -3.0909227532213372

Sorted 5' Splice Sites (High to Low Probability):
Position 256: 0.9907074313781463
Position 767: 0.01803116874161377
Position 248: 0.00729713470602937
Position 23: 0.005111980947227242
Position 823: 0.0023754158933207174
Position 260: 0.001783264075721761
Position 319: 0.00024596990003119564
Position 316: 0.0002386032428470528
Position 778: 0.0002373175145572437
Position 730: 0.00019475808763760264
Position 888: 0.00017652692139628784
Position 927: 0.00017153151402152562
Position 721: 0.00016859890031040945
Position 414: 0.00010480046181297324
Position 219: 7.660271322445615e-05
Position 556: 7.519556895737415e-05
Position 757: 5.75427711067695e-05
Position 743: 4.4627459684857824e-05
Position 919: 3.809549881868411e-05
Position 430: 2.8334100428615975e-05
Position 59: 2.5434906344637997e-05
Position 37: 2.4601872546373946e-05
Position 894: 2.3882159845737123e-05
Position 229: 1.4332201076053812e-05
Position 667: 1.0585051747358624e-05
Position 827: 7.331708973791962e-06
Position 508: 6.290231891120383e-06
Position 661: 6.033753131854198e-06
Position 687: 4.735220708408481e-06
Position 522: 4.637622550753595e-06
Position 25: 4.454616761939718e-06
Position 6: 2.295225652397507e-06
Position 817: 2.1839736859246376e-06
Position 632: 2.0976806897191115e-06
Position 652: 1.9239154629447724e-06
Position 941: 1.5481806597522952e-06
Position 803: 1.4355077911004044e-06
Position 27: 1.375684930593216e-06
Position 439: 2.6173323925760813e-07
Position 121: 4.2769210258663776e-08
Position 101: 2.019175017666971e-08
Position 169: 1.910168673042835e-08
Position 385: 1.8072544106932665e-08
Position 484: 1.0739204971691934e-08
Position 576: 8.823306385244604e-09
Position 370: 4.31720191624416e-09
Position 276: 2.638408991862139e-09
Position 124: 1.7702470335625353e-09
Position 323: 1.4788400897137813e-09
Position 391: 8.528792571973455e-10
Position 82: 6.44616470916243e-10
Position 616: 2.758518404023832e-11
Position 309: 7.443301481444297e-12
Position 325: 6.208969850225813e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 309: 0.9600086128968186
Position 315: 0.030465531994666846
Position 823: 0.015214507235243637
Position 358: 0.009220260510563402
Position 111: 0.004159710560403776
Position 865: 0.0026824408697473188
Position 981: 0.0012800258109962237
Position 108: 0.0008944815160280085
Position 837: 0.0007976958617024289
Position 914: 0.0007086138357642146
Position 887: 0.0006272076404156798
Position 990: 0.0003121362632389462
Position 414: 0.00015969385383882511
Position 941: 0.00012335055014527815
Position 477: 0.00011723404578733062
Position 827: 9.229201602986806e-05
Position 379: 8.024235102906567e-05
Position 576: 6.367027623518027e-05
Position 455: 6.24282660506535e-05
Position 632: 4.281365726290377e-05
Position 789: 3.995899601118394e-05
Position 152: 3.489067557306978e-05
Position 323: 2.392967301093091e-05
Position 645: 1.799139593563536e-05
Position 333: 1.6059869170882833e-05
Position 867: 1.5137132231981728e-05
Position 124: 6.648606546932589e-06
Position 101: 5.6439491218736155e-06
Position 367: 5.40887395677741e-06
Position 786: 4.726833470476233e-06
Position 452: 4.6988520868441285e-06
Position 898: 4.5653284665603494e-06
Position 385: 4.22822504863954e-06
Position 522: 2.048918518279007e-06
Position 573: 1.955794511789256e-06
Position 502: 1.6781278814277522e-06
Position 164: 1.449774705389966e-06
Position 117: 1.3257009480791564e-06
Position 930: 1.1367211129901277e-06
Position 383: 1.0003385234813888e-06
Position 59: 9.665699269549993e-07
Position 766: 7.709611369118885e-07
Position 181: 5.978132009436126e-07
Position 241: 2.317550181993719e-07
Position 219: 2.2285321121534422e-07
Position 195: 1.5752254606549237e-07
Position 159: 3.637359139730415e-08
Position 169: 3.1786277432893806e-08
Position 480: 2.3584949606474772e-08
Position 192: 3.160028509516908e-11
Position 141: 2.459065019240335e-11
Position 256: 4.6369541541795965e-12
Position 260: 2.7166907343063107e-14
