Gene = Mfap1
index = 1278
Annotated 5SS: [ 187 1170]
Annotated 3SS: [ 247 1231]
SMsplice 5SS: [ 187 1170]
SMsplice 3SS: [ 247 1231]
top_k =  500
Partition function (log Z): 1.7064457721160884

Sorted 5' Splice Sites (High to Low Probability):
Position 1170: 0.9866036608533054
Position 187: 0.9493443192083948
Position 1473: 0.013876514544443198
Position 1163: 0.010468917411819061
Position 1676: 0.008855040067084603
Position 1482: 0.0029765554261158124
Position 455: 0.001123661203045687
Position 545: 0.0009953530071173298
Position 1174: 0.0009124476258422827
Position 772: 0.00042510183309936987
Position 828: 0.00041632864422733276
Position 293: 0.0003850752424416515
Position 1317: 0.00031339371152487263
Position 1669: 0.0002881624971464746
Position 1680: 0.0002670664584165874
Position 1364: 0.0002251559895022768
Position 1346: 0.00021939258165470569
Position 1718: 0.00016234836451555268
Position 1102: 0.0001304354134858463
Position 484: 8.534668680559965e-05
Position 268: 8.325353958475035e-05
Position 1664: 6.158534332930875e-05
Position 1514: 6.127012730003933e-05
Position 1562: 4.609840813079108e-05
Position 274: 4.3877177659750694e-05
Position 1378: 4.229236306542709e-05
Position 248: 3.0377297531905788e-05
Position 1375: 2.7686136761349545e-05
Position 1352: 1.6659250303342263e-05
Position 1625: 1.3263997350303053e-05
Position 1689: 1.2902861250114238e-05
Position 1127: 1.0639476988318764e-05
Position 1711: 1.013101712669702e-05
Position 1407: 7.872152811619792e-06
Position 523: 6.305306230481076e-06
Position 798: 5.796459114464482e-06
Position 220: 5.291969225612892e-06
Position 1738: 3.1425303111013885e-06
Position 807: 2.6281182020865207e-06
Position 596: 2.249518504152835e-06
Position 1547: 2.1807713636229033e-06
Position 1075: 2.048916216236885e-06
Position 1727: 2.025400743137886e-06
Position 1667: 1.3317898927808183e-06
Position 1018: 9.894226900714313e-07
Position 1006: 9.727467305834805e-07
Position 10: 7.792680392435985e-07
Position 1589: 3.63577791968211e-07
Position 96: 2.1486958496458887e-08
Position 1320: 5.97248162521837e-09
Position 85: 3.659675504716831e-09
Position 326: 1.858284287648808e-09
Position 314: 1.3423044785482818e-09
Position 1077: 3.198808963212549e-10
Position 886: 1.1480595290148119e-10
Position 416: 5.033716689512784e-11
Position 112: 3.891623271267662e-11
Position 255: 8.338367886731794e-12
Position 1527: 3.730466888519682e-12
Position 1233: 8.72210058973379e-17

Sorted 3' Splice Sites (High to Low Probability):
Position 1231: 0.9998874486749577
Position 247: 0.7829676298103139
Position 267: 0.15154992474567752
Position 1527: 0.015401806100180805
Position 1738: 0.009155267963669956
Position 326: 0.0055752313185764655
Position 876: 0.003521922661432071
Position 915: 0.0016838693794742256
Position 365: 0.0012317981192731468
Position 1535: 0.0012084358702611582
Position 297: 0.0007949706939007773
Position 1796: 0.0006412168130116312
Position 894: 0.0005980236041985273
Position 506: 0.0005303636489907172
Position 279: 0.0004987831695257203
Position 273: 0.0004520582550127068
Position 753: 0.00038172706838352253
Position 1699: 0.0003622158968883701
Position 526: 0.00033512595615754716
Position 1430: 0.00018136086006917987
Position 1579: 0.000172795896670483
Position 1547: 0.0001663974114381982
Position 421: 0.00013678003963094084
Position 817: 0.00011640903929616965
Position 759: 0.00011349618225203894
Position 1472: 0.00011163620423629202
Position 756: 0.00010317461224031727
Position 821: 0.00010102801535404606
Position 602: 9.804397561730738e-05
Position 594: 6.465111741134103e-05
Position 696: 5.355275550340813e-05
Position 1364: 4.872557786039882e-05
Position 1038: 4.289871570499315e-05
Position 921: 3.704738850169648e-05
Position 1481: 2.581025350336802e-05
Position 660: 2.3138315876042145e-05
Position 918: 1.9493934187687125e-05
Position 333: 1.9471969992291343e-05
Position 828: 1.3089456698880473e-05
Position 516: 1.248035548940997e-05
Position 709: 1.122331269826537e-05
Position 924: 1.0974019384955913e-05
Position 387: 8.37306433432528e-06
Position 369: 8.099453120424447e-06
Position 798: 8.018570376498877e-06
Position 1415: 6.959054490028944e-06
Position 607: 6.948879112223969e-06
Position 1400: 5.872491097399818e-06
Position 945: 5.823289491601965e-06
Position 732: 5.6603268566971274e-06
Position 645: 5.644566001994468e-06
Position 1247: 5.522310598093589e-06
Position 428: 5.0339517859898456e-06
Position 942: 4.218163212788327e-06
Position 1361: 3.942111383818561e-06
Position 701: 3.577895870611941e-06
Position 948: 3.5180896742403247e-06
Position 986: 3.4989478252431135e-06
Position 936: 2.811663037533966e-06
Position 737: 2.747117109637606e-06
Position 1044: 2.597571613670525e-06
Position 633: 2.3407515381007015e-06
Position 837: 2.2420754116737444e-06
Position 780: 2.1859951739559805e-06
Position 834: 1.7656066659845085e-06
Position 1397: 1.391373078157725e-06
Position 711: 1.2516344543962622e-06
Position 939: 1.1774582558393311e-06
Position 402: 1.0518224344303424e-06
Position 1589: 8.630114749986569e-07
Position 1244: 7.415965766655146e-07
Position 468: 7.18838074256327e-07
Position 534: 6.08972072385034e-07
Position 465: 4.2269963190957816e-07
Position 96: 3.6506268459501085e-07
Position 717: 3.3926252406320785e-07
Position 69: 1.884550419239253e-07
Position 117: 1.7206645871802614e-07
Position 55: 3.205449106089884e-08
Position 1514: 3.118523327992144e-08
Position 149: 2.5377204294257335e-08
Position 112: 2.048283635748424e-08
Position 1457: 1.5818464740996233e-08
Position 1281: 7.057658435557596e-09
Position 151: 6.771451400515394e-10
Position 156: 1.9634970300047575e-10
Position 1195: 1.4800605710671522e-10
Position 1442: 1.1868765563325603e-10
Position 442: 3.198359360396466e-11
Position 435: 2.5503957513702346e-11
Position 471: 1.4800390862961062e-11
Position 408: 9.852280973978373e-12
Position 483: 7.426135400794496e-12
Position 459: 3.916283343637639e-12
Position 378: 1.6079416848895932e-12
Position 182: 4.816735691011756e-13
Position 214: 1.1391053046193287e-13
Position 336: 9.551780729327304e-14
Position 186: 3.125029491424454e-14
Position 228: 9.735576106760826e-15
Position 194: 7.153131846824198e-15
Position 199: 5.609220772666089e-17
