Gene = Sgs3
index = 1497
Annotated 5SS: [42]
Annotated 3SS: [114]
SMsplice 5SS: [42]
SMsplice 3SS: [114]
top_k =  500
Partition function (log Z): -7.206705057606132

Sorted 5' Splice Sites (High to Low Probability):
Position 42: 0.9954228094732164
Position 46: 0.0027642190899736505
Position 71: 0.0016518715538730874
Position 250: 0.00030775769194415657
Position 5: 0.00013866300432958367
Position 190: 9.76623743549447e-06
Position 199: 5.203912831898624e-06
Position 1001: 8.773673403515378e-07
Position 64: 4.590954353574072e-07
Position 154: 4.544396482549472e-07
Position 338: 4.3944168924496014e-07
Position 163: 3.7212611476287734e-07
Position 1080: 2.929827128227891e-07
Position 988: 2.3214068236842757e-07
Position 458: 2.271069451759642e-07
Position 1025: 2.2301467214749566e-07
Position 1014: 1.4986374091714327e-07
Position 1052: 1.0682875152355907e-07
Position 945: 5.5924821667452233e-08
Position 215: 4.5894388232975736e-08
Position 1007: 1.7028815239906075e-08
Position 1040: 1.4434480041899034e-08
Position 1115: 1.257764371013588e-08
Position 98: 3.6090472665498717e-13
Position 144: 2.1645037983500013e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 114: 0.9991603612046119
Position 317: 0.00039759264594203163
Position 857: 0.00013179130252539102
Position 542: 8.733665483639288e-05
Position 437: 6.308180269168062e-05
Position 482: 6.0878099369496114e-05
Position 527: 5.31848654477374e-05
Position 407: 3.577214145328784e-05
Position 362: 3.284808846720284e-05
Position 812: 3.006870000428854e-05
Position 587: 2.849328237369128e-05
Position 752: 2.382769653565404e-05
Position 393: 2.084495518866045e-05
Position 302: 1.9092722235905894e-05
Position 872: 1.90020564171354e-05
Position 647: 1.891582168028454e-05
Position 782: 1.6348185887088298e-05
Position 722: 1.3038418077478701e-05
Position 572: 1.1364573354089632e-05
Position 677: 1.1359455657529206e-05
Position 557: 7.295247241657893e-06
Position 797: 5.76769977754456e-06
Position 617: 5.353471223418721e-06
Position 422: 5.1529991168829414e-06
Position 602: 4.564255099320777e-06
Position 827: 4.182755438378756e-06
Position 377: 3.963378117618497e-06
Position 842: 3.7018115790252895e-06
Position 662: 3.6122090373991257e-06
Position 1163: 3.5149743092797755e-06
Position 737: 3.42279219245191e-06
Position 707: 2.7582163535941276e-06
Position 767: 2.7253772583928e-06
Position 1012: 2.2617178262822737e-06
Position 632: 2.1795804501011686e-06
Position 932: 1.6972283143940275e-06
Position 692: 1.4699262926819936e-06
Position 914: 1.1928588190504201e-06
Position 1148: 1.110796095881817e-06
Position 874: 8.611855220109519e-07
Position 1167: 7.60268334249058e-07
Position 118: 6.940130899925413e-07
Position 888: 4.686767758746297e-07
Position 968: 2.5753973107200595e-07
Position 962: 6.658643675837982e-08
Position 1020: 3.299327023943314e-08
Position 79: 1.3870892431979863e-12
