Gene = DOR
index = 1128
Annotated 5SS: [  442 11552 12320 12721]
Annotated 3SS: [10876 11838 12485 12796]
SMsplice 5SS: [   78 11552 12230 12721]
SMsplice 3SS: [10876 11838 12485 12796]
top_k =  500
Partition function (log Z): 11.8487543121839

Sorted 5' Splice Sites (High to Low Probability):
Position 12721: 0.996663335480413
Position 11552: 0.9960123911608362
Position 78: 0.6674894819001377
Position 12320: 0.49380393080170815
Position 12230: 0.48114239967459
Position 442: 0.32300755115836005
Position 13044: 0.10274598201077628
Position 2469: 0.045154955009902374
Position 11731: 0.03992685501928096
Position 2765: 0.03837877369716263
Position 692: 0.030740807906747575
Position 10427: 0.023382321180153664
Position 11774: 0.016412720169437366
Position 2945: 0.015610498587490884
Position 11943: 0.012049191886233327
Position 7515: 0.010234582613758383
Position 11174: 0.009004564737802676
Position 11733: 0.008352142388047695
Position 1688: 0.008206421228004938
Position 11706: 0.006898427625485981
Position 12425: 0.006679519725766282
Position 1751: 0.006053131236178399
Position 5608: 0.0060314202979063185
Position 2104: 0.004889614022246755
Position 1373: 0.004360218544194962
Position 11181: 0.004019956288547705
Position 11532: 0.003220736020638993
Position 12747: 0.0024041894338886266
Position 304: 0.0022469182427128217
Position 12152: 0.001987788008070847
Position 1812: 0.0018582845637302925
Position 82: 0.0017125517008138825
Position 5209: 0.0015036083981245637
Position 2365: 0.001431257754352038
Position 12234: 0.0012055229395576113
Position 2835: 0.0011002878605711692
Position 9143: 0.0010757303808618386
Position 6261: 0.0009668484139608415
Position 995: 0.0009004820416607061
Position 283: 0.0008910116768049191
Position 971: 0.0007986416755555047
Position 13509: 0.0007797982518791327
Position 4253: 0.0007442589708631164
Position 12920: 0.0006357374250216833
Position 12202: 0.0005590746530265783
Position 12857: 0.000543526500714241
Position 12713: 0.0005077012704750787
Position 12324: 0.00031199387658761363
Position 12184: 0.00029159412974607754
Position 12336: 0.00023672581077809112
Position 2613: 0.00021764401628964923
Position 11917: 0.00020745980092380138
Position 13221: 0.000206356371390378
Position 13273: 0.0001506504786878662
Position 12013: 0.00014272366883875078
Position 1798: 0.00010837596484616137
Position 12210: 0.00010793945682825537
Position 11757: 0.00010716625474695774
Position 13089: 0.00010238386358447562
Position 12103: 9.75979481471595e-05
Position 400: 9.24253721920466e-05
Position 11898: 8.441564172707024e-05
Position 13575: 6.737286081706383e-05
Position 13587: 6.565877550844721e-05
Position 1960: 5.923567245319947e-05
Position 11949: 5.3495831368825964e-05
Position 12060: 5.152115967139623e-05
Position 11737: 5.137467159740249e-05
Position 2369: 4.623030839940886e-05
Position 214: 4.184494946110997e-05
Position 119: 4.1044850522982496e-05
Position 11635: 3.800543421426723e-05
Position 12707: 3.530662709942188e-05
Position 12008: 3.5044520103087834e-05
Position 287: 3.320475488002218e-05
Position 11966: 3.218644476543167e-05
Position 13598: 3.083541420367638e-05
Position 993: 3.043538495372985e-05
Position 11717: 3.027349562572632e-05
Position 1402: 2.867136699908568e-05
Position 11892: 2.7420113833971263e-05
Position 177: 2.7158248755389405e-05
Position 12753: 2.399140867381809e-05
Position 185: 2.336159544772661e-05
Position 13591: 2.3102215274847065e-05
Position 11592: 1.947816658453016e-05
Position 11623: 1.946338436591732e-05
Position 811: 1.6374495040862316e-05
Position 10934: 1.49264157934443e-05
Position 12949: 1.3658805050476224e-05
Position 11889: 1.3408885870602427e-05
Position 12349: 1.1806105877425425e-05
Position 12679: 5.890050486497989e-06
Position 99: 5.7354599215084054e-06
Position 12224: 5.649963029554757e-06
Position 11991: 5.523250378204162e-06
Position 12377: 4.139154987018717e-06
Position 13530: 3.850100229083755e-06
Position 12684: 3.812099643916957e-06
Position 446: 3.6157922436133265e-06
Position 1160: 3.259744948575485e-06
Position 13596: 3.096116312332319e-06
Position 13547: 2.806690599564883e-06
Position 13448: 2.805308530244577e-06
Position 1137: 2.4664932630070145e-06
Position 13571: 1.9593803492739106e-06
Position 1170: 1.932127859249663e-06
Position 567: 1.8494231226435706e-06
Position 591: 1.8308002325563773e-06
Position 607: 1.6409787252434238e-06
Position 781: 1.541654311280718e-06
Position 359: 1.2570000671711162e-06
Position 189: 1.0976199951099155e-06
Position 375: 9.521481469369829e-07
Position 936: 8.973474754417989e-07
Position 221: 8.917832519782567e-07
Position 251: 8.235831058362416e-07
Position 1757: 3.3618367550341834e-07
Position 218: 2.5896350714666026e-07
Position 556: 1.422988308714917e-07
Position 804: 1.4090313288323117e-07
Position 245: 1.1728386923850397e-07
Position 237: 7.315490405379074e-08
Position 1181: 6.504348566252859e-08
Position 498: 6.251262352060345e-08
Position 224: 5.8576293305657264e-08
Position 84: 3.929776034407954e-08
Position 12644: 3.812277003714922e-08
Position 86: 2.189242848555847e-08
Position 690: 2.025958354447981e-08
Position 13265: 1.629661661959707e-08
Position 1152: 9.834006734156352e-09
Position 13277: 7.252814500127146e-09
Position 357: 5.248693997194926e-09
Position 12503: 4.9004589353746816e-09
Position 4216: 1.7603645770949945e-09
Position 3488: 1.2491364806056775e-09
Position 2876: 1.1321930914049786e-09
Position 12489: 9.383717427096272e-12
Position 12568: 8.521374961098595e-12
Position 451: 2.449834308086575e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 11838: 0.9955866037788929
Position 10876: 0.9897666496806082
Position 12796: 0.9647641129069758
Position 12485: 0.8045072084601196
Position 13109: 0.0990738769263601
Position 12366: 0.09365025639023514
Position 11619: 0.05706420947669732
Position 12509: 0.036765966273729744
Position 12770: 0.03443904640408767
Position 2743: 0.033383279107402485
Position 1048: 0.022199373917646776
Position 12503: 0.018240735382937107
Position 11234: 0.01786535841461849
Position 12402: 0.0159234499216811
Position 2328: 0.015021597697586295
Position 10314: 0.014637087556357243
Position 2103: 0.012541384653708146
Position 12013: 0.012063379995045595
Position 11685: 0.011368966215585327
Position 9698: 0.009571372649549489
Position 12336: 0.008142657988135698
Position 7394: 0.006318549939781872
Position 2553: 0.005867797450911502
Position 1887: 0.0058648262574385055
