Gene = Membrin
index = 1276
Annotated 5SS: [281]
Annotated 3SS: [349]
SMsplice 5SS: [281]
SMsplice 3SS: [349]
top_k =  500
Partition function (log Z): -3.8052381023291875

Sorted 5' Splice Sites (High to Low Probability):
Position 281: 0.9998555687857417
Position 36: 0.0011385663415338593
Position 44: 0.0010188083802690434
Position 613: 0.0005024668316233299
Position 384: 0.00040332270452982815
Position 134: 0.00010389343913592168
Position 285: 5.484320806342128e-05
Position 9: 4.8905138217934785e-05
Position 628: 3.986223705761986e-05
Position 362: 3.863622900632969e-05
Position 177: 3.787256901440491e-05
Position 136: 2.1267622688922758e-05
Position 211: 1.3103299706308358e-05
Position 240: 7.266690744160397e-06
Position 155: 6.348159543661285e-06
Position 377: 5.288850961188399e-06
Position 321: 4.788061911284497e-06
Position 739: 4.624622343661576e-06
Position 29: 3.86975129652071e-06
Position 317: 3.833428386507669e-06
Position 790: 2.8651371234792055e-06
Position 810: 2.8120186639277628e-06
Position 4: 2.569880446488244e-06
Position 174: 2.42230192604416e-06
Position 220: 1.8146932239425233e-06
Position 369: 1.3910684594936582e-06
Position 813: 8.00562205345912e-07
Position 418: 4.4885816093416686e-07
Position 374: 3.9122672380399903e-07
Position 780: 3.407891050692416e-07
Position 420: 8.430398899197576e-08
Position 816: 4.826396721574286e-08
Position 344: 4.001962255639494e-08
Position 630: 3.189504401217917e-08
Position 342: 2.0850505310102422e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 349: 0.9955907409071579
Position 133: 0.002131282209554717
Position 398: 0.0014077416271088678
Position 455: 0.0011956389662009796
Position 428: 0.0011723654198086977
Position 683: 0.000540553366549383
Position 383: 0.00046395187173989814
Position 467: 0.0003303258641752274
Position 203: 0.00016278595439964182
Position 596: 0.00014956387715690678
Position 550: 4.904807498052304e-05
Position 182: 2.7642863665124712e-05
Position 535: 2.724454265556416e-05
Position 855: 2.09064248209842e-05
Position 406: 1.8645007190328104e-05
Position 149: 1.3753564798752582e-05
Position 608: 8.42424488421809e-06
Position 655: 5.861368265013069e-06
Position 263: 3.544610570108154e-06
Position 521: 2.2704460167267894e-06
Position 883: 1.3288210752375957e-06
Position 500: 1.0801994520896129e-06
Position 272: 1.0511325646227576e-06
Position 227: 4.779810498293766e-07
Position 668: 4.5284418086888094e-07
Position 870: 3.872490407472296e-07
Position 807: 2.9993131401179934e-07
Position 488: 2.8747650218044284e-07
Position 191: 2.8012804276444464e-07
Position 215: 2.445159454687244e-07
Position 557: 2.0918388455360541e-07
Position 726: 2.0135824634400363e-07
Position 685: 1.4448875180795433e-07
Position 484: 1.1078717185419522e-07
Position 445: 1.0484422412422936e-07
Position 220: 8.034186843889032e-08
Position 730: 6.915469538366771e-08
Position 563: 4.2029585931428944e-08
Position 719: 3.662409062946989e-08
Position 888: 3.615047836275955e-08
Position 48: 1.6901361525811738e-09
Position 317: 3.651551547454801e-11
Position 312: 2.3380093592884896e-11
Position 503: 9.994514672703857e-12
Position 211: 5.7846471719865834e-12
Position 314: 1.2325790480577775e-12
Position 151: 3.400256688382792e-14
Position 285: 3.4458037898388372e-18
