Gene = bip1
index = 1629
Annotated 5SS: [ 253  834 2838]
Annotated 3SS: [ 666 2539 3273]
SMsplice 5SS: [ 253  834 2838]
SMsplice 3SS: [ 666 2539 3273]
top_k =  500
Partition function (log Z): 1.080641888176832

Sorted 5' Splice Sites (High to Low Probability):
Position 253: 0.9830716851063067
Position 2838: 0.9818221931003672
Position 834: 0.9714937007748932
Position 1086: 0.2006732977280797
Position 2493: 0.1309368435271842
Position 2405: 0.11732469686975416
Position 550: 0.07269243164815106
Position 3548: 0.047472616824043995
Position 1798: 0.03881256015676077
Position 3477: 0.03847401012138053
Position 1254: 0.03398361609282152
Position 3200: 0.02964001049004407
Position 1867: 0.01674896795543107
Position 1584: 0.01669370771900461
Position 3512: 0.014748638388092908
Position 3213: 0.014422404066988933
Position 1258: 0.00992858152392919
Position 3034: 0.00879346624833337
Position 301: 0.006862943649912032
Position 3718: 0.006568834138666403
Position 1785: 0.006138851504626871
Position 2148: 0.0057827593147936115
Position 57: 0.005426828517334632
Position 1535: 0.005424967562595513
Position 46: 0.004973597098527153
Position 1886: 0.00493056666395977
Position 502: 0.004162394721539124
Position 2887: 0.0034440133250134473
Position 1319: 0.003274172613717808
Position 3736: 0.0027537614048193924
Position 362: 0.0023515973363384267
Position 1599: 0.002086151596510105
Position 2883: 0.0019418422259893438
Position 1735: 0.001903069787235001
Position 1682: 0.0018235863340404419
Position 787: 0.0016561027445482195
Position 1419: 0.0016297767041858536
Position 1495: 0.0015824458828795766
Position 1145: 0.0015110831366202937
Position 3555: 0.0014128104652967215
Position 492: 0.0013058644809689878
Position 865: 0.0012251955146635818
Position 1618: 0.0011885545373840232
Position 2438: 0.0010091670821525667
Position 3739: 0.0009660939613934497
Position 483: 0.0007004780984227228
Position 1750: 0.0006449674503105024
Position 2329: 0.0006437580796643284
Position 1365: 0.0005678395534840417
Position 1242: 0.000536225132486376
Position 554: 0.0005302565031194902
Position 1273: 0.0005211283663039615
Position 2158: 0.0005171670349929854
Position 1157: 0.000508095625135242
Position 1697: 0.0004952571100403953
Position 30: 0.00048574385876614567
Position 1038: 0.00045680518551858423
Position 2497: 0.00042889725355371944
Position 3876: 0.0004140628108096604
Position 2988: 0.0004118641991853044
Position 4288: 0.00038737266048428367
Position 3093: 0.0003841870461527919
Position 266: 0.00037509260188902424
Position 4247: 0.00024189066258298436
Position 838: 0.00022329292260921048
Position 4303: 0.00019687388151628683
Position 2866: 0.000183055322299932
Position 3099: 0.00016743982796125562
Position 2770: 0.00016687851633012744
Position 224: 0.00016485051725507874
Position 274: 0.00013044935106228434
Position 321: 0.00011333811857445132
Position 447: 0.00011160268362865043
Position 435: 0.00010959904819967097
Position 4297: 9.295092219390897e-05
Position 1119: 6.194007979781756e-05
Position 116: 5.8676393380358926e-05
Position 3074: 4.581105586686464e-05
Position 955: 3.990157448495961e-05
Position 632: 3.866131407702654e-05
Position 202: 2.866654733130177e-05
Position 569: 2.8142134272696798e-05
Position 949: 2.71978799772709e-05
Position 22: 2.5414449914807397e-05
Position 969: 2.1704412471973827e-05
Position 17: 1.5853341608556166e-05
Position 244: 1.4087910834418865e-05
Position 422: 8.110502193497941e-06
Position 151: 5.820336525521159e-06
Position 316: 5.706326075514853e-06
Position 160: 5.703333493541895e-06
Position 2735: 5.44506295849718e-06
Position 257: 5.223320465823256e-06
Position 348: 5.156208219929889e-06
Position 2832: 4.944830555023859e-06
Position 1125: 3.3270983482880876e-06
Position 3367: 3.1795650241216426e-06
Position 246: 3.1322412689718175e-06
Position 355: 2.4541610225997413e-06
Position 165: 2.368907174479824e-06
Position 3: 2.129626470762181e-06
Position 197: 1.868426342219291e-06
Position 395: 1.5851535977931655e-06
Position 1338: 1.3239560846713095e-06
Position 1079: 9.922992309806109e-07
Position 776: 8.660623882886424e-07
Position 1415: 8.477843156998523e-07
Position 806: 7.120725360154576e-07
Position 742: 5.527819935354405e-07
Position 3481: 5.331740066289626e-07
Position 869: 4.1481201260996763e-07
Position 1053: 4.009292721620692e-07
Position 188: 3.93145099057633e-07
Position 416: 3.289705075227557e-07
Position 767: 2.6430550698286783e-07
Position 3559: 1.5477820041679426e-07
Position 280: 3.734670669226637e-08
Position 809: 2.8162609099096618e-08
Position 1478: 2.082097950681309e-09
Position 1580: 1.546845424197757e-11
Position 817: 1.0622338499609673e-11
Position 329: 1.3960474420452444e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 3273: 0.9738565571855569
Position 2539: 0.8356307390986417
Position 666: 0.8191063502896508
Position 906: 0.6257300750068242
Position 702: 0.12555890103087047
Position 361: 0.07918859552768091
Position 2987: 0.05684827288834096
Position 3981: 0.0339079363224993
Position 3840: 0.03293773101395722
Position 1173: 0.028128725904389165
Position 3681: 0.026755196044244735
Position 1782: 0.02116474473547122
Position 2043: 0.020801064967634158
Position 348: 0.016506452546081855
Position 1005: 0.010231152462425147
Position 123: 0.010130295319612629
Position 1157: 0.01010621496491382
Position 1021: 0.010014285032807883
Position 2911: 0.007431205622591131
Position 3801: 0.007304381755749453
Position 1303: 0.0071993821867198625
Position 3780: 0.0060017476414766634
Position 761: 0.00516772633241916
Position 1406: 0.004062401249091227
Position 2469: 0.0036202636431010653
Position 2209: 0.002871465631021301
Position 3639: 0.0028128743203462148
Position 1867: 0.0024385832176693984
Position 722: 0.002420971856138536
Position 1954: 0.002259874193174071
Position 3150: 0.002244105784112918
Position 2748: 0.002192470042168048
Position 3858: 0.0020661366625750765
Position 3573: 0.0019947909274871576
Position 384: 0.001622780013529059
Position 4023: 0.001598271418999939
Position 582: 0.001519191314185291
Position 3347: 0.001394270665720025
Position 2466: 0.0013197144404906475
Position 3412: 0.0013153904383572364
Position 408: 0.001207808775262044
Position 3330: 0.0011718869928781688
Position 2609: 0.0010077215363711483
Position 4359: 0.0009143772736102443
Position 3752: 0.0007956093248485364
Position 1216: 0.0007844573287753754
Position 3537: 0.0007213286711547807
Position 452: 0.0007010680281870635
Position 1895: 0.0006442913564299485
Position 3618: 0.0006136922038778559
Position 4370: 0.0005546283619643781
Position 366: 0.00044176359369854185
Position 3121: 0.00043613539904487016
Position 609: 0.00043504080076280517
Position 3624: 0.0004324579319191508
Position 1983: 0.00039046707627951675
Position 2934: 0.0003797447977018611
Position 2572: 0.00034420216316904235
Position 1415: 0.00027163465810349307
Position 186: 0.0002508762795759437
Position 1750: 0.00023410397317190845
Position 300: 0.00021634548607023018
Position 1838: 0.0001939625282518234
Position 3284: 0.00014672354215722674
Position 1700: 0.00012938597952243122
Position 3194: 0.00012752465451372773
Position 1729: 0.00012563174206415634
Position 3362: 0.00012506054614083817
Position 175: 0.00012107441704132945
Position 160: 0.00010759094276344196
Position 1456: 0.00010438892040540591
Position 3127: 9.677818280287158e-05
Position 969: 9.211558596113329e-05
Position 3818: 8.313157432372951e-05
Position 868: 7.745916121665394e-05
Position 606: 6.428588861023791e-05
Position 389: 6.06714343284623e-05
Position 1439: 5.476696763386566e-05
Position 783: 4.0931258912206024e-05
Position 1079: 4.036636340025402e-05
Position 89: 3.9247001592791415e-05
Position 475: 3.43907093537012e-05
Position 501: 2.3159095407570092e-05
Position 1211: 2.2804381649305306e-05
Position 395: 2.1716608859645102e-05
Position 519: 2.0665184265180055e-05
Position 817: 1.7098126586191546e-05
Position 92: 1.62681965834339e-05
Position 632: 1.0099253442837486e-05
Position 295: 9.473979737767092e-06
Position 742: 8.741696706756089e-06
Position 457: 6.885606993400417e-06
Position 945: 6.311194266290847e-06
Position 290: 5.43076564937875e-06
Position 215: 5.147562333119689e-06
Position 523: 3.6533246162780074e-06
Position 883: 3.587432603440909e-06
Position 3418: 1.3759982252542275e-06
Position 1557: 1.19943914397255e-06
Position 74: 6.226941143139106e-07
Position 96: 5.002787232464647e-07
Position 543: 2.771288510178742e-07
Position 792: 1.662984442804493e-07
Position 584: 1.421337426634589e-07
Position 917: 8.893805129082245e-08
Position 228: 5.3430732194493136e-08
Position 66: 4.953217351760601e-08
Position 252: 6.502584925712478e-09
Position 235: 7.189287721636372e-10
Position 188: 4.2021445605130146e-10
Position 461: 3.816120943923929e-10
Position 52: 1.930811023724167e-10
Position 257: 1.3946321247683278e-10
Position 230: 1.2438456595944967e-10
Position 238: 8.700231537974686e-13
